Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	39	0.781	33.741	86.515%	5.619	62.433%	0.70567	0.705
C002	76	0.849	50.581	66.554%	7.935	53.256%	0.47819	0.772
C003	23	0.875	19.553	85.013%	3.265	50.991%	0.64984	0.859
C004	10	0.437	14.935	149.35%	2.889	91.358%	1.98008	0.309
C005	76	0.939	43.274	56.939%	6.399	35.014%	0.39573	0.923
C006	29	0.775	28.356	97.779%	4.637	63.694%	0.83119	0.714
C007	71	0.863	46.781	65.889%	7.318	50.62%	0.48011	0.8
C008	2	0.645	3.039	151.95%	1.147	81.105%	2.33091	0.647
C009	97	0.902	54.015	55.686%	8.841	43.295%	0.35675	0.863
C010	10	0.678	12.536	125.36%	2.548	73.554%	1.68099	0.632
C010r	11	0.557	16.377	148.882%	3.45	83.675%	1.77879	0.504
C011	12	0.725	16.036	133.633%	3.135	70.101%	1.46809	0.698
C013	17	0.872	16.199	95.288%	3.37	51.392%	0.75847	0.863
C014	17	0.746	19.396	114.094%	3.465	69.3%	0.97004	0.721
F001	15	0.568	20.086	133.907%	3.777	82.421%	1.44521	0.473
F002	9	0.474	14.189	157.656%	2.923	88.132%	2.0014	0.388
F002r	65	0.821	49.378	75.966%	8.161	57.852%	0.51892	0.758
F004	19	0.591	22.89	120.474%	4.041	80.82%	1.15579	0.464
F005	11	0.661	13.746	124.964%	2.733	75.8%	1.20444	0.612
F006	5	0.862	5.493	109.86%	1.544	58.358%	1.32912	0.863
F007	118	0.963	45.715	38.742%	6.931	27.102%	0.21888	0.949
F008	9	0.629	12.51	139.0%	2.822	78.268%	1.66135	0.591
F010	17	0.777	19.957	117.394%	3.554	63.832%	1.16098	0.746
F011	18	0.643	21.819	121.217%	4.052	76.576%	1.17287	0.565
F012	8	0.776	10.267	128.338%	2.217	70.108%	1.19002	0.79
F013	13	0.601	15.457	118.9%	3.302	80.085%	1.35708	0.525
F014	21	0.694	23.026	109.648%	4.019	72.183%	1.23965	0.613
F015	48	0.819	36.798	76.662%	5.624	57.4%	0.5952	0.734
F016	26	0.844	23.951	92.119%	3.877	54.829%	0.82189	0.815
F017	55	0.921	32.533	59.151%	5.077	39.524%	0.42538	0.898
F018	12	0.61	14.591	121.592%	2.752	79.443%	1.31143	0.517
F019	8	0.702	9.677	120.962%	2.053	72.585%	1.48244	0.669
F020	32	0.831	30.859	96.434%	5.27	56.828%	0.88457	0.802
F021	11	0.75	13.327	121.155%	2.875	69.729%	1.08918	0.738
F022	41	0.767	35.927	87.627%	5.722	64.378%	0.78784	0.67
F023	2	0.715	2.935	146.75%	1.101	77.852%	1.70036	0.724
F024	9	0.771	10.222	113.578%	2.162	65.187%	1.28057	0.749
F026	60	0.9	40.725	67.875%	6.472	43.834%	0.52312	0.874
F027	10	0.621	13.155	131.55%	2.489	78.709%	1.32788	0.552
F029	30	0.906	24.29	80.967%	4.06	43.28%	0.74267	0.893
F031	60	0.874	36.734	61.223%	5.289	48.689%	0.46838	0.792
F034	17	0.607	21.86	128.588%	4.135	79.578%	1.21542	0.525
F036	48	0.871	34.424	71.717%	5.2	50.507%	0.60299	0.825
F037	5	0.696	7.722	154.44%	2.574	77.609%	1.67951	0.699
F038	17	0.75	18.182	106.953%	3.803	66.202%	1.1644	0.716
F039	23	0.722	26.356	114.591%	4.535	69.158%	1.07372	0.662
F041	46	0.876	32.81	71.326%	4.956	48.598%	0.54868	0.833
F042	37	0.857	28.52	77.081%	4.67	51.889%	0.62316	0.818
F043	24	0.792	23.172	96.55%	3.96	62.613%	0.79875	0.751
F044	16	0.615	21.559	134.744%	3.706	79.012%	1.33848	0.528
F045	28	0.854	23.319	83.282%	3.596	53.02%	0.69189	0.817
F046	3	0.519	4.754	158.467%	1.495	86.314%	2.37134	0.496
F048	9	0.741	10.329	114.767%	2.716	70.127%	1.0431	0.728
F050	3	0.668	4.54	151.333%	1.392	80.367%	1.64324	0.68
F052	6	0.587	8.486	141.433%	2.353	83.191%	1.62544	0.572
F053	13	0.763	14.045	108.038%	2.758	66.891%	0.96703	0.736
F054	15	0.642	18.061	120.407%	3.519	76.791%	1.26718	0.571
F055	81	0.96	37.967	46.873%	6.353	29.398%	0.27925	0.953
F056	4	0.579	5.537	138.425%	1.634	81.7%	1.68367	0.549
F057	45	0.893	28.632	63.627%	4.347	45.076%	0.52026	0.852
F058	94	0.93	47.783	50.833%	7.555	37.403%	0.29762	0.905
F059	24	0.855	21.954	91.475%	4.032	54.869%	0.74329	0.841
F059r	49	0.928	31.848	64.996%	5.236	38.086%	0.4585	0.916
SJ01	263	0.99	52.646	20.017%	9.478	14.187%	0.06714	0.988
SJ02	14	0.783	16.209	115.779%	2.934	65.606%	0.9815	0.766
SJ03	41	0.825	31.28	76.293%	5.219	56.608%	0.58741	0.762
SJ04	2	0.372	3.664	183.2%	1.329	93.974%	2.48786	0.37
SJ08	25	0.719	26.438	105.752%	4.558	69.509%	1.09742	0.645
SJ09	24	0.757	24.598	102.492%	4.339	65.413%	0.96611	0.702
SJ10	20	0.668	21.716	108.58%	3.652	74.546%	1.10981	0.554
SJ12	24	0.762	23.831	99.296%	3.995	64.807%	0.95986	0.697
SJ13	4	0.46	6.254	156.35%	1.776	88.8%	2.37324	0.414
SJ14	7	0.468	10.487	149.814%	2.348	88.746%	1.87535	0.386
SJ17	27	0.776	25.284	93.644%	4.152	63.317%	0.73601	0.708
SJ18	9	0.675	11.197	124.411%	2.462	74.232%	1.72231	0.637
SJ19	28	0.809	24.913	88.975%	3.988	58.8%	0.7765	0.752
SJ20	82	0.927	42.952	52.38%	7.168	37.884%	0.33442	0.906
SJ25	15	0.764	14.563	97.087%	2.862	65.659%	0.85466	0.723
SJ28	137	0.935	64.024	46.733%	9.435	35.585%	0.24995	0.902
SJ31	65	0.948	36.657	56.395%	5.973	33.031%	0.37216	0.939
SJ32	105	0.926	49.305	46.957%	7.9	38.231%	0.27263	0.892
SJ33	18	0.747	19.741	109.672%	3.748	68.429%	0.91256	0.715
T135	483	0.997	49.341	10.216%	7.587	7.616%	0.02258	0.996
