Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	569	0.889	260.814	45.837%	35.53	45.766%	0.17965	0.725
C002	730	0.856	339.551	46.514%	50.591	52.142%	0.17102	0.61
C003	261	0.849	135.623	51.963%	19.268	52.893%	0.26506	0.635
C004	21	0.513	30.949	147.376%	4.627	85.921%	1.47015	0.355
C005	1064	0.888	405.159	38.079%	68.51	46.045%	0.1263	0.74
C006	279	0.888	146.38	52.466%	20.587	46.971%	0.2478	0.814
C007	525	0.919	228.109	43.449%	32.94	40.961%	0.16692	0.874
C008	12	0.536	18.843	157.025%	3.42	85.5%	1.77923	0.494
C009	816	0.938	240.044	29.417%	35.768	34.846%	0.0915	0.812
C010	35	0.576	47.108	134.594%	7.21	82.166%	1.23281	0.468
C010r	63	0.644	65.002	103.178%	9.216	76.535%	0.90382	0.425
C011	54	0.694	56.425	104.491%	7.795	72.375%	0.87654	0.56
C013	86	0.712	75.106	87.333%	10.658	70.277%	0.64902	0.509
C014	132	0.856	81.939	62.075%	10.682	51.999%	0.36376	0.74
F001	139	0.846	85.386	61.429%	11.564	53.512%	0.33185	0.71
F002	66	0.683	59.095	89.538%	8.413	73.226%	0.69982	0.442
F002r	541	0.92	205.463	37.978%	27.772	39.319%	0.13364	0.779
F004	67	0.77	54.545	81.41%	7.813	64.007%	0.6252	0.644
F005	115	0.811	82.949	72.13%	12.003	59.206%	0.4899	0.711
F006	8	0.372	13.807	172.588%	2.625	92.808%	2.17125	0.245
F007	2059	0.893	631.361	30.663%	122.969	45.27%	0.09625	0.713
F008	172	0.748	129.426	75.248%	19.271	66.412%	0.49421	0.554
F010	124	0.817	83.471	67.315%	11.198	57.749%	0.40062	0.651
F011	100	0.752	84.031	84.031%	13.289	67.12%	0.61298	0.672
F012	106	0.801	84.008	79.253%	11.059	60.512%	0.52323	0.692
F013	23	0.545	31.626	137.504%	4.825	83.992%	1.36924	0.406
F014	198	0.852	122.731	61.985%	17.024	52.942%	0.36712	0.754
F015	507	0.914	197.229	38.901%	29.522	40.889%	0.14173	0.818
F016	239	0.886	122.266	51.157%	17.226	46.97%	0.25059	0.8
F017	586	0.85	259.659	44.31%	41.929	52.969%	0.18896	0.607
F018	58	0.552	68.924	118.834%	12.903	83.638%	1.13035	0.44
F019	8	0.313	14.144	176.8%	3.003	94.963%	2.29137	0.185
F020	384	0.876	194.039	50.531%	26.637	48.232%	0.22235	0.731
F021	8	0.308	14.406	180.075%	3.009	95.153%	2.44671	0.173
F022	306	0.875	155.843	50.929%	21.836	48.584%	0.23899	0.741
F023	32	0.608	39.955	124.859%	5.859	79.731%	1.18936	0.482
F024	4	0.256	7.466	186.65%	1.933	96.65%	2.95777	0.158
F026	1396	0.84	618.465	44.303%	98.552	55.723%	0.18037	0.517
F027	31	0.518	41.719	134.577%	5.878	85.739%	1.32555	0.278
F029	328	0.857	174.213	53.114%	25.19	51.678%	0.27777	0.709
F031	650	0.918	267.859	41.209%	37.48	40.183%	0.13689	0.84
F034	129	0.848	78.55	60.891%	10.688	53.241%	0.36523	0.722
F036	736	0.85	354.668	48.189%	52.552	53.021%	0.18324	0.605
F037	9	0.322	15.695	174.389%	3.14	94.675%	2.37878	0.173
F038	176	0.851	106.627	60.584%	15.03	53.272%	0.34638	0.75
F039	150	0.82	99.459	66.306%	13.386	57.287%	0.3908	0.652
F041	703	0.902	294.414	41.88%	42.942	43.261%	0.15159	0.782
F042	349	0.907	152.446	43.681%	20.731	42.15%	0.1867	0.795
F043	260	0.885	124.242	47.785%	16.409	46.712%	0.19217	0.706
F044	67	0.741	61.408	91.654%	8.254	67.17%	0.70061	0.592
F045	306	0.883	140.851	46.03%	20.597	47.055%	0.18813	0.744
F046	28	0.541	36.913	131.832%	4.911	84.223%	1.2088	0.277
F048	28	0.417	41.113	146.832%	5.943	91.702%	1.54398	0.11
F050	7	0.187	13.135	187.643%	2.626	99.253%	3.01789	-0.061
F052	44	0.645	47.031	106.889%	6.669	76.499%	0.94722	0.455
F053	125	0.759	90.583	72.466%	12.166	65.5%	0.50342	0.464
F054	41	0.636	48.476	118.234%	6.98	77.556%	1.03602	0.508
F055	1155	0.713	737.313	63.837%	132.766	70.335%	0.31487	0.45
F056	78	0.763	60.885	78.058%	8.287	64.711%	0.58232	0.565
F057	411	0.942	145.367	35.369%	20.156	34.331%	0.13105	0.891
F058	896	0.966	233.294	26.037%	30.251	25.923%	0.06829	0.912
F059	217	0.811	142.791	65.802%	25.307	60.17%	0.4129	0.754
F059r	319	0.802	186.443	58.446%	34.478	60.451%	0.31041	0.705
SJ01	2763	0.97	718.048	25.988%	150.904	26.792%	0.05098	0.965
SJ02	304	0.874	156.537	51.492%	20.549	48.542%	0.25261	0.701
SJ03	470	0.91	210.708	44.831%	30.654	42.707%	0.18758	0.851
SJ04	19	0.221	34.097	179.458%	6.039	99.281%	2.66179	-0.049
SJ08	296	0.911	137.244	46.366%	18.39	41.926%	0.20547	0.833
SJ09	133	0.828	82.788	62.247%	12.367	56.389%	0.39832	0.706
SJ10	594	0.854	278.068	46.813%	40.48	52.808%	0.19235	0.577
SJ12	276	0.904	129.452	46.903%	16.718	42.966%	0.21924	0.788
SJ13	126	0.732	101.386	80.465%	13.868	68.158%	0.57607	0.482
SJ14	123	0.817	80.029	65.064%	10.73	57.768%	0.39492	0.625
SJ17	335	0.855	161.404	48.18%	23.791	52.128%	0.2212	0.632
