Sample_ID	MeanL1methy	MeanL1HSmethy
TCGA.BA.6871.01A	0.652956776264522	0.663912588743508
TCGA.CN.6024.01A	0.632780550000027	0.699634593746662
TCGA.IQ.7631.01A	0.593248798761331	0.63280638040782
TCGA.CV.7416.01A	0.606698617420491	0.756679159755364
TCGA.DQ.7588.01A	0.595260222024985	0.60206716108888
TCGA.CR.6472.01A	0.607880996514443	0.689002069092652
TCGA.CN.6021.01A	0.679156336742075	0.722178926443451
TCGA.CQ.5323.01A	0.676698280894333	0.793507097173509
TCGA.CR.7389.01A	0.66125413672095	0.669486505031345
TCGA.CV.7089.01A	0.760890291463434	0.78073730109214
TCGA.CN.5365.01A	0.654918219550762	0.764655076911087
TCGA.CV.5431.01A	0.674546680494569	0.743481432480316
TCGA.F7.A620.01A	0.736556481729035	0.769391321830431
TCGA.CN.A63W.01A	0.570469067837838	0.749960107647234
TCGA.QK.AA3K.01A	0.698348574781341	0.712968709292742
TCGA.P3.A6SX.01A	0.61471886547888	0.746362953579915
TCGA.CV.A45O.01A	0.741206340007904	0.845965079308146
TCGA.BB.4227.01A	0.581488947968683	0.726807997480721
TCGA.F7.8298.01A	0.670842197671872	0.76546038710179
TCGA.UF.A7JA.01A	0.730418249399314	0.792042710435848
TCGA.BB.7871.01A	0.734586252143882	0.697324148017388
TCGA.UF.A71B.01A	0.654834117940716	0.758362924962189
TCGA.CR.6492.01A	0.739412881436766	0.811491678697931
TCGA.CV.A45Q.01A	0.723328060175117	0.814534150180092
TCGA.P3.A5Q6.01A	0.700549807769808	0.739208958720369
TCGA.D6.A6EQ.01A	0.649129723089736	0.777422659017465
TCGA.CV.7099.01A	0.666232237407538	0.757017293923549
TCGA.CR.6478.01A	0.76586802865472	0.784524646027413
TCGA.D6.8569.01A	0.680273276407509	0.800338546720271
TCGA.BA.4075.01A	0.621315635802089	0.789506744114904
TCGA.BA.4078.01A	0.650758778740167	0.621885061260255
TCGA.P3.A6T4.01A	0.627943623036702	0.722997300497815
TCGA.CN.6997.01A	0.626578997867284	0.614992876103191
TCGA.CN.A6V3.01A	0.617826645872998	0.764773222043492
TCGA.DQ.7590.01A	0.724446504616142	0.816630425962629
TCGA.CQ.7072.01A	0.689069945154889	0.814011119088704
TCGA.CV.7425.01A	0.72011796952606	0.780745983286325
TCGA.IQ.A61J.01A	0.74012768201648	0.81907846308998
TCGA.CN.5374.01A	0.676879635175361	0.812694802189966
TCGA.CV.A6K0.01B	0.743803521435812	0.809583976818068
TCGA.CV.5434.01A	0.671155082140475	0.773349124461187
TCGA.CV.5432.01A	0.598698576239818	0.691682606207648
TCGA.CQ.A4CA.01A	0.721594362653742	0.930546103040087
TCGA.QK.A6V9.01A	0.738424864781716	0.81711026250877
TCGA.CQ.A4CE.01A	0.658834020304974	0.787764472051562
TCGA.CV.7430.01A	0.686501415762468	0.546648110144867
TCGA.QK.A6IJ.01A	0.689568609999715	0.805949659968046
TCGA.H7.A6C4.01A	0.719865461959455	0.817734675930105
TCGA.C9.A480.01A	0.740199507061459	0.82436066754509
TCGA.CV.6941.01A	0.556617571043684	0.722546743370602
TCGA.CR.6471.01A	0.73431970298869	0.823218004382203
TCGA.CN.6019.01A	0.718720703784964	0.774875852359881
TCGA.H7.8501.01A	0.746609256333135	0.848576599735997
TCGA.BB.A5HU.01A	0.648939440674059	0.720082728646648
TCGA.D6.A6EM.01A	0.723342992853866	0.818708823794013
TCGA.CQ.7064.01A	0.716299669537525	0.824510473905363
TCGA.D6.A6EN.01A	0.681305736769266	0.805858902378885
TCGA.T2.A6X0.01A	0.72023728766188	0.816673728360493
TCGA.CV.5435.01A	0.708837350007424	0.842713769083477
TCGA.BB.A6UO.01A	0.69971167092246	0.739085041641782
TCGA.CR.6470.01A	0.710238144670899	0.824153829949655
TCGA.CV.6433.01A	0.712327597483218	0.815344668835072
TCGA.CR.7404.01A	0.709375192642786	0.807160108056768
TCGA.CR.7394.01A	0.69668294573867	0.778322427810373
TCGA.IQ.A61E.01A	0.70941499677196	0.80950446353404
TCGA.CV.7095.01A	0.666653326874057	0.757188362663621
TCGA.DQ.7592.01A	0.685574868504397	0.768444899025606
TCGA.T3.A92M.01A	0.695508171806908	0.749600464259255
TCGA.CQ.6224.01A	0.702379785314402	0.836402490985352
TCGA.CQ.5326.01A	0.721568422853	0.782967192560604
TCGA.CQ.5331.01A	0.720524581166739	0.832260093084187
TCGA.CR.7379.01A	0.613876678277115	0.639528084456699
TCGA.CV.7421.01A	0.659226535262141	0.771922357670256
TCGA.IQ.A61O.01A	0.653676326706755	0.777826958964352
TCGA.CQ.6222.01A	0.741473357771206	0.86972876638844
TCGA.CN.5369.01A	0.698731565222609	0.804732398643038
TCGA.CV.5978.01A	0.729286469186615	0.719335574489194
TCGA.IQ.A61I.01A	0.729390886252322	0.851176482778161
TCGA.CR.7398.01A	0.565890291070949	0.629191116227229
TCGA.CR.6480.01A	0.751890135901845	0.838495773129176
TCGA.HD.7753.01A	0.663164095003751	0.764852595645003
TCGA.D6.6516.01A	0.731323657088062	0.833604644746804
TCGA.CV.A45Z.01A	0.69741461498591	0.827566398358299
TCGA.CQ.A4CG.01A	0.633018225389265	0.769415782656816
TCGA.CN.A640.01A	0.749268867943192	0.845260525658229
TCGA.CR.7399.01A	0.678034982750103	0.662484240937826
TCGA.CV.6939.01A	0.683873759242378	0.802761855709559
TCGA.CV.7432.01A	0.681716029323765	0.835844333207761
TCGA.H7.7774.01A	0.682748026922324	0.671733001783138
TCGA.D6.6823.01A	0.667095915234978	0.801222848787966
TCGA.CV.7415.01A	0.644524143298693	0.6146042369434
TCGA.CN.4735.01A	0.671883737107797	0.693490685760798
TCGA.CV.7423.01A	0.65117339272343	0.733027551777456
TCGA.BB.4228.01A	0.678542238791379	0.784098502518751
TCGA.CN.5373.01A	0.688101512029118	0.809780380381852
TCGA.CN.A49A.01A	0.569027528872832	0.755023053419053
TCGA.BA.A6DE.01A	0.62223742320001	0.720706019235362
TCGA.CQ.6219.01A	0.735538371613912	0.860242626539072
TCGA.BA.A6DA.01A	0.703598115390463	0.754304553148529
TCGA.BA.5555.01A	0.624106022639527	0.743571204034661
TCGA.CR.7392.01A	0.678451548289164	0.732440311798553
TCGA.HD.8314.01A	0.753042476043515	0.842940668301908
TCGA.P3.A6SW.01A	0.731941030725673	0.83753118873613
TCGA.CV.7101.01A	0.709224735495697	0.662482007285185
TCGA.CR.6484.01A	0.628552447256521	0.748859395944549
TCGA.CV.7103.01A	0.638545776607978	0.659838021568423
TCGA.BA.A6DG.01A	0.764799224325274	0.821450014304542
TCGA.CV.7433.01A	0.726065983181644	0.778866123683283
TCGA.CR.7370.01A	0.634843384897769	0.717657513175898
TCGA.CV.7407.01A	0.75274771129294	0.813672946758376
TCGA.CV.7250.01A	0.546555380404277	0.669806607570966
TCGA.UF.A719.01A	0.521542534217624	0.741036208873892
TCGA.CV.5436.01A	0.685867305611589	0.752809885003347
TCGA.UF.A7JO.01A	0.706465449573345	0.758824484384168
TCGA.CV.7243.01A	0.657160478559283	0.7111798170782
TCGA.CV.7254.01A	0.738050675514927	0.73604554645499
TCGA.BA.5556.01A	0.717653386945721	0.805340361415932
TCGA.BA.5558.01A	0.658170688160642	0.759201343674125
TCGA.BB.7870.01A	0.48576780752178	0.711405215009995
TCGA.BA.5152.01A	0.655351523672911	0.791660998879056
TCGA.CN.5361.01A	0.680328172974452	0.734320951382421
TCGA.CQ.5329.01A	0.659117768041561	0.785474726212459
TCGA.BB.A5HY.01A	0.700290532741041	0.729194814147553
TCGA.CQ.7071.01A	0.673021488278393	0.740404353333484
TCGA.CV.7090.01A	0.668161613940322	0.765616377330411
TCGA.CQ.7069.01A	0.685990949836178	0.807179101658155
TCGA.CV.A6JY.01A	0.659901793512894	0.69232583418176
TCGA.CN.6998.01A	0.675436127272966	0.80873620328936
TCGA.CN.A6V1.01A	0.739733780211585	0.843757585669131
TCGA.CQ.5333.01A	0.74150626266385	0.831941178842579
TCGA.BB.A6UM.01A	0.614151208074269	0.819228469415121
TCGA.CV.A6JM.01A	0.656767427774626	0.711521041281803
TCGA.P3.A6T3.01A	0.578233576907301	0.731278033305376
TCGA.UF.A7JK.01A	0.628406941692153	0.642551343932651
TCGA.QK.A6IF.01A	0.781240530235427	0.841920129431741
TCGA.CV.7252.01A	0.680853752588218	0.782845572800065
TCGA.CV.5970.01A	0.670363002197152	0.819336337322615
TCGA.CQ.A4CI.01A	0.668030519055392	0.758103110493703
TCGA.KU.A66T.01A	0.558384124265146	0.712653111671248
TCGA.CV.6942.01A	0.705985456800713	0.78974963168535
TCGA.CN.5363.01A	0.685767461021374	0.777034213160036
TCGA.UF.A71A.06A	0.717992203946377	0.719106484013857
TCGA.CV.7091.01A	0.596977374216306	0.733617290697566
TCGA.CV.7236.01A	0.705260848634708	0.799003280791422
TCGA.QK.A6VC.01A	0.680730909081589	0.772106225040522
TCGA.CN.4725.01A	0.63749055412777	0.816763555605826
TCGA.D6.6827.01A	0.788882071483292	0.880118135530476
TCGA.CV.5442.01A	0.667108427951668	0.757935133592388
TCGA.BA.6872.01A	0.697225390094706	0.813287443542147
TCGA.CQ.5325.01A	0.723267542964693	0.836585045412816
TCGA.CV.A6K1.01A	0.651872216448512	0.716795621102603
TCGA.CV.6954.01A	0.597334548380662	0.719475590112912
TCGA.CV.7242.01A	0.646250607312338	0.744551451964741
TCGA.TN.A7HL.01A	0.728863515055431	0.798784977838812
TCGA.CV.7429.01A	0.665993166876812	0.713443764583837
TCGA.F7.A624.01A	0.728111224697263	0.819311467894263
TCGA.P3.A5QF.01A	0.648592664081754	0.809715055266655
TCGA.CN.6996.01A	0.707301016706198	0.849513666289379
TCGA.CV.A6JZ.01A	0.750338132101972	0.814210582281921
TCGA.CV.5444.01A	0.669055182158131	0.67455851521109
TCGA.DQ.5625.01A	0.716033360596059	0.812860354764854
TCGA.F7.8489.01A	0.744296463879608	0.830491586963796
TCGA.CR.6491.01A	0.677868244863844	0.805258762355256
TCGA.CN.A63Y.01A	0.746745453140927	0.839091419542981
TCGA.CN.A641.01A	0.601622249663399	0.780807498272314
TCGA.CN.5367.01A	0.688951496326788	0.775326949803837
TCGA.DQ.7594.01A	0.693435786034197	0.806975532464203
TCGA.CR.7390.01A	0.681504538111406	0.776567109324005
TCGA.CV.7434.01A	0.731002700974498	0.808601453004744
TCGA.CN.A6UY.01A	0.697901644506523	0.799104043371258
TCGA.QK.A6VB.01A	0.479495698008219	0.695777513411223
TCGA.CN.A6V7.01A	0.772330136553146	0.836790274123835
TCGA.CN.6994.01A	0.633613251527697	0.697297897789517
TCGA.MT.A51W.01A	0.736693499532868	0.768169485291897
TCGA.BA.4076.01A	0.691540158449731	0.654695509012983
TCGA.T2.A6X2.01A	0.701750370922266	0.809945884245164
TCGA.CN.A497.01A	0.592882420781095	0.760824725966824
TCGA.BB.7872.01A	0.730345091023869	0.818317114207178
TCGA.F7.7848.01A	0.625374849506857	0.750917496478181
TCGA.MT.A67G.01A	0.75171103015469	0.815055494463045
TCGA.CR.6467.01A	0.768370453917465	0.830771031880198
TCGA.UF.A7J9.01A	0.712738351766085	0.743950887013149
TCGA.CV.6943.01A	0.719981389203031	0.72923264603173
TCGA.F7.A61W.01A	0.593173662268611	0.602534330510873
TCGA.CV.6956.01A	0.549876527323404	0.626840480609158
TCGA.CV.5973.01A	0.604428890278807	0.709854808990287
TCGA.CV.A45R.01A	0.646836039135258	0.754613786275796
TCGA.DQ.5630.01A	0.727283824107745	0.803518137386636
TCGA.CR.7402.01A	0.611568448235308	0.643999579152907
TCGA.CN.6020.01A	0.66934140207405	0.765061746878606
TCGA.CQ.6220.01A	0.656299717876486	0.776337589918158
TCGA.HL.7533.01A	0.683330461779784	0.711958931433983
TCGA.CR.6474.01A	0.713916679885247	0.796439880387744
TCGA.CN.A642.01A	0.637281718240185	0.797069372102481
TCGA.CR.7385.01A	0.685982475904325	0.695810998665688
TCGA.BA.A8YP.01A	0.610348199023504	0.7020907747424
TCGA.CQ.5330.01A	0.694603294339697	0.82326518017828
TCGA.BA.4074.01A	0.633272130193027	0.754271771219955
TCGA.CV.5430.01A	0.712132153626205	0.741005491348558
TCGA.CR.7365.01A	0.660816251361767	0.790275080547119
TCGA.CX.7086.01A	0.520727266659656	0.574117565775391
TCGA.CN.6010.01A	0.679270474610164	0.707363860609493
TCGA.CV.7104.01A	0.647762036007106	0.721388625341291
TCGA.KU.A6H7.01A	0.70203947042944	0.828070159582329
TCGA.BA.5153.01A	0.706591582474845	0.835951831079319
TCGA.CN.A63V.01A	0.656409737276779	0.765471240403679
TCGA.CV.7568.01A	0.748169060580999	0.79767506697624
TCGA.CQ.7067.01A	0.672529593747123	0.746236773844339
TCGA.CQ.6225.01A	0.416938884057822	0.620001538877112
TCGA.CQ.7068.01A	0.695903251618238	0.772760254530358
TCGA.CV.7410.01A	0.757590482688515	0.817065994489035
TCGA.BA.5557.01A	0.737490545310461	0.83788490776217
TCGA.HD.8635.01A	0.706426098569133	0.79667673168077
TCGA.CN.6023.01A	0.70766419639664	0.675161275258421
TCGA.DQ.7593.01A	0.719029309254509	0.836634517136759
TCGA.CN.4741.01A	0.717362324602886	0.761515666952982
TCGA.CV.7424.01A	0.684067801682653	0.630982298824688
TCGA.CV.7255.01A	0.57040621398773	0.656581099915251
TCGA.CN.4726.01A	0.669673991155538	0.756481977408214
TCGA.CN.4737.01A	0.56761133317145	0.740554846505679
TCGA.CV.A45X.01A	0.685100110966342	0.78424307472397
TCGA.F7.A623.01A	0.719766066641734	0.642180674129077
TCGA.CV.A461.01A	0.66822535939699	0.771556096061299
TCGA.CR.7368.01A	0.685696522730933	0.783783604390857
TCGA.T2.A6WZ.01A	0.714708736111165	0.80390323519659
TCGA.CV.7427.01A	0.692637074206956	0.781157359997898
TCGA.CQ.A4CH.01A	0.770823257780919	0.791064778852481
TCGA.TN.A7HJ.01A	0.682162573927051	0.780840930418425
TCGA.CV.6936.01A	0.609593995290318	0.749392662516985
TCGA.CV.7245.01A	0.560658043995166	0.628089230136608
TCGA.CQ.6229.01A	0.726418223149331	0.844735170126257
TCGA.BB.A5HZ.01A	0.607454058925301	0.752690739118723
TCGA.CN.4729.01A	0.702377110624206	0.821969011230167
TCGA.T3.A92N.01A	0.717102022801446	0.702704725441845
TCGA.CV.7253.01A	0.531732671442837	0.642354004568786
TCGA.CN.4739.01A	0.640179727159615	0.751383402355747
TCGA.CV.6948.01A	0.646336367893977	0.669187780526365
TCGA.MZ.A6I9.01A	0.680043426713699	0.809085662373178
TCGA.CR.7393.01A	0.77146673864954	0.79350873954585
TCGA.CQ.5332.01A	0.692991572335862	0.682736708947231
TCGA.CV.5977.01A	0.63854993193868	0.735665855197085
TCGA.BA.A6DJ.01A	0.726841735047345	0.796571333251584
TCGA.CV.7438.01A	0.689653098915993	0.78739440377604
TCGA.UF.A71E.01A	0.670336530760347	0.746699961298712
TCGA.CN.4736.01A	0.667483964642218	0.771764306380151
TCGA.CV.A6JN.01A	0.700976805514408	0.787186682662715
TCGA.CV.5440.01A	0.661052527460939	0.73912843805438
TCGA.HD.7754.01A	0.67835927997445	0.779485590593132
TCGA.BB.7866.01A	0.750362046213592	0.834632938319053
TCGA.CV.5443.01A	0.675376929383563	0.78081476979108
TCGA.CV.6945.01A	0.679351304630514	0.752706166849434
TCGA.CQ.5334.01A	0.6984921260049	0.778879996210969
TCGA.CV.5976.01A	0.697676362412163	0.840704159972887
TCGA.CV.7418.01A	0.744926794841597	0.624814287672671
TCGA.CQ.7065.01A	0.581278520631762	0.682830819599759
TCGA.BB.4217.01A	0.738844758016291	0.812987284555852
TCGA.QK.A8Z9.01B	0.718056905327553	0.710776299376434
TCGA.F7.A61S.01A	0.725214104783192	0.791645066877207
TCGA.CV.7178.01A	0.681223090956877	0.759742566645
TCGA.CV.6940.01A	0.651322535198645	0.778542041086361
TCGA.QK.A8ZA.01A	0.682056232027526	0.623450734045256
TCGA.T2.A6WX.01A	0.675375873566527	0.777605523073968
TCGA.CV.7428.01A	0.6435707765695	0.761927513539664
TCGA.D6.6515.01A	0.734605968183685	0.819026960431547
TCGA.CN.6012.01A	0.662548443668988	0.622496832658
TCGA.CV.7100.01A	0.695092107341799	0.823790379947183
TCGA.HD.A6HZ.01A	0.68155748939218	0.794014435920386
TCGA.IQ.A61H.01A	0.731160044121905	0.747988022749424
TCGA.CN.4723.01A	0.646593351606238	0.724291020148475
TCGA.CV.6962.01A	0.651551241099257	0.556241469374492
TCGA.CV.A6K2.01A	0.690753832555488	0.751341796254178
TCGA.P3.A6T2.01A	0.700158178354207	0.834507613017838
TCGA.HD.7917.01A	0.629080041828106	0.816321542500819
TCGA.CV.6953.01A	0.686470147662873	0.711229147911354
TCGA.CR.5248.01A	0.678900670288496	0.794931459580324
TCGA.CV.A6JU.01A	0.670597147231129	0.802175667790235
TCGA.D6.A6ES.01A	0.622825300472401	0.675232686805161
TCGA.RS.A6TO.01A	0.605062848111908	0.720706885827983
TCGA.CV.7440.01A	0.60588766980122	0.713175471142904
TCGA.HD.7229.01A	0.714482364644891	0.79283237985417
TCGA.CN.6992.01A	0.609230159293741	0.648331891825176
TCGA.BA.5559.01A	0.703979650222948	0.764592183092388
TCGA.CQ.6223.01A	0.652318680052514	0.728838104033819
TCGA.CV.6955.01A	0.712563619965563	0.675643285156421
TCGA.CN.6011.01A	0.654576469373577	0.644051909122701
TCGA.BA.A6D8.01A	0.689158804886323	0.741928499390608
TCGA.D6.A6EK.01A	0.691959779796523	0.737668588219854
TCGA.CN.5356.01A	0.600568213261823	0.729208927297097
TCGA.CV.7261.01A	0.691028367408449	0.631247069250176
TCGA.CN.4733.01A	0.725375370415792	0.842186427363401
TCGA.F7.A622.01A	0.674591698745652	0.743640571638982
TCGA.MZ.A5BI.01A	0.706697651902237	0.772737528662766
TCGA.CV.A45U.01A	0.689095396467384	0.774461387618211
TCGA.BA.6868.01B	0.654978068599684	0.738262532030093
TCGA.CV.6951.01A	0.6181993684363	0.768877209576471
TCGA.F7.A50J.01A	0.648919842917821	0.773673336557899
TCGA.BA.A4II.01A	0.745218500551197	0.732453068784069
TCGA.CR.5250.01A	0.727191265284038	0.812878724094653
TCGA.H7.8502.01A	0.673579448494656	0.816952694044605
TCGA.BB.7864.01A	0.647557306197147	0.765977020044569
TCGA.CX.7082.01A	0.603230590191369	0.730272738614183
TCGA.CV.6950.01A	0.638844547543602	0.777373994777243
TCGA.RS.A6TP.01A	0.616261017776341	0.801359123335521
TCGA.DQ.5631.01A	0.652919018812613	0.823046084826544
TCGA.CN.4728.01A	0.724470061342262	0.768833988688719
TCGA.BB.7863.01A	0.663505351661087	0.673233640290071
TCGA.CV.7238.01A	0.703487198185014	0.808217984975351
TCGA.UF.A71D.01A	0.567579135803307	0.745836960042489
TCGA.C9.A47Z.01A	0.594187757832813	0.750830984181099
TCGA.D6.6825.01A	0.685314428353402	0.779937056692131
TCGA.P3.A6T6.01A	0.646278054538819	0.836658820470349
TCGA.BA.6869.01A	0.58298277929274	0.716853018110595
TCGA.CV.6933.01A	0.626152012086332	0.759564814837755
TCGA.CV.A464.01A	0.712411295494182	0.784454623397274
TCGA.QK.A6IG.01A	0.649429047503038	0.728304568990918
TCGA.CN.A498.01A	0.694649794383575	0.831699281906166
TCGA.CN.4730.01A	0.608691808055982	0.738061689703002
TCGA.CN.6995.01A	0.668952837024689	0.734385175809728
TCGA.P3.A5Q5.01A	0.651303722482253	0.803563692401201
TCGA.D6.A6EP.01A	0.687671263175611	0.716350557788655
TCGA.QK.A6II.01A	0.729916227829354	0.795500044837421
TCGA.MT.A51X.01A	0.626267013576643	0.792572564006289
TCGA.UF.A7JF.01A	0.646518064322696	0.773081419488335
TCGA.CV.5439.01A	0.604764565942242	0.745200036634053
TCGA.DQ.7591.01A	0.718972068355898	0.770849912634056
TCGA.CV.6003.01A	0.591383856488361	0.677955305895948
TCGA.CV.A6JD.01A	0.705814217217002	0.799600531472723
TCGA.P3.A6T5.01A	0.69878953631778	0.788610689457657
TCGA.HD.8224.01A	0.650631771684523	0.78358552507438
TCGA.CR.6482.01A	0.75991992674981	0.843074321217952
TCGA.CR.7380.01A	0.657629456887246	0.736084915940594
TCGA.CV.6934.01A	0.669294390981703	0.773792732647642
TCGA.CN.4731.01A	0.597932571827105	0.71076199215743
TCGA.CN.5360.01A	0.651839723692626	0.686654041011497
TCGA.CN.5370.01A	0.692982429471199	0.719273371521177
TCGA.CV.6441.01A	0.614951085554035	0.624375704459805
TCGA.CV.7247.01A	0.642085405751883	0.670076137153973
TCGA.CN.A6V6.01A	0.690673519121238	0.826654294771676
TCGA.KU.A66S.01A	0.523614299186036	0.706519914679987
TCGA.D6.8568.01A	0.724814557941515	0.82944818708206
TCGA.QK.AA3J.01A	0.593349018281439	0.505512256780365
TCGA.CQ.A4C9.01A	0.55021882450247	0.849104743717915
TCGA.CN.6013.01A	0.637523517588444	0.759790368570843
TCGA.CV.6952.01A	0.677250032214644	0.827001315208743
TCGA.P3.A5QA.01A	0.679271630647424	0.766412232282171
TCGA.F7.A50I.01A	0.702305138613977	0.754710895619986
TCGA.CR.7369.01A	0.696341238779448	0.83751028048344
TCGA.CV.A6JO.01B	0.733545754151759	0.83950801156249
TCGA.P3.A6T8.01A	0.697572343537195	0.764352882774468
TCGA.CV.A460.01A	0.679059702104783	0.877012184253549
TCGA.CV.7183.01A	0.6622093755665	0.707077359437984
TCGA.CQ.6228.01A	0.57967054500849	0.787584788821914
TCGA.P3.A6T0.01A	0.60063904595928	0.765584095914816
TCGA.CN.4740.01A	0.641098428533647	0.764361951620993
TCGA.BA.A4IH.01A	0.721936123847521	0.770090494006017
TCGA.CR.5243.01A	0.62242979392039	0.796517475282014
TCGA.D6.6517.01A	0.696830220422684	0.801799221736675
TCGA.CR.6473.01A	0.712934301654988	0.830359206728044
TCGA.CV.A6JE.01A	0.59030647098065	0.752924969178924
TCGA.CV.6959.01A	0.666909971676583	0.80269539626216
TCGA.CR.7382.01A	0.730184647654998	0.835576836159729
TCGA.IQ.7630.01A	0.670210418107101	0.767966218268219
TCGA.MT.A67A.01A	0.673354486342148	0.781223806136878
TCGA.D6.A74Q.01A	0.633640569964107	0.763516640590363
TCGA.CV.6937.01A	0.695361652108399	0.747384522540171
TCGA.CR.7374.01A	0.644851849436068	0.71235336860824
TCGA.DQ.7595.01A	0.60188592519824	0.693490465243821
TCGA.CR.7377.01A	0.699251685239924	0.733946342537388
TCGA.UP.A6WW.01A	0.692650461108696	0.827683101976127
TCGA.CR.7371.01A	0.730990195449678	0.75435543004464
TCGA.WA.A7GZ.01A	0.613936517745654	0.792536877785002
TCGA.CV.A463.01A	0.707847815246094	0.682876039799739
TCGA.CN.4722.01A	0.651992799011239	0.755206179952452
TCGA.CR.6477.01A	0.685032509419707	0.775713744935002
TCGA.CN.4734.01A	0.688168506246793	0.787208041509786
TCGA.IQ.A61G.01A	0.696923585516851	0.69518763010709
TCGA.CV.7177.01A	0.694086916984005	0.694278013119604
TCGA.CV.5441.01A	0.566155239736397	0.754838703222735
TCGA.CR.5249.01A	0.68795200376483	0.832966543767372
TCGA.BA.A6DL.01A	0.669135631799498	0.808205922438156
TCGA.BA.A6DI.01A	0.727237856324335	0.805357266216825
TCGA.BA.5149.01A	0.627724180756543	0.732617865136733
TCGA.BA.6873.01A	0.701705914503996	0.801478501733934
TCGA.CN.5359.01A	0.741673832922542	0.81258968605556
TCGA.MT.A7BN.01A	0.681184022647487	0.794089706955421
TCGA.HD.A633.01A	0.628027899400821	0.69878764585871
TCGA.QK.A6IH.01A	0.597050038446697	0.74508704398167
TCGA.CV.7414.01A	0.645302196022031	0.613877127515358
TCGA.BA.A6DD.01A	0.711038719944387	0.79552306088663
TCGA.CV.7446.01A	0.639423997153196	0.583882016129697
TCGA.CQ.A4C7.01A	0.71490519490097	0.907292364669801
TCGA.BA.4077.01B	0.655197573348599	0.779600666756202
