Sample_ID	MeanL1methy	MeanL1HSmethy
TCGA.N5.A4RV.01A	0.640993816523141	0.796834630366777
TCGA.NA.A5I1.01A	0.741318581431992	0.787033033160215
TCGA.ND.A4WA.01A	0.755648753567385	0.820587923509864
TCGA.N5.A4RO.01A	0.602656970915223	0.656058184980485
TCGA.ND.A4WF.01A	0.660595469447402	0.725642109240491
TCGA.N6.A4VD.01A	0.685255689497347	0.771597516383119
TCGA.N8.A4PQ.01A	0.717429979390615	0.794543090468144
TCGA.N5.A4RN.01A	0.605989806921547	0.748843802994271
TCGA.N7.A59B.01A	0.738016390435845	0.861430608074561
TCGA.N5.A4RU.01A	0.676448995759909	0.796832454613485
TCGA.N7.A4Y5.01A	0.678951008939783	0.824902076798018
TCGA.N5.A4RS.01A	0.718865980829781	0.836454846212031
TCGA.N5.A4RJ.01A	0.688617408260109	0.81549813278586
TCGA.N9.A4Q3.01A	0.724663481700047	0.792259132170856
TCGA.N8.A4PN.01A	0.704383514689385	0.748466107538359
TCGA.N8.A4PI.01A	0.66938071510018	0.735938882248532
TCGA.QN.A5NN.01A	0.642734639450294	0.640102964974352
TCGA.N8.A4PM.01A	0.656263115459334	0.661259281796628
TCGA.NA.A4R1.01A	0.600100814655179	0.853101555488322
TCGA.N6.A4VG.01A	0.796538070934402	0.789105922952484
TCGA.NF.A5CP.01A	0.672590985757256	0.690384621614511
TCGA.N8.A4PP.01A	0.744394873592807	0.833706993605829
TCGA.N5.A4RF.01A	0.684335269591719	0.79651540313935
TCGA.N5.A4RM.01A	0.690848851000376	0.811521603414468
TCGA.N5.A4RT.01A	0.607978540029743	0.599399359605273
TCGA.QM.A5NM.01A	0.684286541289557	0.837784359329901
TCGA.NA.A4QW.01A	0.649682829832612	0.800129290477937
TCGA.ND.A4W6.01A	0.737186005030791	0.768891963951785
TCGA.ND.A4WC.01A	0.749266607158114	0.797528453908455
TCGA.N9.A4Q7.01A	0.718354479190688	0.790849062020156
TCGA.N8.A56S.01A	0.71916287008126	0.762670651159499
TCGA.NG.A4VU.01A	0.683939061372835	0.829806675168496
TCGA.N5.A59F.01A	0.613262527837892	0.661761545937104
TCGA.N9.A4Q8.01A	0.744793504957803	0.812144069910871
TCGA.N5.A4R8.01A	0.598250052016762	0.754206780766769
TCGA.N7.A4Y8.01A	0.657191650326244	0.781132450912771
TCGA.N5.A59E.01A	0.605441315984586	0.634590980131523
TCGA.NF.A4WU.01A	0.799303020347638	0.796812074721721
TCGA.N9.A4Q1.01A	0.620311516296885	0.598125955793794
TCGA.N5.A4RD.01A	0.598418876663119	0.725703238035909
TCGA.NF.A4X2.01A	0.577512529565301	0.696973907826509
TCGA.N8.A4PO.01A	0.74944576094576	0.874143717350179
TCGA.N5.A4RA.01A	0.731522907482235	0.793504615890477
TCGA.N6.A4VE.01A	0.674583723249087	0.673389303770489
TCGA.NF.A4WX.01A	0.806938261534228	0.850855086445379
TCGA.N9.A4PZ.01A	0.711434831508956	0.786478473827433
TCGA.NA.A4QX.01A	0.65690250064854	0.763223701478273
TCGA.NG.A4VW.01A	0.786144309213074	0.858551852119261
TCGA.N6.A4VF.01A	0.724850299881873	0.830648036958419
TCGA.N8.A4PL.01A	0.811408923267662	0.849367113113949
TCGA.N6.A4V9.01A	0.686812203350203	0.725608047023501
TCGA.NA.A4R0.01A	0.718139622897168	0.816100044828237
TCGA.N7.A4Y0.01A	0.564703544628677	0.792205126939362
TCGA.NA.A4QV.01A	0.74606863966637	0.812043029219415
TCGA.N6.A4VC.01A	0.715419825007503	0.785204842883328
TCGA.NA.A4QY.01A	0.750467001503154	0.801866593518044
TCGA.N9.A4Q4.01A	0.64588149322979	0.642419306732972
