Sample_ID	MeanL1methy	MeanL1HSmethy
TCGA.OR.A5JP.01A	0.801971481798571	0.887274270763634
TCGA.OR.A5JA.01A	0.69073428476612	0.870646787404668
TCGA.P6.A5OG.01A	0.780879744197155	0.880194459716897
TCGA.OR.A5J9.01A	0.854834479846301	0.90179551344379
TCGA.OR.A5LK.01A	0.769814102242235	0.878456397356394
TCGA.OR.A5JE.01A	0.783848754773099	0.875305484991183
TCGA.OR.A5JC.01A	0.712265168401263	0.808403762188759
TCGA.OR.A5J1.01A	0.695350864248755	0.824920373382271
TCGA.OR.A5LH.01A	0.768246710154082	0.871774674091825
TCGA.OR.A5J6.01A	0.745726235064521	0.896148779868721
TCGA.OR.A5LM.01A	0.736362451330268	0.829953722881679
TCGA.OR.A5K9.01A	0.701577928050774	0.854299538301467
TCGA.OR.A5LB.01A	0.719318064075608	0.820988958440421
TCGA.OR.A5LA.01A	0.777509649406564	0.902794735697524
TCGA.OR.A5JF.01A	0.751213001899093	0.890194050402863
TCGA.OR.A5K0.01A	0.61238696059531	0.803900839768119
TCGA.OR.A5LC.01A	0.672275250294621	0.8773158611688
TCGA.OR.A5K1.01A	0.633838497066065	0.814517114229379
TCGA.PK.A5HA.01A	0.7745298093554	0.911894340406138
TCGA.OR.A5JX.01A	0.669776344734336	0.850705415157922
TCGA.OR.A5KY.01A	0.801696388848398	0.896759727961046
TCGA.OR.A5L4.01A	0.666421998105773	0.874707877988638
TCGA.OR.A5KW.01A	0.623414065445574	0.808236504916241
TCGA.OR.A5JZ.01A	0.676953150313622	0.807907589040362
TCGA.OU.A5PI.01A	0.837031198730299	0.872582435833762
TCGA.OR.A5JJ.01A	0.786656376433018	0.894938113593888
TCGA.OR.A5L3.01A	0.718130610417309	0.888289286310587
TCGA.OR.A5JT.01A	0.666688447356423	0.877292268963586
TCGA.OR.A5LE.01A	0.610981950691319	0.823820202881678
TCGA.OR.A5K3.01A	0.676960936064442	0.788509766535398
TCGA.OR.A5LD.01A	0.82497179606047	0.908724411898245
TCGA.OR.A5LG.01A	0.65055282503563	0.862445662069865
TCGA.OR.A5KT.01A	0.695066748588082	0.834804334838823
TCGA.OR.A5LS.01A	0.793506896046237	0.898931616310187
TCGA.OR.A5LT.01A	0.618372028585705	0.781305512310668
TCGA.OR.A5LL.01A	0.72789360281291	0.839551746611809
TCGA.OR.A5J8.01A	0.667112633893519	0.745556002542789
TCGA.OR.A5JO.01A	0.768644509531851	0.874422328589365
TCGA.OR.A5LO.01A	0.731841844354113	0.883292973923906
TCGA.OR.A5LN.01A	0.74673012962168	0.900327258540099
TCGA.OR.A5JY.01A	0.671845447684962	0.829057885275452
TCGA.OR.A5J4.01A	0.637590200090989	0.852733253467294
TCGA.OR.A5K4.01A	0.563802285718126	0.619529890501927
TCGA.PA.A5YG.01A	0.694804252611482	0.841823523235035
TCGA.OR.A5JW.01A	0.729810001141756	0.871377063258818
TCGA.OR.A5J5.01A	0.749532181281015	0.898339921170768
TCGA.OR.A5JI.01A	0.782886222005628	0.887717764700439
TCGA.P6.A5OF.01A	0.78830928189282	0.882756180957859
TCGA.OR.A5J2.01A	0.528791874517781	0.76557057902351
TCGA.OR.A5LR.01A	0.782150563700358	0.913145965161221
TCGA.OR.A5JR.01A	0.700525012318165	0.890489361043853
TCGA.PK.A5HB.01A	0.770900568243139	0.896358206332116
TCGA.OR.A5L9.01A	0.705172686307893	0.879532787885273
TCGA.OR.A5KO.01A	0.751938943108874	0.866027505602872
TCGA.OR.A5K5.01A	0.759405420818495	0.869539527194928
TCGA.OR.A5J3.01A	0.677053478612173	0.802501452106973
TCGA.OR.A5LP.01A	0.770912594786395	0.884880841329047
TCGA.OR.A5JB.01A	0.736334642610297	0.863884663169619
TCGA.OR.A5JM.01A	0.662490324492532	0.858928444530562
TCGA.OR.A5L6.01A	0.643375691958012	0.81317128438691
TCGA.OR.A5LJ.01A	0.680514122638658	0.861519833917265
TCGA.OR.A5L5.01A	0.781366022738801	0.893214338253715
TCGA.OR.A5JV.01A	0.696879707727726	0.806369624949778
TCGA.OR.A5L8.01A	0.77927037829894	0.864219429251153
TCGA.OR.A5K6.01A	0.758367420839192	0.875905324641905
TCGA.PK.A5H8.01A	0.687749942266658	0.872044922995487
TCGA.OR.A5K2.01A	0.701483606462156	0.828482536483289
TCGA.OR.A5JG.01A	0.765280415073944	0.884853891440947
TCGA.OR.A5KZ.01A	0.66135900990674	0.879697206933914
TCGA.OR.A5JS.01A	0.764129752076061	0.891438256426698
TCGA.PK.A5H9.01A	0.742224684870384	0.890781204670904
TCGA.OR.A5JK.01A	0.619797541289508	0.75529168567887
TCGA.OR.A5JL.01A	0.741220865422178	0.869732082413128
TCGA.OR.A5JQ.01A	0.764468775772539	0.888061849204062
TCGA.OR.A5J7.01A	0.778847706798422	0.892401338736314
TCGA.OR.A5K8.01A	0.734083891464468	0.899870928058024
TCGA.OR.A5KX.01A	0.634771809868395	0.801047790518551
TCGA.OR.A5KV.01A	0.737639767591558	0.881219053679324
TCGA.OR.A5JD.01A	0.806970185191133	0.899033358243249
TCGA.OR.A5KU.01A	0.735261737752107	0.879144986910218
