Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	569	0.97	146.885	25.815%	18.885	24.326%	0.07346	0.933
C002	730	0.975	152.581	20.902%	21.491	22.15%	0.03901	0.939
C003	261	0.917	107.592	41.223%	14.524	39.87%	0.16945	0.814
C004	21	0.597	28.861	137.433%	4.345	80.685%	1.33248	0.497
C005	1064	0.973	246.664	23.183%	34.856	23.427%	0.0418	0.942
C006	279	0.942	102.972	36.908%	14.73	33.608%	0.13444	0.898
C007	525	0.978	124.452	23.705%	16.931	21.054%	0.06958	0.961
C008	12	0.8	12.882	107.35%	2.561	64.025%	1.07803	0.791
C009	816	0.977	162.452	19.908%	22.092	21.523%	0.04481	0.931
C010	35	0.653	43.227	123.506%	6.699	76.342%	1.10935	0.571
C010r	63	0.729	58.417	92.725%	8.254	68.546%	0.76693	0.589
C011	54	0.798	47.908	88.719%	6.516	60.5%	0.7096	0.714
C013	86	0.844	57.0	66.279%	8.142	53.687%	0.48342	0.754
C014	132	0.888	72.217	54.71%	9.474	46.119%	0.30658	0.795
F001	139	0.88	76.312	54.901%	10.293	47.63%	0.30642	0.777
F002	66	0.773	51.08	77.394%	7.286	63.416%	0.61695	0.622
F002r	541	0.944	181.059	33.467%	23.249	32.915%	0.10062	0.849
F004	67	0.865	45.389	67.745%	6.119	50.129%	0.48179	0.796
F005	115	0.883	66.626	57.936%	9.624	47.472%	0.37494	0.822
F006	8	0.603	11.973	149.663%	2.317	81.918%	1.48221	0.583
F007	2059	0.996	202.474	9.834%	25.585	9.419%	0.00965	0.989
F008	172	0.883	96.614	56.171%	13.877	47.823%	0.31923	0.817
F010	124	0.846	79.705	64.278%	10.341	53.33%	0.36453	0.71
F011	100	0.876	64.56	64.56%	9.654	48.76%	0.38298	0.829
F012	106	0.841	72.14	68.057%	9.912	54.236%	0.42772	0.744
F013	23	0.674	27.293	118.665%	4.319	75.184%	1.0794	0.614
F014	198	0.924	89.307	45.105%	12.32	38.313%	0.23594	0.87
F015	507	0.972	122.472	24.156%	16.953	23.48%	0.06887	0.942
F016	239	0.922	104.198	43.597%	14.218	38.768%	0.19828	0.855
F017	586	0.958	168.474	28.75%	22.965	29.012%	0.07417	0.901
F018	58	0.835	52.68	90.828%	8.661	56.141%	0.72804	0.806
F019	8	0.33	14.142	176.775%	2.985	94.394%	2.26345	0.213
F020	384	0.937	141.093	36.743%	19.285	34.92%	0.13254	0.869
F021	8	0.402	13.622	170.275%	2.9	91.706%	2.08255	0.326
F022	306	0.932	123.674	40.416%	16.329	36.332%	0.14979	0.867
F023	32	0.775	28.887	90.272%	4.643	63.183%	0.95565	0.709
F024	4	0.386	7.108	177.7%	1.855	92.75%	2.43527	0.35
F026	1396	0.988	213.182	15.271%	27.32	15.447%	0.02075	0.967
F027	31	0.616	37.446	120.794%	5.398	78.738%	1.05105	0.461
F029	328	0.917	142.543	43.458%	19.634	40.28%	0.1982	0.839
F031	650	0.969	159.628	24.558%	23.018	24.678%	0.07299	0.937
F034	129	0.88	72.597	56.277%	9.555	47.597%	0.30115	0.779
F036	736	0.966	189.074	25.689%	25.771	26.001%	0.06117	0.919
F037	9	0.501	14.288	158.756%	2.896	87.318%	1.90259	0.453
F038	176	0.887	91.541	52.012%	13.058	46.283%	0.27404	0.804
F039	150	0.881	80.172	53.448%	11.063	47.345%	0.30552	0.78
F041	703	0.972	164.312	23.373%	23.768	23.945%	0.05914	0.944
F042	349	0.952	114.263	32.74%	15.083	30.667%	0.13027	0.897
F043	260	0.914	108.451	41.712%	14.242	40.543%	0.15348	0.786
F044	67	0.827	49.162	73.376%	6.954	56.591%	0.52076	0.74
F045	306	0.912	128.518	41.999%	18.013	41.152%	0.15525	0.811
F046	28	0.589	35.639	127.282%	4.714	80.844%	1.13432	0.375
F048	28	0.583	34.805	124.304%	5.267	81.272%	1.1562	0.427
F050	7	0.276	12.713	181.614%	2.548	96.305%	2.71699	0.101
F052	44	0.729	41.655	94.67%	5.977	68.561%	0.78191	0.603
F053	125	0.804	82.446	65.957%	11.118	59.857%	0.40933	0.59
F054	41	0.692	42.773	104.324%	6.531	72.567%	0.90081	0.586
F055	1155	0.996	117.609	10.183%	17.163	9.092%	0.0125	0.993
F056	78	0.812	54.411	69.758%	7.471	58.339%	0.47802	0.668
F057	411	0.965	113.716	27.668%	15.59	26.554%	0.09184	0.927
F058	896	0.979	181.921	20.304%	23.994	20.561%	0.04571	0.944
F059	217	0.972	70.102	32.305%	10.184	24.213%	0.14793	0.962
F059r	319	0.978	85.328	26.749%	11.783	20.659%	0.09384	0.968
SJ01	2763	0.999	114.561	4.146%	20.851	3.702%	0.00162	0.999
