MutationType	SignatureA	SignatureB
ACA>AAA	0.000876022848967769	0.0186119261961038
ACC>AAC	0.00222011955198115	0.013856320452502
ACG>AAG	0.000179727203343363	0.0262088622339133
ACT>AAT	0.00126505262139615	0.00701059629483903
CCA>CAA	0.00030502624241984	0.0196531116971237
CCC>CAC	0.00173825870212213	0.0147144110424313
CCG>CAG	9.19544808510908e-05	0.0235315759125176
CCT>CAT	9.99999987000003e-10	0.00679090519368334
GCA>GAA	0.00155626957873352	0.00979051996398045
GCC>GAC	0.000329319166879339	0.00497575959492568
GCG>GAG	0.000582768115379397	0.00852472111169412
GCT>GAT	9.99999987000003e-10	0.00583252424102131
TCA>TAA	6.50649746569654e-05	0.0122043888297801
TCC>TAC	0.00249718024174828	0.0144724505075253
TCG>TAG	9.99999987000003e-10	0.00872357071822631
TCT>TAT	5.83920548974847e-06	0.0163805298428054
ACA>AGA	0.00183905473936801	0.0049002080065107
ACC>AGC	0.00118795870763904	0.00335218562730962
ACG>AGG	0.000116771911776761	0.0783736550784405
ACT>AGT	0.00112668749093094	0.0190061522119109
CCA>CGA	2.35613219305068e-05	0.00741825843017056
CCC>CGC	7.45800381692624e-05	0.00718858989956263
CCG>CGG	0.000347295893343176	0.0147436808395026
CCT>CGT	9.99999987000003e-10	0.00998180642680601
GCA>GGA	9.44596535446487e-06	0.00942971910052476
GCC>GGC	0.000159316647103869	0.00301090938208555
GCG>GGG	0.00016480324898293	0.0088057578976586
GCT>GGT	9.99999987000003e-10	0.0133187292595821
TCA>TGA	9.99999987000003e-10	0.00470107186297081
TCC>TGC	0.000200366635997985	0.0139034576415093
TCG>TGG	6.96847183830898e-05	0.0277532982135668
TCT>TGT	0.00154917696666796	0.00975927364838168
ACA>ATA	0.0247184776796775	0.0188522761862783
ACC>ATC	0.00615401560022841	0.0109208225441034
ACG>ATG	0.370623893900154	0.0408158138183229
ACT>ATT	0.00946812821326173	0.0159331659866928
CCA>CTA	0.0019552964257682	0.0140302299439503
CCC>CTC	0.000262195446688814	0.00408722260775824
CCG>CTG	0.193380667884269	0.0109134091644227
CCT>CTT	0.000191624800733112	0.012872270474819
GCA>GTA	0.00437331451239039	0.0115848298079565
GCC>GTC	9.01499076295061e-05	0.00429280316853425
GCG>GTG	0.216428363122162	0.00214789101106693
GCT>GTT	3.76324710980901e-05	0.0162248731865894
TCA>TTA	0.00109760063631051	0.0120051237236082
TCC>TTC	3.68161355799252e-05	0.00934879440749326
TCG>TTG	0.110451282739769	0.0038611966421985
TCT>TTT	9.99999987000003e-10	0.00747528258271841
ATA>AAA	0.00078381162591606	0.0123966339341813
ATC>AAC	0.00220131412409248	0.00701334116593624
ATG>AAG	0.00111728054687489	0.00485430082769408
ATT>AAT	0.000179455597265891	0.00621327023082455
CTA>CAA	4.22647250116702e-05	0.00393097570545386
CTC>CAC	0.000387448804199115	0.00873537446233841
CTG>CAG	0.000318465385441773	0.00818028628260221
CTT>CAT	0.000257226109941445	0.0141692668822619
GTA>GAA	7.93494627037981e-05	0.00387727501024042
GTC>GAC	0.000126346021762315	0.0062611860348726
GTG>GAG	0.000242932684835011	0.00393382118129391
GTT>GAT	0.000257267497061552	0.00675587160408004
TTA>TAA	0.00652536113429761	0.017178463116969
TTC>TAC	9.99999987000003e-10	0.00711896593184795
TTG>TAG	2.77413164743511e-05	0.00885020272388001
TTT>TAT	0.00222100526914357	0.0149009928635317
ATA>ACA	0.00106794334031064	0.00896483537953125
ATC>ACC	0.0030008945906911	0.00412477054834908
ATG>ACG	0.000103887489446262	0.0161138101395501
ATT>ACT	0.00562882583773885	0.00550565391339178
CTA>CCA	9.99999987000003e-10	0.0115127140373914
CTC>CCC	0.00246468704961268	0.00450563781947019
CTG>CCG	0.000353850428268637	0.00569155794138197
CTT>CCT	4.21455087827138e-05	0.00623471329237204
GTA>GCA	0.00102607063841118	0.00504646320739364
GTC>GCC	0.00186091039804959	0.00338722877091472
GTG>GCG	0.00115541154982505	0.00295869190397399
GTT>GCT	7.10975679863901e-05	0.00591474055054298
TTA>TCA	0.000247614150185401	0.0181012478794232
TTC>TCC	0.00339697293677975	0.00413983686642085
TTG>TCG	0.000412156701904643	0.00481582221148348
TTT>TCT	0.00427420125128516	0.0105609283228177
ATA>AGA	0.000168519499571953	0.00556103478064101
ATC>AGC	0.000204337230352979	0.00273312507515894
ATG>AGG	0.000262658935581113	0.00333818161445652
ATT>AGT	0.000109830748053442	0.00580612756064341
CTA>CGA	3.48929706491697e-05	0.00242764689577702
CTC>CGC	0.000209005461807156	0.00341882585582615
CTG>CGG	0.000125813485606627	0.00692980899902883
CTT>CGT	0.000169175633846104	0.0214811545101766
GTA>GGA	9.99999987000003e-10	0.00385927440789463
GTC>GGC	9.99999987000003e-10	0.00493248664791215
GTG>GGG	0.000343660871230016	0.00628344030891453
GTT>GGT	1.45585482833281e-05	0.00886147805369258
TTA>TGA	9.99999987000003e-10	0.00885920950117327
TTC>TGC	5.52133359340896e-05	0.00190571604652649
TTG>TGG	0.000577613839448093	0.00387381482190651
TTT>TGT	9.99999987000003e-10	0.0154848615617759
