Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	569	0.929	212.964	37.428%	28.757	37.042%	0.12552	0.833
C002	730	0.865	328.155	44.953%	49.268	50.778%	0.15946	0.646
C003	261	0.891	117.857	45.156%	16.6	45.569%	0.21786	0.752
C004	21	0.534	30.126	143.457%	4.56	84.677%	1.44494	0.396
C005	1064	0.959	282.687	26.568%	43.487	29.227%	0.05639	0.919
C006	279	0.9	133.405	47.815%	19.32	44.08%	0.21066	0.829
C007	525	0.921	217.879	41.501%	32.398	40.287%	0.15846	0.872
C008	12	0.57	18.238	151.983%	3.337	83.425%	1.62019	0.528
C009	816	0.959	213.517	26.166%	29.85	29.081%	0.06604	0.888
C010	35	0.578	47.511	135.746%	7.204	82.097%	1.23919	0.477
C010r	63	0.648	64.661	102.637%	9.177	76.211%	0.90049	0.433
C011	54	0.705	55.764	103.267%	7.7	71.493%	0.84831	0.587
C013	86	0.735	73.625	85.61%	10.296	67.89%	0.62173	0.562
C014	132	0.872	77.932	59.039%	10.085	49.093%	0.34047	0.765
F001	139	0.846	85.69	61.647%	11.552	53.456%	0.33257	0.71
F002	66	0.695	57.959	87.817%	8.273	72.007%	0.68867	0.468
F002r	541	0.928	204.878	37.87%	26.528	37.558%	0.1239	0.805
F004	67	0.763	55.485	82.813%	7.935	65.006%	0.6268	0.638
F005	115	0.809	83.925	72.978%	12.058	59.478%	0.49443	0.711
F006	8	0.374	13.66	170.75%	2.624	92.772%	2.14469	0.249
F007	2059	0.899	628.197	30.51%	119.058	43.83%	0.08736	0.728
F008	172	0.763	126.115	73.323%	18.786	64.741%	0.47026	0.587
F010	124	0.822	83.355	67.222%	11.04	56.934%	0.39509	0.661
F011	100	0.75	84.198	84.198%	13.31	67.226%	0.60965	0.666
F012	106	0.822	77.939	73.527%	10.497	57.437%	0.46091	0.716
F013	23	0.552	31.204	135.67%	4.796	83.488%	1.33556	0.413
F014	198	0.855	119.283	60.244%	16.789	52.211%	0.35095	0.755
F015	507	0.947	162.733	32.097%	23.164	32.083%	0.11573	0.888
F016	239	0.899	114.333	47.838%	16.227	44.246%	0.22645	0.818
F017	586	0.931	204.786	34.946%	28.841	36.435%	0.10541	0.831
F018	58	0.674	65.839	113.516%	11.662	75.594%	0.96493	0.632
F019	8	0.315	14.258	178.225%	3.001	94.9%	2.31723	0.187
F020	384	0.91	167.831	43.706%	22.881	41.431%	0.19839	0.809
F021	8	0.332	14.118	176.475%	2.983	94.331%	2.31452	0.217
F022	306	0.912	135.561	44.301%	18.399	40.937%	0.17822	0.822
F023	32	0.608	40.542	126.694%	5.864	79.799%	1.20787	0.485
F024	4	0.275	7.392	184.8%	1.923	96.15%	2.92788	0.188
F026	1396	0.91	488.039	34.96%	74.845	42.318%	0.08746	0.742
F027	31	0.519	41.292	133.2%	5.876	85.71%	1.32269	0.283
F029	328	0.873	170.215	51.895%	23.915	49.062%	0.26284	0.751
F031	650	0.952	205.62	31.634%	28.987	31.077%	0.12294	0.903
F034	129	0.863	76.527	59.323%	10.157	50.596%	0.34061	0.747
F036	736	0.933	227.723	30.941%	35.747	36.066%	0.09919	0.834
F037	9	0.334	15.508	172.311%	3.128	94.313%	2.32259	0.196
F038	176	0.864	101.774	57.826%	14.341	50.83%	0.31909	0.766
F039	150	0.84	92.677	61.785%	12.696	54.334%	0.37227	0.695
F041	703	0.937	226.257	32.184%	34.692	34.95%	0.09659	0.863
F042	349	0.936	129.218	37.025%	17.357	35.29%	0.15874	0.859
F043	260	0.883	122.857	47.253%	16.545	47.099%	0.19353	0.7
F044	67	0.747	60.524	90.334%	8.174	66.519%	0.67035	0.601
F045	306	0.883	141.445	46.224%	20.592	47.044%	0.1883	0.745
F046	28	0.539	37.047	132.311%	4.918	84.343%	1.21848	0.271
F048	28	0.42	41.081	146.718%	5.932	91.533%	1.52687	0.118
F050	7	0.188	13.145	187.786%	2.624	99.178%	2.99926	-0.067
F052	44	0.686	43.636	99.173%	6.345	72.782%	0.85086	0.53
F053	125	0.775	87.321	69.857%	11.869	63.901%	0.47065	0.524
F054	41	0.681	43.871	107.002%	6.635	73.722%	0.92459	0.575
F055	1155	0.885	479.398	41.506%	88.209	46.73%	0.13454	0.804
F056	78	0.779	58.855	75.455%	8.032	62.719%	0.53963	0.599
F057	411	0.948	133.732	32.538%	18.921	32.227%	0.11444	0.899
F058	896	0.975	198.591	22.164%	25.695	22.019%	0.05432	0.935
F059	217	0.805	146.825	67.661%	25.802	61.346%	0.42464	0.762
F059r	319	0.808	199.582	62.565%	34.174	59.918%	0.32621	0.724
SJ01	2763	0.976	715.046	25.879%	134.748	23.924%	0.05343	0.972
SJ02	304	0.897	144.308	47.47%	18.758	44.312%	0.21642	0.762
SJ03	470	0.912	206.468	43.929%	30.161	42.02%	0.17844	0.852
SJ04	19	0.221	33.956	178.716%	6.059	99.609%	2.71501	-0.032
SJ08	296	0.911	135.052	45.626%	18.299	41.718%	0.20017	0.83
SJ09	133	0.84	78.998	59.397%	11.938	54.433%	0.37427	0.726
SJ10	594	0.939	200.638	33.777%	26.647	34.762%	0.09526	0.832
SJ12	276	0.916	117.709	42.648%	15.625	40.157%	0.20015	0.814
SJ13	126	0.734	101.126	80.259%	13.83	67.971%	0.57518	0.488
SJ14	123	0.816	80.21	65.211%	10.755	57.903%	0.39216	0.621
SJ17	335	0.87	155.884	46.533%	22.732	49.807%	0.20065	0.683
SJ18	156	0.831	88.98	57.038%	12.712	55.853%	0.33586	0.632
SJ19	304	0.927	129.05	42.451%	16.636	37.673%	0.18376	0.854
SJ20	1600	0.941	459.762	28.735%	68.58	34.361%	0.06912	0.818
SJ25	204	0.771	135.604	66.473%	19.447	63.838%	0.39595	0.501
SJ28	1067	0.948	291.691	27.337%	42.86	32.378%	0.07758	0.845
SJ31	124	0.711	113.967	91.909%	16.12	70.287%	0.67769	0.539
SJ32	1063	0.963	238.395	22.427%	35.758	27.061%	0.04782	0.883
SJ33	155	0.854	94.383	60.892%	13.257	52.362%	0.3953	0.751
T135	4916	0.988	696.196	14.162%	122.759	16.368%	0.01516	0.981
