NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	182.14	87.824	27.783	64.11	0.824	0.575	40000.0
2	180.171	86.074	27.917	63.867	0.777	0.578	40000.0
3	183.056	87.54	28.26	64.254	0.801	0.578	60000.0
4	178.335	86.216	26.92	63.515	0.786	0.578	40000.0
5	181.495	87.902	28.132	64.813	0.802	0.566	80000.0
6	181.096	87.076	28.045	64.276	0.802	0.575	60000.0
7	179.07	86.727	27.485	63.803	0.795	0.582	40000.0
8	178.928	87.009	27.533	64.166	0.809	0.576	80000.0
9	181.951	87.626	27.6	64.184	0.787	0.576	80000.0
10	180.999	86.875	28.053	64.016	0.795	0.577	60000.0
11	181.633	86.059	27.576	63.448	0.776	0.59	60000.0
12	182.344	87.37	27.999	64.502	0.788	0.574	60000.0
13	181.54	87.343	27.724	64.386	0.787	0.573	40000.0
14	183.644	87.184	28.256	64.445	0.792	0.578	60000.0
15	183.235	86.247	28.27	63.981	0.784	0.581	60000.0
16	183.597	87.551	28.107	64.426	0.802	0.571	60000.0
17	182.558	88.252	27.907	64.36	0.809	0.572	40000.0
18	184.017	87.368	28.361	64.304	0.805	0.572	80000.0
19	180.804	87.122	27.927	64.267	0.812	0.567	80000.0
20	181.399	87.219	28.161	64.331	0.776	0.577	100000.0
21	183.582	87.888	28.136	64.318	0.816	0.574	80000.0
22	184.06	88.178	27.958	64.774	0.803	0.568	100000.0
23	181.963	87.932	28.363	64.809	0.822	0.565	40000.0
24	186.479	87.863	28.665	64.993	0.794	0.565	60000.0
25	182.431	86.671	28.323	64.219	0.786	0.577	80000.0
26	181.323	87.022	27.859	64.064	0.796	0.579	40000.0
27	182.385	87.146	27.528	64.043	0.788	0.583	100000.0
28	182.107	87.252	27.789	64.277	0.785	0.576	40000.0
29	181.814	87.332	27.749	64.045	0.797	0.577	40000.0
30	182.267	87.773	28.017	64.676	0.805	0.56	120000.0
31	184.941	88.347	28.471	64.722	0.813	0.568	120000.0
32	180.072	86.219	28.045	63.789	0.78	0.585	80000.0
33	181.5	86.643	28.275	64.264	0.792	0.576	40000.0
34	183.546	87.745	28.381	64.579	0.8	0.573	40000.0
35	183.024	88.082	28.197	64.62	0.814	0.57	40000.0
36	183.274	87.439	28.006	64.508	0.789	0.571	60000.0
37	182.042	86.952	27.948	64.304	0.794	0.57	40000.0
38	179.619	87.695	27.562	64.172	0.809	0.573	40000.0
39	182.039	86.824	27.963	63.996	0.787	0.577	40000.0
40	183.352	87.624	27.887	64.755	0.803	0.564	40000.0
41	184.485	87.453	28.362	64.285	0.795	0.58	60000.0
42	179.797	87.267	27.464	64.138	0.794	0.576	80000.0
43	184.417	88.083	27.664	64.467	0.817	0.568	40000.0
44	180.7	87.08	27.609	64.085	0.8	0.575	40000.0
45	181.781	88.015	27.89	64.703	0.808	0.565	40000.0
46	184.569	88.241	27.84	64.158	0.803	0.578	40000.0
47	182.196	87.382	28.087	64.352	0.806	0.573	60000.0
48	180.046	87.051	27.891	64.15	0.803	0.572	40000.0
49	183.317	88.082	28.155	64.48	0.815	0.566	40000.0
50	179.805	87.359	27.515	64.367	0.796	0.567	40000.0
51	179.346	86.665	27.699	63.955	0.817	0.574	80000.0
52	178.113	86.138	27.307	63.758	0.772	0.583	40000.0
53	181.599	87.649	28.057	64.539	0.808	0.574	40000.0
54	180.829	86.667	27.943	64.543	0.782	0.566	60000.0
55	183.764	87.927	28.241	64.724	0.81	0.565	60000.0
56	182.367	87.491	27.915	64.599	0.807	0.562	40000.0
57	183.222	87.647	27.934	64.622	0.803	0.572	60000.0
58	180.772	87.166	27.798	64.146	0.808	0.572	40000.0
59	184.351	87.559	28.438	64.761	0.789	0.573	40000.0
60	180.159	87.133	27.838	64.29	0.807	0.572	40000.0
61	181.973	87.318	27.89	64.592	0.797	0.563	60000.0
62	182.856	87.458	27.595	64.3	0.813	0.566	40000.0
63	182.383	87.568	28.323	64.097	0.799	0.581	40000.0
64	183.021	87.883	28.278	64.471	0.799	0.578	40000.0
65	181.311	86.534	27.761	63.766	0.778	0.581	60000.0
66	182.1	87.608	27.955	64.135	0.803	0.583	40000.0
