NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	3.888	141.632	1.649	81.497	1.695	0.484	40000.0
2	3.58	135.51	1.502	78.788	1.604	0.53	40000.0
3	3.865	144.287	1.674	82.132	1.748	0.47	40000.0
4	3.965	146.911	1.658	82.745	1.761	0.478	40000.0
5	3.635	139.277	1.591	80.799	1.658	0.508	40000.0
6	3.975	140.531	1.676	80.826	1.584	0.509	40000.0
7	3.731	136.425	1.583	79.153	1.687	0.515	80000.0
8	3.955	146.131	1.592	82.028	1.726	0.487	40000.0
9	3.956	136.522	1.648	78.483	1.611	0.517	40000.0
10	3.559	127.964	1.47	72.984	1.528	0.574	60000.0
11	4.018	142.365	1.688	81.703	1.69	0.501	60000.0
12	3.941	141.374	1.611	81.575	1.683	0.503	60000.0
13	3.925	137.781	1.707	80.125	1.539	0.53	60000.0
14	3.621	134.78	1.507	77.426	1.523	0.552	60000.0
15	4.051	127.585	1.641	73.418	1.4	0.586	60000.0
16	4.015	135.433	1.619	78.425	1.583	0.532	80000.0
17	4.37	140.704	1.752	81.397	1.721	0.471	40000.0
18	4.107	137.883	1.613	79.545	1.556	0.525	80000.0
19	3.584	132.041	1.577	77.943	1.547	0.534	60000.0
20	3.958	136.66	1.597	79.274	1.536	0.529	40000.0
21	4.541	149.489	1.914	84.044	1.708	0.467	40000.0
22	4.219	143.988	1.696	81.739	1.676	0.499	60000.0
23	3.974	137.729	1.656	79.058	1.705	0.499	80000.0
24	4.076	129.728	1.58	75.816	1.451	0.566	40000.0
25	3.706	137.159	1.585	79.047	1.601	0.519	40000.0
26	3.721	131.641	1.552	79.273	1.528	0.528	40000.0
27	3.595	139.451	1.589	80.898	1.621	0.503	0.0
28	3.673	140.789	1.563	80.463	1.613	0.508	80000.0
29	4.133	144.02	1.733	82.498	1.719	0.491	40000.0
30	4.373	136.348	1.677	79.356	1.635	0.523	60000.0
31	4.332	142.089	1.697	80.318	1.727	0.504	40000.0
32	3.789	143.952	1.592	82.098	1.759	0.476	40000.0
33	5.672	137.243	1.994	80.536	1.533	0.532	40000.0
34	4.365	140.986	1.722	80.973	1.703	0.499	80000.0
35	3.968	138.934	1.696	80.156	1.636	0.503	60000.0
36	3.97	147.46	1.688	82.874	1.695	0.488	40000.0
