Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	1	0.796	1.419	141.9%	0.743	74.3%	1.23685	0.805
C002	3	0.978	2.17	72.333%	0.912	40.786%	0.45764	0.982
C005	3	0.651	3.713	123.767%	1.319	76.153%	1.51736	0.634
C006	1	0.079	1.967	196.7%	1.006	100.6%	4.08937	0.022
C007	2	0.997	1.105	55.25%	0.564	28.2%	0.32346	0.998
C009	5	0.616	6.483	129.66%	1.762	78.799%	1.34094	0.58
C011	1	0.269	1.84	184.0%	0.964	96.4%	2.52471	0.246
F002r	6	0.945	4.572	76.2%	1.338	42.311%	0.52661	0.947
F007	8	0.889	6.889	86.112%	1.619	51.197%	0.70209	0.886
F008	1	0.334	1.858	185.8%	0.95	95.0%	2.64654	0.325
F012	2	0.216	3.741	187.05%	1.386	98.005%	2.73602	0.156
F016	1	0.997	0.553	55.3%	0.282	28.2%	0.32346	0.998
F017	2	0.748	1.871	93.55%	0.94	66.468%	1.19881	0.741
F020	1	0.886	1.407	140.7%	0.72	72.0%	1.21553	0.907
F022	2	0.712	2.318	115.9%	1.008	71.276%	1.28182	0.704
F026	16	0.9	9.892	61.825%	2.04	43.493%	0.42458	0.882
F031	1	0.814	1.515	151.5%	0.777	77.7%	1.41756	0.839
F036	5	0.76	4.937	98.74%	2.042	68.067%	0.90022	0.751
F038	1	0.965	1.029	102.9%	0.531	53.1%	0.72279	0.971
F042	3	0.811	3.094	103.133%	1.079	62.296%	0.99774	0.806
F043	2	0.715	1.959	97.95%	1.083	76.58%	1.75535	0.708
F045	4	0.724	3.994	99.85%	1.382	69.1%	1.34086	0.706
F046	1	0.053	1.97	197.0%	1.025	102.5%	4.20195	0.008
F052	1	0.845	1.521	152.1%	0.775	77.5%	1.42929	0.878
F054	1	0.269	1.84	184.0%	0.964	96.4%	2.52471	0.246
F055	5	0.838	5.868	117.36%	1.642	62.062%	1.06742	0.839
F057	1	0.934	1.309	130.9%	0.668	66.8%	1.0629	0.951
F058	10	0.937	6.739	67.39%	1.673	35.668%	0.6455	0.933
F059r	1	0.51	1.628	162.8%	0.872	87.2%	1.68128	0.503
SJ01	61	0.986	14.375	23.566%	3.352	16.494%	0.11981	0.985
SJ03	1	0.934	1.309	130.9%	0.668	66.8%	1.0629	0.951
SJ10	4	0.548	5.499	137.475%	1.82	91.0%	1.73148	0.521
SJ18	1	0.845	1.521	152.1%	0.775	77.5%	1.42929	0.878
SJ20	3	0.881	2.738	91.267%	0.938	54.155%	0.779	0.881
SJ28	1	0.983	0.866	86.6%	0.445	44.5%	0.56724	0.987
SJ31	1	0.51	1.628	162.8%	0.872	87.2%	1.68128	0.503
SJ32	4	0.844	3.784	94.6%	1.159	57.95%	0.80827	0.839
T135	203	0.991	41.882	20.632%	7.275	13.952%	0.0689	0.989
