"cancer_type","n","term","rate_ratio","ci_low","ci_high","p","theta","theta_se"
"HNSC",392,"loss1p36loss",2.30287508000935,1.52180533001885,3.65462297529503,0.000211532711251053,0.704159778621154,0.0480597830558465
"HNSC",392,"meth_z",0.427543309309516,0.367914667260822,0.495642693496529,3.78613651619251e-41,0.704159778621154,0.0480597830558465
"LUSC",114,"loss1p36loss",1.40824684214739,0.832833956687933,2.48626189805041,0.217195562380865,0.738682669046488,0.0915905239363083
"LUSC",114,"meth_z",0.616960373017171,0.471361307085947,0.78545121185171,2.87299125705294e-05,0.738682669046488,0.0915905239363083
"UCEC",344,"loss1p36loss",1.7203630601647,1.03682318177342,3.02478213856406,0.0417772480956584,0.427989698277867,0.0368033822779618
"UCEC",344,"meth_z",0.402843898597392,0.320689654457697,0.501022964486225,3.31920021063702e-26,0.427989698277867,0.0368033822779618
"TGCT",130,"loss1p36loss",7.2855599840994,2.16077919799705,34.3582408618209,0.00207360465823506,0.200636064585063,0.057900552563577
"TGCT",130,"meth_z",1.10176501261698,0.703988868357785,1.7462076886174,0.672973225987473,0.200636064585063,0.057900552563577
