"cancer_type","p_meth_alone","p_1p36_alone","p_1p36_given_meth","p_meth_given_1p36","aic_meth_only","aic_1p36_only","aic_full"
"HNSC",0,1.03888198044189e-09,3.92926238034219e-05,0,3494.49089925438,3599.5690994803,3479.58564284977
"LUSC",8.12258640270347e-06,0.0201617257956429,0.207880942359224,6.01767679396792e-05,1085.33685449844,1099.84781106747,1085.75073162205
"UCEC",0,4.6331564065305e-06,0.0358715401928132,0,1869.44256750173,1935.51019833966,1867.03936648097
"TGCT",0.449606840911964,0.00126358326682885,0.00156274798117773,0.671555976813263,263.636244609107,253.812906818558,255.633119380789
