Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	39	0.726	35.397	90.762%	6.212	69.022%	0.7633	0.626
C002	76	0.851	49.975	65.757%	7.859	52.746%	0.47006	0.774
C003	23	0.866	20.152	87.617%	3.408	53.224%	0.6679	0.85
C004	10	0.426	14.935	149.35%	2.945	93.129%	2.13066	0.303
C005	76	0.938	43.027	56.614%	6.413	35.09%	0.39169	0.922
C006	29	0.756	28.355	97.776%	4.774	65.576%	0.87372	0.686
C007	71	0.857	47.839	67.379%	7.44	51.464%	0.48455	0.792
C008	2	0.551	3.396	169.8%	1.243	87.893%	2.39619	0.569
C009	97	0.885	57.266	59.037%	9.548	46.757%	0.37604	0.839
C010	10	0.657	12.902	129.02%	2.614	75.46%	1.68977	0.607
C010r	11	0.52	16.491	149.918%	3.528	85.567%	1.84407	0.452
C011	12	0.711	16.619	138.492%	3.26	72.896%	1.4599	0.691
C013	17	0.846	17.873	105.135%	3.729	56.867%	0.83883	0.838
C014	17	0.715	18.794	110.553%	3.518	70.36%	1.03885	0.66
F001	15	0.506	19.913	132.753%	3.983	86.916%	1.53693	0.39
F002	9	0.426	13.802	153.356%	3.021	91.087%	2.19684	0.327
F002r	65	0.756	53.698	82.612%	9.245	65.536%	0.61066	0.651
F004	19	0.596	23.202	122.116%	4.029	80.58%	1.1823	0.472
F005	11	0.633	13.739	124.9%	2.803	77.741%	1.24247	0.573
F006	5	0.826	6.212	124.24%	1.732	65.463%	1.4793	0.832
F007	118	0.947	51.616	43.742%	8.399	32.843%	0.2374	0.929
F008	9	0.635	12.966	144.067%	2.838	78.712%	1.56734	0.606
F010	17	0.712	22.142	130.247%	3.985	71.573%	1.29208	0.674
F011	18	0.605	22.786	126.589%	4.215	79.656%	1.26766	0.513
F012	8	0.767	10.318	128.975%	2.198	69.507%	1.26906	0.767
F013	13	0.61	15.33	117.923%	3.268	79.261%	1.3337	0.536
F014	21	0.653	24.351	115.957%	4.248	76.296%	1.31678	0.558
F015	48	0.819	36.917	76.91%	5.627	57.43%	0.58892	0.733
F016	26	0.815	25.707	98.873%	4.246	60.048%	0.85837	0.785
F017	55	0.912	34.248	62.269%	5.379	41.875%	0.43465	0.888
F018	12	0.61	14.634	121.95%	2.748	79.328%	1.31297	0.516
F019	8	0.676	10.109	126.362%	2.117	74.847%	1.49511	0.639
F020	32	0.775	34.673	108.353%	5.947	64.128%	0.97319	0.734
F021	11	0.719	14.674	133.4%	3.04	73.731%	1.18262	0.715
F022	41	0.753	37.235	90.817%	5.905	66.436%	0.80776	0.652
F023	2	0.668	3.268	163.4%	1.191	84.216%	1.83139	0.713
F024	9	0.733	10.952	121.689%	2.295	69.197%	1.32782	0.706
F026	60	0.876	43.315	72.192%	7.13	48.29%	0.53385	0.843
F027	10	0.615	12.887	128.87%	2.497	78.962%	1.35551	0.542
F029	30	0.87	27.465	91.55%	4.659	49.665%	0.82652	0.851
F031	60	0.864	37.624	62.707%	5.509	50.714%	0.4857	0.777
F034	17	0.569	22.122	130.129%	4.307	82.888%	1.22582	0.478
F036	48	0.864	34.17	71.188%	5.335	51.818%	0.60839	0.815
F037	5	0.653	8.022	160.44%	2.697	81.318%	1.72572	0.659
F038	17	0.748	18.234	107.259%	3.821	66.515%	1.18033	0.712
F039	23	0.679	27.813	120.926%	4.817	73.459%	1.14811	0.607
F041	46	0.879	33.081	71.915%	4.919	48.235%	0.54062	0.84
