NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	31.033	117.027	6.685	75.337	1.165	0.58	80000.0
2	29.847	118.578	6.474	74.973	1.193	0.584	60000.0
3	29.219	116.923	6.297	73.88	1.175	0.604	40000.0
4	30.933	117.19	6.705	75.157	1.122	0.591	40000.0
5	29.763	116.315	6.433	74.923	1.161	0.582	40000.0
6	29.781	118.14	6.443	75.337	1.198	0.578	40000.0
7	31.163	118.26	6.679	75.637	1.192	0.584	60000.0
8	29.108	113.562	6.212	72.761	1.113	0.609	40000.0
9	30.006	118.521	6.432	74.833	1.184	0.583	40000.0
10	29.924	115.712	6.447	74.575	1.141	0.597	80000.0
11	29.391	117.22	6.207	74.911	1.179	0.582	80000.0
12	30.434	117.931	6.737	75.041	1.165	0.591	40000.0
13	29.759	114.988	6.457	74.206	1.121	0.599	80000.0
14	29.894	116.959	6.317	74.966	1.165	0.585	40000.0
15	29.993	117.15	6.549	74.485	1.163	0.587	40000.0
16	30.598	117.004	6.739	74.453	1.17	0.598	60000.0
17	29.868	115.206	6.491	73.594	1.134	0.602	80000.0
18	30.186	115.449	6.609	74.669	1.144	0.587	40000.0
19	30.265	118.188	6.634	75.533	1.173	0.584	60000.0
20	31.526	118.245	6.842	76.27	1.166	0.57	80000.0
21	30.11	118.424	6.628	75.937	1.17	0.57	60000.0
22	31.313	116.854	6.872	75.583	1.151	0.581	40000.0
23	29.217	116.074	6.309	73.66	1.184	0.588	80000.0
24	29.241	115.978	6.301	73.998	1.154	0.59	80000.0
25	29.485	117.098	6.419	74.182	1.165	0.594	40000.0
26	30.282	118.502	6.479	74.544	1.174	0.591	40000.0
27	29.522	114.449	6.43	73.698	1.093	0.613	40000.0
28	30.009	118.275	6.541	75.61	1.208	0.571	0.0
29	30.216	111.307	6.588	72.907	1.1	0.618	40000.0
30	30.487	117.445	6.537	74.914	1.154	0.592	80000.0
31	30.121	115.14	6.531	74.478	1.145	0.599	60000.0
32	29.841	115.734	6.378	73.789	1.164	0.596	40000.0
33	30.28	116.784	6.461	74.66	1.148	0.589	60000.0
34	31.309	119.983	6.704	76.359	1.232	0.561	0.0
35	29.39	117.079	6.178	73.947	1.172	0.597	0.0
36	30.276	114.379	6.504	74.375	1.143	0.598	80000.0
37	29.563	116.781	6.429	74.505	1.189	0.589	60000.0
38	30.004	114.123	6.439	74.136	1.141	0.599	40000.0
39	30.746	114.865	6.636	73.919	1.137	0.599	0.0
40	31.225	116.813	6.573	74.889	1.166	0.586	40000.0
41	30.541	114.113	6.529	73.782	1.101	0.608	40000.0
42	30.971	116.11	6.813	74.908	1.146	0.588	40000.0
43	29.899	114.088	6.474	73.585	1.105	0.611	60000.0
