NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	120.43	70.426	18.407	52.886	0.577	0.721	100000.0
2	118.854	69.316	17.61	51.976	0.549	0.732	100000.0
3	120.272	70.43	18.037	52.563	0.566	0.731	80000.0
4	114.749	70.551	16.84	52.386	0.572	0.724	100000.0
5	121.512	71.299	18.087	52.861	0.569	0.725	140000.0
6	120.377	69.953	18.105	52.478	0.554	0.733	120000.0
7	116.006	69.9	17.078	51.578	0.575	0.733	120000.0
8	118.779	70.747	17.86	53.18	0.578	0.719	120000.0
9	121.851	71.145	18.253	53.17	0.567	0.721	120000.0
10	119.135	69.525	17.912	52.568	0.559	0.723	60000.0
11	119.83	69.92	17.615	51.616	0.552	0.739	120000.0
12	129.454	70.681	19.693	52.6	0.548	0.731	120000.0
13	119.625	69.878	17.908	52.474	0.547	0.733	100000.0
14	119.338	69.976	17.851	52.453	0.555	0.732	120000.0
15	119.237	69.5	17.587	51.977	0.551	0.732	160000.0
16	119.895	70.296	17.911	52.307	0.561	0.729	140000.0
17	120.239	69.412	17.868	52.098	0.548	0.732	100000.0
18	119.387	70.688	17.842	52.469	0.563	0.732	120000.0
19	117.942	70.692	17.458	52.725	0.56	0.723	100000.0
20	118.613	70.614	17.597	52.717	0.552	0.726	60000.0
21	119.204	70.755	17.823	52.408	0.56	0.73	60000.0
22	123.115	71.352	18.445	53.403	0.562	0.724	160000.0
23	118.897	72.012	17.826	53.159	0.585	0.717	80000.0
24	120.18	70.414	18.006	53.141	0.551	0.727	80000.0
25	118.53	68.978	17.696	52.635	0.538	0.729	120000.0
26	121.31	70.153	18.222	52.409	0.56	0.727	80000.0
27	118.091	69.71	17.489	52.012	0.546	0.734	80000.0
28	119.242	70.082	17.803	52.258	0.559	0.73	100000.0
29	118.905	70.904	17.601	52.376	0.568	0.729	120000.0
30	118.409	71.864	17.44	53.197	0.582	0.712	100000.0
31	118.11	71.776	17.474	53.392	0.591	0.713	60000.0
32	118.546	69.703	17.942	51.896	0.549	0.737	100000.0
33	118.478	70.51	17.555	52.361	0.556	0.733	100000.0
34	117.775	71.338	17.767	53.366	0.575	0.715	80000.0
35	121.945	71.648	18.215	53.267	0.58	0.721	120000.0
36	118.434	71.296	17.805	53.226	0.57	0.716	80000.0
37	119.947	70.452	17.49	52.352	0.562	0.725	100000.0
38	119.568	70.61	17.887	52.28	0.564	0.729	120000.0
39	118.006	69.461	17.756	52.743	0.549	0.725	60000.0
40	119.852	71.004	17.739	52.933	0.571	0.722	100000.0
41	120.746	70.262	17.976	52.157	0.554	0.734	160000.0
42	120.387	69.578	18.03	52.232	0.548	0.732	60000.0
43	118.953	70.311	17.745	52.441	0.564	0.727	80000.0
44	121.857	70.504	18.244	52.796	0.567	0.725	100000.0
45	120.375	70.147	18.095	52.316	0.553	0.735	120000.0
46	120.336	70.516	17.68	52.222	0.553	0.734	200000.0
47	120.648	69.267	18.043	52.473	0.542	0.733	60000.0
48	119.739	70.803	17.901	52.992	0.574	0.722	140000.0
49	122.598	70.632	18.58	52.931	0.568	0.722	100000.0
50	118.971	69.092	17.699	52.386	0.549	0.726	80000.0
51	118.067	70.279	17.538	52.656	0.572	0.722	80000.0
52	118.394	68.817	17.616	51.615	0.536	0.739	140000.0
53	122.878	70.853	18.92	52.929	0.571	0.725	100000.0
54	116.001	69.981	17.456	52.883	0.554	0.72	60000.0
55	121.736	71.422	18.458	53.382	0.573	0.719	100000.0
56	120.643	71.588	17.951	53.32	0.583	0.713	100000.0
57	120.904	70.538	18.267	52.72	0.568	0.732	100000.0
58	118.847	70.814	17.95	52.971	0.573	0.72	100000.0
59	122.234	69.907	18.305	52.642	0.543	0.732	60000.0
60	117.567	69.623	17.528	52.41	0.567	0.727	100000.0
61	120.996	70.492	18.113	53.04	0.557	0.72	120000.0
62	122.928	71.162	18.188	53.109	0.575	0.715	80000.0
63	119.351	69.935	17.712	52.597	0.564	0.728	60000.0
64	121.627	70.938	18.476	53.055	0.559	0.727	100000.0
65	118.553	70.106	17.867	52.562	0.555	0.725	80000.0
66	121.008	71.678	18.174	53.643	0.578	0.713	60000.0
67	117.932	70.007	17.527	52.174	0.555	0.73	120000.0
68	117.661	69.527	17.463	51.742	0.538	0.74	100000.0
69	121.525	70.384	18.303	52.828	0.563	0.728	60000.0
70	119.843	70.61	18.058	52.854	0.57	0.728	140000.0
71	121.211	71.094	18.243	52.631	0.565	0.727	100000.0
72	120.967	70.568	18.139	52.632	0.564	0.728	80000.0
73	120.628	70.425	17.965	52.772	0.555	0.727	80000.0
74	121.571	70.953	18.283	52.894	0.563	0.723	80000.0
75	120.834	69.128	18.061	52.156	0.536	0.734	80000.0
76	118.121	71.054	17.544	52.98	0.577	0.718	120000.0
77	117.57	70.034	17.452	52.421	0.548	0.728	140000.0
78	120.774	70.867	17.83	52.787	0.567	0.72	80000.0
79	122.077	71.287	18.379	53.151	0.566	0.725	100000.0
80	116.273	69.851	17.486	52.279	0.557	0.727	100000.0
81	120.32	70.093	18.06	52.238	0.548	0.734	100000.0
82	118.777	71.025	17.724	53.052	0.578	0.721	120000.0
83	119.076	69.556	17.941	52.473	0.55	0.727	80000.0
84	120.256	70.963	17.754	53.112	0.567	0.718	80000.0
85	120.325	71.415	17.895	53.635	0.568	0.717	120000.0
86	119.633	70.451	17.793	52.429	0.566	0.726	120000.0
87	119.492	70.365	17.934	52.948	0.567	0.721	80000.0
88	118.265	69.155	17.73	52.133	0.541	0.735	60000.0
89	120.582	70.911	17.979	52.612	0.566	0.725	100000.0
90	118.968	69.9	17.977	52.625	0.567	0.728	100000.0
91	119.457	69.76	17.88	52.349	0.558	0.732	120000.0
92	119.199	69.677	17.708	52.452	0.544	0.729	100000.0
93	118.222	70.252	17.601	52.593	0.564	0.723	120000.0
94	127.705	71.481	19.555	53.282	0.572	0.722	120000.0
