Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	39	0.729	36.241	92.926%	6.174	68.6%	0.78213	0.628
C002	76	0.853	50.197	66.049%	7.826	52.525%	0.46742	0.778
C003	23	0.875	19.826	86.2%	3.299	51.522%	0.65066	0.86
C004	10	0.424	14.933	149.33%	2.946	93.161%	2.14357	0.299
C005	76	0.936	44.553	58.622%	6.561	35.9%	0.40327	0.919
C006	29	0.776	27.814	95.91%	4.6	63.186%	0.86128	0.713
C007	71	0.864	46.76	65.859%	7.313	50.585%	0.47529	0.802
C008	2	0.62	3.164	158.2%	1.18	83.439%	2.35655	0.625
C009	97	0.889	57.005	58.768%	9.395	46.008%	0.36789	0.844
C010	10	0.664	13.021	130.21%	2.596	74.94%	1.70668	0.615
C010r	11	0.522	16.653	151.391%	3.528	85.567%	1.84599	0.455
C011	12	0.716	15.925	132.708%	3.16	70.66%	1.50322	0.686
C013	17	0.872	16.967	99.806%	3.491	53.237%	0.7887	0.865
C014	17	0.747	18.906	111.212%	3.424	68.48%	0.95424	0.714
F001	15	0.534	19.672	131.147%	3.876	84.581%	1.51408	0.424
F002	9	0.508	13.833	153.7%	2.866	86.413%	1.86878	0.435
F002r	65	0.767	53.057	81.626%	9.055	64.189%	0.5914	0.669
F004	19	0.621	22.407	117.932%	3.921	78.42%	1.15575	0.506
F005	11	0.623	13.965	126.955%	2.832	78.546%	1.25802	0.56
F006	5	0.845	5.912	118.24%	1.64	61.986%	1.39869	0.849
F007	118	0.957	47.156	39.963%	7.459	29.167%	0.2307	0.941
F008	9	0.638	12.912	143.467%	2.823	78.296%	1.59768	0.607
F010	17	0.753	20.786	122.271%	3.716	66.741%	1.20778	0.72
F011	18	0.608	22.198	123.322%	4.201	79.391%	1.24856	0.518
F012	8	0.774	10.134	126.675%	2.164	68.432%	1.26507	0.772
F013	13	0.606	15.776	121.354%	3.282	79.6%	1.3505	0.53
F014	21	0.647	24.431	116.338%	4.27	76.691%	1.32695	0.55
F015	48	0.83	35.881	74.752%	5.484	55.971%	0.5664	0.75
F016	26	0.835	24.048	92.492%	3.966	56.088%	0.82636	0.803
F017	55	0.915	33.549	60.998%	5.264	40.98%	0.43294	0.892
F018	12	0.616	14.475	120.625%	2.731	78.837%	1.29708	0.524
F019	8	0.697	9.864	123.3%	2.07	73.186%	1.46981	0.665
F020	32	0.786	33.336	104.175%	5.797	62.511%	0.95536	0.748
F021	11	0.742	13.858	125.982%	2.936	71.208%	1.12506	0.736
F022	41	0.75	37.578	91.654%	6.001	67.517%	0.82128	0.65
F023	2	0.712	3.04	152.0%	1.126	79.62%	1.69645	0.731
F024	9	0.762	10.704	118.933%	2.218	66.875%	1.26736	0.741
F026	60	0.896	41.414	69.023%	6.59	44.633%	0.52714	0.868
F027	10	0.617	12.871	128.71%	2.492	78.804%	1.34375	0.545
F029	30	0.901	24.807	82.69%	4.122	43.941%	0.74619	0.886
F031	60	0.864	37.537	62.562%	5.493	50.567%	0.48375	0.777
F034	17	0.627	21.773	128.076%	4.06	78.135%	1.17385	0.553
F036	48	0.868	34.209	71.269%	5.218	50.682%	0.6008	0.82
F037	5	0.657	7.947	158.94%	2.661	80.232%	1.77413	0.659
F038	17	0.75	17.943	105.547%	3.799	66.132%	1.15206	0.715
F039	23	0.71	26.74	116.261%	4.618	70.424%	1.10284	0.646
F041	46	0.879	32.343	70.311%	4.883	47.882%	0.54521	0.836
F042	37	0.833	31.081	84.003%	4.993	55.478%	0.66388	0.786
