NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	29.027	115.671	6.363	75.069	1.136	0.576	40000.0
2	28.793	113.468	6.311	72.252	1.107	0.626	40000.0
3	28.314	113.805	6.193	72.677	1.098	0.628	40000.0
4	29.554	112.755	6.477	73.483	1.057	0.61	40000.0
5	28.626	112.087	6.268	74.027	1.092	0.601	40000.0
6	29.928	116.626	6.587	74.612	1.159	0.593	40000.0
7	29.636	115.66	6.602	74.826	1.145	0.586	40000.0
8	28.655	111.984	6.211	72.579	1.065	0.616	60000.0
9	28.973	115.809	6.326	74.577	1.138	0.589	40000.0
10	28.657	114.464	6.15	73.199	1.114	0.612	40000.0
11	29.911	114.502	6.534	73.448	1.106	0.609	40000.0
12	29.845	115.933	6.696	74.242	1.12	0.607	0.0
13	29.083	111.683	6.365	73.069	1.043	0.618	60000.0
14	28.868	113.749	6.17	73.695	1.122	0.595	60000.0
15	28.38	113.816	6.231	73.272	1.123	0.601	80000.0
16	29.009	115.33	6.359	73.551	1.136	0.598	80000.0
17	27.756	111.167	6.032	71.417	1.091	0.632	40000.0
18	28.744	113.387	6.297	72.753	1.11	0.621	80000.0
19	29.124	114.383	6.346	74.099	1.095	0.601	80000.0
20	29.648	115.106	6.383	73.948	1.118	0.596	40000.0
21	28.871	112.824	6.321	73.397	1.093	0.612	40000.0
22	29.259	115.751	6.403	73.962	1.13	0.605	40000.0
23	28.368	113.773	6.159	72.897	1.11	0.608	60000.0
24	28.846	114.756	6.411	74.138	1.119	0.594	80000.0
25	28.592	111.355	6.176	71.506	1.072	0.636	60000.0
26	29.071	113.672	6.317	72.778	1.098	0.619	60000.0
27	28.296	111.888	6.124	71.67	1.062	0.639	40000.0
28	29.124	115.139	6.469	74.724	1.145	0.587	40000.0
29	28.385	114.111	6.139	73.558	1.103	0.603	40000.0
30	29.206	115.517	6.318	73.409	1.107	0.61	60000.0
31	29.612	113.487	6.358	73.485	1.096	0.604	60000.0
32	28.498	111.995	6.187	72.368	1.094	0.617	80000.0
33	29.62	113.295	6.374	73.285	1.082	0.612	40000.0
34	28.762	116.218	6.254	74.426	1.157	0.589	60000.0
35	28.709	112.711	6.141	72.773	1.095	0.616	60000.0
36	29.61	111.574	6.568	73.357	1.096	0.613	40000.0
37	28.799	111.587	6.249	72.367	1.078	0.623	40000.0
38	28.791	113.249	6.198	73.495	1.12	0.602	60000.0
39	29.706	112.905	6.573	73.003	1.079	0.616	60000.0
40	28.319	114.324	6.176	73.838	1.137	0.598	40000.0
