MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	0.08356788517315408	0.04822655795390801	0.023097451894882395	0.037833579069758795	0.027327882471600163	0.10222678480830837	0.02857682340675524	0.05140875720088843	0.08676850268601967	0.048858893263838465
1:Del:C:1	0.028016546825991497	0.08069509891284837	0.009107330241519662	0.02225356388911216	0.03834368042793784	0.018245445801921393	0.03378551530694722	0.030252567609010617	0.00584084013097879	0.013643873788888934
1:Del:C:2	0.002078642369467758	0.017061400594205623	0.027048205376609374	0.007589934001526331	0.011795542986294266	0.006427389100444287	0.015052877778504267	0.017701404358405882	0.0014721699773120633	0.006941926287733082
1:Del:C:3	0.0048113431724236475	0.003478594941252684	0.0028160393170677113	0.005888270687062373	0.0030284544054876507	0.002194926451600878	0.004206787518723178	0.009606213673823163	0.0005880642571367634	0.0018316173223021793
1:Del:C:4	0.0001650991229880816	0.007103089092404104	0.001866246471825841	0.004328683269795865	0.003824542162698268	0.0038717326886542835	0.004256178657024013	0.010215379537823565	0.004760647103122863	0.009807953554366238
1:Del:C:5	0.00016116574073194557	0.0043166508795234645	0.008555791030659989	0.00331064510234782	0.007405781589578595	0.007936227155439433	0.011424821675519468	0.0023445657830797727	0.006899207546837971	0.012538865459811177
1:Del:T:0	0.061637712331190926	0.23259265856817365	0.014257567144427412	0.005704568198225814	0.013091905461953815	0.033324042411321066	0.02419261074630384	0.01756604807131614	0.007734591137573403	0.011903947231298295
1:Del:T:1	0.03478774507010954	0.08606831397431998	0.007900311969358143	0.00608169616349052	0.007163394148279068	0.01530856340828194	0.0033534838153657987	0.05890901326261797	0.008510639382442661	0.004511831812688527
1:Del:T:2	0.03179810442489156	0.018774295076834733	0.013895599038765312	0.03663641844695263	0.015084371140463375	0.019239939959601143	0.011500097300354355	0.03658439570440853	0.0016261202229068772	0.007062788381482612
1:Del:T:3	0.0034202739834351802	0.0032378693024472226	0.022751965021164368	0.05997573300736889	0.005550033724141486	0.01796747566760516	0.012558389371426415	0.01927969789771879	0.01678385726568262	0.02562528602136979
1:Del:T:4	0.0004648910725852895	0.019350861957473313	0.02646813584182337	0.009635631718340178	0.01373859246435785	0.02044243186061994	0.015312895446366213	0.016799035655767083	0.012423137679238323	0.014883384129273125
1:Del:T:5	0.000743559815471464	0.016747221436972274	0.28384182346984743	0.023895214397987842	0.047066049547973776	0.009376621391507314	0.019380860464511044	0.02357150946903559	0.0014923563868136113	0.020403107547570586
1:Ins:C:0	0.004050194878002458	0.011478448245384812	0.015151776493418936	0.013262952761242558	0.03566775701708757	0.01711229941702712	0.11135386949614486	0.012863612972884369	0.04035812840713561	0.020728290424785027
1:Ins:C:1	0.006005536691579891	0.008226435353059643	0.008786223014341132	0.0013536955682187113	0.018598367391267093	0.018305918987181046	0.00535011126776551	0.010879627921500656	0.01063814088182779	0.009783042091346204
1:Ins:C:2	0.0042020312570190295	0.00038177974130488846	0.00634123028134538	0.0023222658452796007	0.001938875139738956	0.003049707698113764	0.0044410051721725805	0.005327663074828308	0.002230982288150609	0.006875736709979545
1:Ins:C:3	0.00037358480295299754	0.00307621804659151	0.015791661096473533	0.00048435761096333297	0.009194618358273203	0.002083230865663186	0.00592306720923716	0.0033984091357610424	0.00043610969992236904	0.003369019097857846
1:Ins:C:4	0.00204508054419172	7.797557942582855e-05	0.0028573965488400787	0.0035194279733689626	0.0031329154255246294	0.0027428495817671105	0.005855851058465334	0.0028860705313709977	0.0013762825993316595	0.0038582938249720655
1:Ins:C:5	0.0005530004155246715	0.01541741685251452	0.01018455737416069	0.008878358873023445	0.0076492422573747375	0.009367259152363375	0.008547885081050222	0.006250933133608321	0.0038215772455779274	0.0024062413662588257
1:Ins:T:0	0.011729201575686047	0.003748609078806311	0.002769902071650634	0.01240564483318054	0.004715829373755298	0.019640624832764093	0.008786340391523848	0.010496118125644868	0.3021306661143899	0.03316916505183699
1:Ins:T:1	0.044735496216954405	0.03027818855200053	0.0057299659177715515	0.02144909079503492	0.0060754812268461935	0.030725117463433094	0.01730851171685515	0.09404239478017246	0.027923660455730612	0.015974001617134945
1:Ins:T:2	0.014977876644736482	0.007052006835314444	0.002868547179797929	0.008314143410193183	0.007822755735192572	0.010583219707995539	0.004865840076830441	0.015946446958789197	0.015127953403296814	0.008136499692581544
1:Ins:T:3	0.008290797852691583	0.013238550192941432	0.013605903801100397	0.004248875442881168	0.018382864590311528	0.003694802186483219	0.005221627627257135	0.010773695909388583	0.00896432076579373	0.021221592862190802
1:Ins:T:4	0.0001367600857278628	0.0006161433486679258	0.005785936069860229	0.005475983136212506	0.007030952050763943	0.0033630123207635874	0.0038424067808186992	0.0030260383847459595	0.002033276499390535	0.004622147265290089
1:Ins:T:5	0.015816764522333996	0.08512268344848735	0.09995864446643964	0.02458645554499526	0.29289974201470614	0.027328858324831343	0.07690331911453882	0.047916293516643546	0.003634205191103277	0.03491194711217103
2:Del:R:0	0.024971467417768737	0.01948052475862994	0.008325681106812225	0.01809312058527766	0.021377177561666086	0.0308891281832733	0.027559703465610604	0.009520486218719242	0.015786521182134264	0.04057151657202574
2:Del:R:1	0.021342460809669454	0.009331518883993795	0.02311934945400367	0.22481713818386198	0.013329865217712608	0.018769707804832832	0.05398478091771977	0.038509912190947945	0.008181036937310466	0.02244348100349342
2:Del:R:2	0.002555850485951918	0.0033493957348137114	0.009374774801808315	0.008995140978033191	0.02260533838043317	0.01096914139370063	0.040145687657083186	0.005950999557918913	0.0008678529150640114	0.0070831732919529955
2:Del:R:3	0.005848981748717747	0.0015483044149530525	0.0011564787061898807	0.0019427269645434465	0.0022528985772613907	0.007013101736202336	0.004029289876163562	0.007487005688294879	0.0031293028897163566	0.002100571879446349
2:Del:R:4	4.7312795887014534e-05	0.0018020354673186478	0.0018496043713416555	0.0009946837677865617	0.0004973367932611694	0.0006438774844037098	0.000554213561280914	0.0012757325380270857	0.0007500421755087672	0.0013972647710430762
2:Del:R:5	1.9873362131050953e-07	1.036681984913912e-06	0.0056030398147922785	0.005041157197298371	0.0016449509062897861	0.0015185399542855117	0.0030353357394800186	0.001546305240039132	7.546183825447361e-05	0.0010293846593973878
3:Del:R:0	0.009423609006818197	0.01164964428905364	0.0009696246924022489	0.0033216998795181497	0.0026403877776490603	0.021248908669905378	0.008684331176791033	0.00465149517918185	0.015719878366368966	0.012518603655709093
3:Del:R:1	0.007922020195292135	0.0020831884875366314	0.05369755738563981	0.043723234640212355	0.04500181410824638	0.018414209666933346	0.04684866356345793	0.01450100127891659	0.0034915648652329876	0.027959629760382312
3:Del:R:2	0.00025994248671916577	2.753713445510897e-05	0.0027441440170446895	0.012054502117724013	0.002416132559766357	0.00526046741413472	0.007125140460799813	0.006666816271219887	0.013526600609025649	0.00952842881649417
3:Del:R:3	0.00012042581203684399	0.0002752244052381236	0.0012562943500009104	0.0053078512038856294	0.004657374518997202	0.005137253613689019	0.004333500570816433	0.006476768122621906	0.0045994234425830935	0.004747463011032238
3:Del:R:4	1.4905482220912702e-05	0.0002957737257792603	0.0012374071631092852	0.0022789174978349058	0.0021297074477356404	0.0016109342108146408	0.0013523359303269852	0.001081982473324503	0.0002768905512836994	0.0014974091852342042
3:Del:R:5	0.0021205326850538596	0.0006932933200493796	0.0005234152804759518	0.0008204984945924565	0.000692334071812959	0.0015972156418636984	0.0009004882766974732	0.000659811825701091	0.000923761080642862	0.00037497762728381454
