MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Ins:T:3	6.46E-04	9.46E-04	1.58E-03	7.66E-04	1.99E-03	7.23E-04	9.73E-04	1.58E-03	1.36E-03	2.42E-03
1:Ins:T:4	1.06E-04	3.89E-04	7.10E-04	7.61E-04	8.81E-04	7.22E-04	6.41E-04	7.75E-04	4.73E-04	8.17E-04
1:Ins:T:5	1.23E-03	4.52E-03	5.68E-03	2.67E-03	8.62E-03	3.35E-03	5.49E-03	4.01E-03	1.22E-03	3.73E-03
2:Del:R:0	1.37E-03	1.37E-03	1.15E-03	1.93E-03	2.12E-03	2.91E-03	2.81E-03	1.35E-03	1.97E-03	3.35E-03
2:Del:R:1	1.35E-03	8.80E-04	2.86E-03	6.20E-03	2.15E-03	2.48E-03	4.15E-03	3.13E-03	1.89E-03	3.04E-03
2:Del:R:2	4.55E-04	1.49E-03	1.28E-03	1.34E-03	2.51E-03	1.73E-03	3.01E-03	1.07E-03	4.55E-04	1.27E-03
2:Del:R:3	4.32E-04	4.59E-04	2.56E-04	4.11E-04	4.21E-04	8.71E-04	6.92E-04	8.99E-04	4.46E-04	5.14E-04
2:Del:R:4	2.56E-05	1.90E-04	2.72E-04	1.84E-04	1.71E-04	1.85E-04	1.60E-04	2.45E-04	1.99E-04	3.09E-04
2:Del:R:5	7.57E-08	6.02E-07	5.12E-04	4.78E-04	3.31E-04	3.53E-04	4.59E-04	3.51E-04	4.09E-05	2.48E-04
3:Del:R:0	5.87E-04	7.94E-04	2.75E-04	5.99E-04	5.97E-04	1.96E-03	1.22E-03	6.75E-04	1.24E-03	1.42E-03
3:Del:R:1	8.75E-04	4.09E-04	4.04E-03	3.62E-03	4.12E-03	2.92E-03	4.70E-03	2.65E-03	8.54E-04	3.42E-03
3:Del:R:2	2.10E-04	2.14E-05	4.88E-04	1.16E-03	6.14E-04	8.16E-04	9.76E-04	1.12E-03	1.14E-03	1.19E-03
3:Del:R:3	1.08E-04	1.59E-04	3.59E-04	7.10E-04	7.78E-04	9.08E-04	7.38E-04	9.79E-04	6.99E-04	8.07E-04
