Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	569	0.97	149.542	26.282%	19.099	24.601%	0.07383	0.931
C002	730	0.977	149.951	20.541%	20.777	21.414%	0.03731	0.943
C003	261	0.917	106.85	40.939%	14.595	40.065%	0.1697	0.811
C004	21	0.594	29.17	138.905%	4.36	80.963%	1.33952	0.498
C005	1064	0.972	244.003	22.933%	34.994	23.519%	0.04091	0.942
C006	279	0.946	101.538	36.394%	14.218	32.44%	0.13493	0.905
C007	525	0.979	121.014	23.05%	16.452	20.458%	0.06833	0.963
C008	12	0.809	12.516	104.3%	2.51	62.75%	1.04853	0.799
C009	816	0.975	168.531	20.653%	22.706	22.121%	0.04537	0.927
C010	35	0.639	44.041	125.831%	6.799	77.482%	1.12932	0.552
C010r	63	0.713	59.217	93.995%	8.452	70.19%	0.78041	0.56
C011	54	0.798	47.81	88.537%	6.511	60.453%	0.70335	0.715
C013	86	0.844	56.825	66.076%	8.138	53.66%	0.4848	0.754
C014	132	0.891	71.181	53.925%	9.36	45.564%	0.30337	0.8
F001	139	0.874	78.949	56.798%	10.525	48.704%	0.31385	0.766
F002	66	0.771	51.416	77.903%	7.324	63.747%	0.61097	0.618
F002r	541	0.95	169.441	31.32%	22.02	31.175%	0.09263	0.866
F004	67	0.867	44.816	66.89%	6.077	49.785%	0.47817	0.799
F005	115	0.887	64.431	56.027%	9.478	46.752%	0.3633	0.829
F006	8	0.588	12.007	150.088%	2.334	82.519%	1.49719	0.559
F007	2059	0.995	206.2	10.015%	26.369	9.708%	0.00983	0.988
F008	172	0.889	96.758	56.255%	13.456	46.372%	0.31282	0.826
F010	124	0.851	78.65	63.427%	10.198	52.592%	0.36605	0.72
F011	100	0.873	65.529	65.529%	9.793	49.462%	0.39521	0.826
F012	106	0.845	71.551	67.501%	9.81	53.678%	0.41931	0.75
F013	23	0.671	27.309	118.735%	4.333	75.428%	1.08594	0.611
F014	198	0.94	80.402	40.607%	10.978	34.14%	0.20603	0.899
F015	507	0.971	123.255	24.311%	17.232	23.867%	0.07225	0.94
F016	239	0.923	102.628	42.941%	14.162	38.616%	0.19271	0.857
F017	586	0.956	170.617	29.116%	23.306	29.442%	0.07714	0.897
F018	58	0.84	52.991	91.364%	8.6	55.746%	0.72744	0.814
F019	8	0.331	14.128	176.6%	2.984	94.362%	2.26743	0.214
F020	384	0.944	136.767	35.616%	18.316	33.165%	0.12933	0.884
F021	8	0.411	13.569	169.612%	2.888	91.327%	2.06194	0.336
F022	306	0.943	110.759	36.196%	15.087	33.568%	0.13495	0.889
F023	32	0.775	28.813	90.041%	4.642	63.17%	0.9732	0.709
F024	4	0.403	7.056	176.4%	1.844	92.2%	2.3558	0.372
F026	1396	0.99	197.09	14.118%	25.175	14.234%	0.01781	0.972
F027	31	0.615	37.49	120.935%	5.407	78.869%	1.05859	0.458
F029	328	0.92	140.321	42.781%	19.299	39.592%	0.19643	0.847
F031	650	0.967	167.997	25.846%	23.887	25.61%	0.07854	0.932
F034	129	0.894	68.848	53.371%	9.042	45.041%	0.28364	0.806
F036	736	0.967	182.15	24.749%	25.306	25.532%	0.05954	0.923
F037	9	0.504	14.184	157.6%	2.889	87.107%	1.87885	0.455
F038	176	0.89	90.511	51.427%	12.923	45.804%	0.26734	0.809
F039	150	0.884	80.303	53.535%	10.928	46.768%	0.29432	0.786
F041	703	0.974	162.369	23.097%	22.806	22.975%	0.05935	0.948
F042	349	0.958	105.758	30.303%	14.079	28.626%	0.12328	0.911
F043	260	0.919	106.24	40.862%	13.841	39.401%	0.14891	0.799
F044	67	0.835	48.548	72.46%	6.821	55.509%	0.50937	0.753
F045	306	0.925	121.604	39.74%	16.711	38.177%	0.1411	0.841
F046	28	0.602	35.292	126.043%	4.656	79.85%	1.11357	0.404
F048	28	0.581	34.935	124.768%	5.275	81.395%	1.1732	0.423
F050	7	0.28	12.707	181.529%	2.544	96.154%	2.73234	0.106
F052	44	0.742	41.364	94.009%	5.866	67.288%	0.75229	0.629
F053	125	0.824	78.629	62.903%	10.58	56.961%	0.38137	0.635
F054	41	0.727	38.728	94.459%	6.203	68.922%	0.84853	0.635
F055	1155	0.996	119.741	10.367%	17.408	9.222%	0.01303	0.993
F056	78	0.821	52.984	67.928%	7.31	57.082%	0.45386	0.685
F057	411	0.967	110.439	26.871%	15.111	25.738%	0.08739	0.932
F058	896	0.98	180.778	20.176%	23.433	20.08%	0.04431	0.947
F059	217	0.972	69.649	32.096%	10.039	23.869%	0.14875	0.963
F059r	319	0.978	84.02	26.339%	11.797	20.684%	0.09309	0.968
SJ01	2763	0.999	114.836	4.156%	21.04	3.736%	0.00174	0.999
SJ02	304	0.922	129.102	42.468%	16.379	38.692%	0.17827	0.824
SJ03	470	0.967	134.627	28.644%	18.55	25.844%	0.09352	0.941
SJ04	19	0.606	26.891	141.532%	4.882	80.26%	1.47057	0.553
SJ08	296	0.962	90.396	30.539%	12.045	27.46%	0.12707	0.925
