MutationType	DBS78A	DBS78B
AC>CA	0.0060534382437500865	0.014331448259997047
AC>CG	5.354928615588505e-06	2.7597895823419094e-05
AC>CT	0.0011631441540889398	0.008283106877611317
AC>GA	5.354928615588505e-06	2.7597895823419094e-05
AC>GG	5.354928615588505e-06	2.7597895823419094e-05
AC>GT	0.0007022215499792139	0.01008425784355495
AC>TA	0.001247019416639361	0.008918470063729558
AC>TG	0.005628892191864665	0.00728369665982541
AC>TT	0.003655165822390245	0.00021708221639528348
AT>CA	5.354928615588505e-06	2.7597895823419094e-05
AT>CC	0.0008755813916383559	0.0091248266008688
AT>CG	5.354928615588505e-06	2.7597895823419094e-05
AT>GA	0.010612564160970806	0.0004438840867731386
AT>GC	0.0033215102749466043	0.00020501737051063174
AT>TA	0.003968736384163716	0.022137975047435532
CC>AA	0.11034496048465371	0.03639165266532245
CC>AG	0.019034596306146057	0.01787186863375183
CC>AT	0.048753265978330095	0.023242486868543893
CC>GA	0.007310753289885952	0.0006482236442934663
CC>GG	0.0037960107251967658	0.0001523097081621927
CC>GT	0.00564292940111244	0.0033301587544838185
CC>TA	0.01543821087613111	0.004316520635433108
CC>TG	0.0035653350894313007	0.0003336564310484391
CC>TT	0.021404053371115738	0.012681116257560045
CG>AT	0.00738445118867844	0.0004860511810511525
CG>GC	5.354928615588505e-06	2.7597895823419094e-05
CG>GT	5.354928615588505e-06	2.7597895823419094e-05
CG>TA	5.354928615588505e-06	2.7597895823419094e-05
CG>TC	5.354928615588505e-06	2.7597895823419094e-05
CG>TT	0.015261733149498581	0.005105498900522889
CT>AA	0.1276324719299646	0.04131569565893807
CT>AC	0.13018878777511417	0.008245565112256936
CT>AG	0.017194043698711966	0.022929124081350664
CT>GA	0.0029266423573608338	0.00022388772826161584
CT>GC	0.003819669952147251	0.00021597698496066185
CT>GG	0.0018369705645580937	0.018044390846106352
CT>TA	0.01907425230830313	0.0022312267109487038
CT>TC	0.011464630470566704	0.03633528493574147
CT>TG	5.354928615588505e-06	2.7597895823419094e-05
GC>AA	0.0331556326066334	0.1133623712889954
GC>AG	0.0233998062736201	0.019726344341631428
GC>AT	0.002454785417084224	0.0178820567318013
GC>CA	0.010120341194731566	0.0018133130881972193
GC>CG	0.003414695854501133	0.0002250804005586815
GC>TA	0.004512675316115207	0.009505700611336465
TA>AT	0.0007759975752636449	0.00893792286097451
TA>CG	5.354928615588505e-06	2.7597895823419094e-05
TA>CT	0.006688702150660646	0.013061122202059324
TA>GC	5.354928615588505e-06	2.7597895823419094e-05
TA>GG	0.003721847194286738	0.00016176919829831603
TA>GT	0.0017143715948714777	0.019447569699935486
TC>AA	0.047360546342985116	0.22336168504947182
TC>AG	0.004730245475055588	0.011165351426662938
TC>AT	0.037177020860450154	0.04216148852540219
TC>CA	0.004413661946608655	0.008863469551537264
TC>CG	5.354928615588505e-06	2.7597895823419094e-05
TC>CT	0.009212145478227962	0.04830042574056037
TC>GA	0.003502677411605646	0.00027216488552312513
TC>GG	5.354928615588505e-06	2.7597895823419094e-05
TC>GT	0.0020384242073592774	0.018130862044579317
TG>AA	0.01277408815439074	0.006581435079858693
TG>AC	0.0014979294051297386	0.007269211658986023
TG>AT	0.04394026635975024	0.030336815057621605
TG>CA	0.0072007719197071255	0.027159153252209193
TG>CC	0.0036172115637600655	0.00035620487286678324
TG>CT	0.023313869080860174	0.0033307488485816417
TG>GA	0.005349606971677474	0.006318694583801516
TG>GC	5.354928615588505e-06	2.7597895823419094e-05
TG>GT	0.04742350247116718	0.007919317521084572
TT>AA	0.026151106358363735	0.013304350866582127
TT>AC	0.008200658314834968	0.009754113624873781
TT>AG	0.004671750254518798	0.008190156350552797
TT>CA	0.004613719998326751	0.007321272928571716
TT>CC	0.0034481591230121466	0.0001249948414726987
TT>CG	5.354928615588505e-06	2.7597895823419094e-05
TT>GA	5.354928615588505e-06	2.7597895823419094e-05
TT>GC	5.354928674705661e-06	2.7597895914368565e-05
TT>GG	5.354928674705661e-06	2.7597895914368565e-05
