Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
SJ14	1.33E+00	1.23E-01	1.34E+00	9.72E-01	6.63E-01	1.10E+00	2.84E-01
SJ17	3.79E+00	5.78E-01	3.40E+00	6.98E-01	1.04E+00	2.88E+00	7.89E-01
SJ18	1.89E+00	5.40E-01	1.41E+00	1.17E+00	4.24E-01	1.62E+00	1.28E-01
SJ19	3.47E+00	1.04E+00	1.66E+00	1.84E+00	5.81E-01	3.56E+00	6.87E-01
SJ20	1.25E+01	2.80E+00	1.20E+01	3.64E+00	3.17E+00	7.87E+00	2.97E+00
SJ25	1.40E+00	5.63E-01	1.67E+00	7.32E-01	6.86E-01	1.75E+00	1.82E+00
SJ28	7.93E+00	1.83E+00	5.89E+00	3.19E+00	2.13E+00	9.06E+00	2.75E+00
SJ31	1.52E+00	2.27E-01	2.24E+00	1.17E+00	6.31E-01	3.01E+00	1.70E-01
SJ32	4.49E+00	2.27E+00	5.02E+00	4.07E+00	4.31E+00	5.86E+00	3.95E+00
SJ33	2.14E+00	7.48E-01	1.19E+00	4.88E-01	3.96E-01	1.85E+00	3.66E-01
T135	1.91E+01	5.40E+01	3.23E+01	2.02E+00	1.04E+01	7.00E+01	5.82E+00
