De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature ID1 (11.98%) & Signature ID2 (14.04%) & Signature ID4 (42.42%) & Signature ID9 (17.10%) & Signature ID14 (14.46%), 53.79,  36.28, 0.395, 0.93, 0.92
Signature 83-B, Signature ID6 (15.58%) & Signature ID8 (20.14%) & Signature ID19 (13.88%) & Signature ID23 (50.40%), 51.10,  39.93, 0.298, 0.92, 0.89
