Hugo Symbol	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)	Gene Aliases
KIT	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"C-Kit, CD117, PBT, SCFR"
KMT2D	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"ALR, CAGL114, MLL2, TNRC21"
KRAS	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"K-Ras4B, KRAS1, KRAS2"
MAP2K1	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"MAPKK1, MEK1, PRKMK1"
MAP3K1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"MAPKKK1, MEKK, MEKK1"
MED12	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"ARC240, CAGH45, FGS1, HOPA, KIAA0192, Kto, OKS, TNRC11, TRAP230"
MEN1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
MET	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"DFNB97, HGFR, RCCP2"
MLH1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"COCA2, FCC2, HNPCC, HNPCC2"
MPL	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"CD110, THPOR, TPOR"
MSH2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"COCA1, HNPCC1"
MSH6	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	GTBP
MYD88	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	
NF1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NF2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"ACN, BANF, SCH, merlin, merlin-1"
NFE2L2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	
NOTCH1	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	TAN1
NOTCH2	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NPM1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"B23, NPM"
NRAS	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	N-ras
PAX5	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BSAP
PBRM1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	"BAF180, PB1"
PDGFRA	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	"CD140a, GAS9, PDGFR2"
