Hugo Symbol	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)	Gene Aliases
FLT4	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	"VEGFR-3, VEGFR3"
FOXO1	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	"FKH1, FKHR, FOXO1A"
FOXP1	5	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	"12CC4, HSPC215, QRF1, hFKH1B"
GRIN2A	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	"GluN2A, NMDAR2A"
GSK3B	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	
HGF	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	"DFNB39, F-TCF, HGFB, HPTA"
ID3	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	"HEIR-1, bHLHb25"
IGF1R	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	"CD221, IGFIR, IGFR, JTK13, MGC18216"
IKBKE	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	"IKK-i, IKKE, KIAA0151"
IL7R	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	"CD127, IL7RA"
INPP4B	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	
IRS2	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	
KLF4	5	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	"EZF, GKLF"
LMO1	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	"RBTN1, RHOM1"
MALT1	5	Yes	No	No	Yes	Yes	No	Yes	No	Yes	"MLT, PCASP1"
MAP3K13	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	"LZK, MEKK13"
MCL1	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	"BCL2L3, Mcl-1"
MEF2B	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	RSRFR2
MRE11	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	"ATLD, MRE11A"
MSH3	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	
MSI2	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	
NBN	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	"AT-V1, AT-V2, ATV, NBS, NBS1"
NCOR1	5	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	"KIAA1047, MGC104216, N-CoR, PPP1R109, TRAC1, hCIT529I10, hN-CoR"
NFKBIA	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	"IKBA, IkappaBalpha, MAD-3, NFKBI"
NSD1	5	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	"ARA267, FLJ22263, KMT3B, STO"
NT5C2	5	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes	"GMP, NT5B, PNT5, SPG45, SPG65, cN-II"
NTRK2	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	TRKB
P2RY8	5	Yes	No	Yes	No	Yes	Yes	Yes	No	Yes	P2Y8
PDCD1	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	"CD279, PD-1, SLEB2, hSLE1"
PIK3CB	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	PIK3C1
PMS2	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	"HNPCC4, H_DJ0042M02.9, MLH4, PMSL2"
POLD1	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	POLD
POLE	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	POLE1
POT1	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	"DKFZp586D211, hPot1"
PPARG	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	"NR1C3, PPARG1, PPARG2, PPARgamma"
RAC1	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	"Rac-1, TC-25, p21-Rac1"
RAD51	5	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	"BRCC5, FANCR, HsRad51, HsT16930, RAD51A, RECA"
RAD51B	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	"R51H2, RAD51L1, REC2, hREC2"
RBM10	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	"DXS8237E, GPATC9, GPATCH9, KIAA0122, S1-1, ZRANB5"
REL	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	"HIVEN86A, I-Rel, c-Rel"
RHOA	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	"ARH12, ARHA, RHOH12, Rho12"
RICTOR	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	"AVO3, KIAA1999, MGC39830, PIA"
RPTOR	5	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	"KIAA1303, KOG1, Mip1, raptor"
SETBP1	5	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	"KIAA0437, SEB"
SOX9	5	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	"CMD1, CMPD1"
STAT5B	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	
SUZ12	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	"CHET9, JJAZ1, KIAA0160"
TBX3	5	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	"TBX3-ISO, UMS, XHL"
TCF3	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	"E2A, E47, ITF1, MGC129647, MGC129648, VDIR, bHLHb21"
TERT	5	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	"EST2, TCS1, TP2, TRT, hEST2"
TET1	5	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	"CXXC6, KIAA1676, LCX, bA119F7.1"
TOP1	5	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	
TP63	5	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	"EEC3, KET, OFC8, SHFM4, TP53CP, TP53L, TP73L, p53CP, p63, p73H, p73L"
TRAF7	5	Yes	No	No	Yes	Yes	No	No	Yes	Yes	"DKFZp586I021, MGC7807, RFWD1, RNF119"
ZRSR2	5	Yes	No	No	Yes	Yes	No	Yes	No	Yes	"U2AF1-RS2, U2AF1L2, URP, ZC3H22"
ACVR1	4	Yes	Yes	No	Yes	Yes	No	No	No	Yes	"ACVR1A, ACVRLK2, ALK2, SKR1"
ALOX12B	4	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	12R-LOX
AXIN2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"DKFZp781B0869, MGC126582"
BCL11B	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes	"CTIP-2, CTIP2, ZNF856B, hRIT1-alpha"
BCL2L1	4	Yes	No	No	Yes	Yes	Yes	No	No	No	"BCL2L, BCLX, Bcl-X, PPP1R52, bcl-xL, bcl-xS"
BMPR1A	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"ACVRLK3, ALK3, CD292"
CDKN1A	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No	"CAP20, CDKN1, SDI1, WAF1, p21CIP1, p21Cip1/Waf1"
CIITA	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes	"MHC2TA, NLRA"
CUL3	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No	
CUX1	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes	"CDP, CDP/Cut, CDP/Cux, CDP1, CUT, CUTL1, CUX, Clox, Cux/CDP, GOLIM6"
DDX3X	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes	"DBX, DDX14, DDX3"
DICER1	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"Dicer, HERNA, K12H4.8-LIKE, KIAA0928, MNG1"
DIS3	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No	"EXOSC11, KIAA1008, RRP44, dis3p"
DNAJB1	4	Yes	No	No	Yes	Yes	No	No	No	Yes	"HSPF1, Hsp40, RSPH16B, Sis1"
DNMT1	4	Yes	Yes	No	Yes	Yes	No	No	Yes	No	"CXXC9, DNMT, MCMT"
DROSHA	4	Yes	No	No	Yes	Yes	No	No	No	Yes	"Etohi2, HSA242976, RN3, RNASE3L, RNASEN"
EPAS1	4	Yes	No	No	Yes	Yes	No	No	No	Yes	"HIF2A, MOP2, PASD2, bHLHe73"
EPHA5	4	Yes	No	No	Yes	Yes	No	Yes	No	No	"CEK7, Hek7"
EPHA7	4	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	Hek11
ERCC2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"EM9, MGC102762, MGC126218, MGC126219, XPD"
ERCC3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"RAD25, XPB"
ERCC5	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"ERCM2, XPGC"
ERRFI1	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No	"GENE-33, MIG-6, RALT"
ETV4	4	Yes	Yes	No	No	No	Yes	Yes	No	Yes	"E1A-F, E1AF, PEA3"
ETV5	4	Yes	Yes	No	No	No	Yes	Yes	No	Yes	ERM
EWSR1	4	Yes	Yes	No	No	No	Yes	Yes	No	Yes	EWS
FANCD2	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes	"FA-D2, FACD, FANCD"
FAT1	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"CDHF7, CDHR8, FAT"
FBXO11	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes	"FBX11, UBR6"
FOXA1	4	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes	HNF3A
GLI1	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No	GLI
GNA13	4	Yes	Yes	No	No	Yes	Yes	Yes	No	No	"G13, MGC46138"
H1-2	4	Yes	No	No	Yes	Yes	No	Yes	No	No	"H1.2, H1F2, H1c, H1s-1, HIST1H1C"
H3-3B	4	Yes	No	No	Yes	Yes	No	No	No	Yes	"H3.3B, H3F3B"
HDAC1	4	Yes	Yes	No	No	Yes	Yes	Yes	No	No	"GON-10, HD1, KDAC1, RPD3L1"
HLA-A	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	
INHBA	4	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	
LATS1	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	WARTS
LATS2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	
LYN	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No	JTK8
MAF	4	Yes	No	No	No	No	Yes	Yes	No	Yes	c-MAF
MAP3K14	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No	"FTDCR1B, HS, HSNIK"
MAX	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"bHLHd4, bHLHd5, bHLHd6, bHLHd7, bHLHd8"
MLLT1	4	Yes	No	No	Yes	No	No	Yes	No	Yes	"ENL, LTG19, YEATS1"
MST1R	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No	"CD136, CDw136, PTK8, RON, SEA"
MYOD1	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"MYF3, MYOD, bHLHc1"
NCOR2	4	Yes	No	No	No	Yes	No	Yes	No	Yes	"CTG26, SMRT, SMRTE, TNRC14, TRAC-1"
NOTCH3	4	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	"CADASIL, CASIL"
NUP93	4	Yes	No	No	Yes	Yes	No	Yes	No	No	KIAA0095
PARP1	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No	"ADPRT, ARTD1, PARP, PPOL"
PHOX2B	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"NBPhox, PMX2B"
PIK3C2G	4	Yes	No	No	Yes	Yes	Yes	No	No	No	
PIK3CG	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No	
PIK3R2	4	Yes	No	Yes	Yes	Yes	No	Yes	No	No	P85B
PLCG2	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No	
PPM1D	4	Yes	Yes	No	Yes	Yes	No	No	No	Yes	"PP2C-DELTA, Wip1"
PPP6C	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	PP6
PREX2	4	Yes	No	No	Yes	Yes	No	No	No	Yes	"DEP.2, DEPDC2, FLJ12987, P-REX2, PPP1R129"
PRKCI	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No	"DXS1179E, PKCI"
PRKN	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No	"AR-JP, PARK2, PDJ, parkin"
PTPRT	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"KIAA0283, RPTPrho"
RAD50	4	Yes	No	Yes	Yes	Yes	No	Yes	No	No	"RAD50-2, hRad50"
RAD51C	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No	"FANCO, RAD51L2"
RAD51D	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No	"HsTRAD, R51H3, RAD51L3, Trad"
RAD52	4	Yes	No	No	Yes	Yes	Yes	No	No	No	
RAD54L	4	Yes	No	No	Yes	Yes	Yes	No	No	No	"RAD54A, hHR54, hRAD54"
RECQL4	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	RecQ4
RUNX1T1	4	Yes	Yes	No	No	Yes	No	Yes	No	Yes	"AML1T1, CBFA2T1, ETO, MTG8, ZMYND2"
SDHAF2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"C11orf79, FLJ20487, PGL2, SDH5"
SGK1	4	Yes	Yes	No	No	Yes	Yes	Yes	No	No	SGK
SH2B3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"IDDM20, LNK"
SMAD3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"HsT17436, JV15-2, MADH3"
SMARCD1	4	Yes	No	No	Yes	Yes	No	No	No	Yes	"BAF60A, CRACD1, Rsc6p"
STAT5A	4	Yes	Yes	No	Yes	Yes	No	Yes	No	No	STAT5
STAT6	4	Yes	Yes	No	No	Yes	No	Yes	No	Yes	"D12S1644, IL-4-STAT"
TBL1XR1	4	Yes	No	Yes	No	Yes	No	Yes	No	Yes	"C21, DC42, FLJ12894, IRA1, TBLR1"
TCF7L2	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	TCF-4
TEK	4	Yes	No	No	Yes	Yes	Yes	No	No	No	"CD202b, TIE-2, TIE2, VMCM, VMCM1"
TMEM127	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"FLJ20507, FLJ22257"
TRAF2	4	Yes	No	No	Yes	Yes	No	Yes	No	No	"RNF117, TRAP3"
VEGFA	4	Yes	Yes	No	Yes	Yes	Yes	No	No	No	"VEGF, VEGF-A, VPF"
WWTR1	4	Yes	Yes	No	Yes	Yes	No	No	No	Yes	DKFZp586I1419
XRCC2	4	Yes	No	Yes	Yes	Yes	Yes	No	No	No	FANCU
ZFHX3	4	Yes	No	Yes	Yes	Yes	No	No	No	Yes	"ATBF1, C16orf47, FLJ26184, ZNF927"
ABL2	3	Yes	Yes	No	No	No	No	Yes	No	Yes	ABLL
ABRAXAS1	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"ABRA1, ABRAXAS, CCDC98, FAM175A, FLJ13614"
AFF4	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"AF5Q31, MCEF"
AGO2	3	Yes	No	No	Yes	Yes	No	No	No	No	"CASC7, EIF2C2, LINC00980, Q10, hAGO2"
ANKRD11	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"LZ16, T13"
ARID5B	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"FLJ21150, MRF2"
ASXL2	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"ASXH2, FLJ10898, KIAA1685"
ATF1	3	Yes	Yes	No	No	No	No	Yes	No	Yes	TREB36
BABAM1	3	Yes	No	No	Yes	Yes	No	No	No	No	"C19orf62, FLJ20571, HSPC142, MERIT40, NBA1"
BBC3	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"JFY1, PUMA"
BCL2L11	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"BIM, BOD, BimEL, BimL, BimS"
BCL3	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"BCL4, D19S37"
BCL9	3	Yes	Yes	No	No	No	No	Yes	No	Yes	
BTG2	3	Yes	No	Yes	No	No	Yes	Yes	No	No	"APRO1, MGC126063, MGC126064, TIS21"
CARM1	3	Yes	No	No	Yes	Yes	No	No	No	No	PRMT4
CCNQ	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"CycM, FAM58A"
CD276	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"B7-H3, B7H3, B7RP-2"
CD58	3	Yes	No	Yes	No	Yes	No	Yes	No	No	LFA3
CDC42	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"CDC42Hs, G25K"
CENPA	3	Yes	No	No	Yes	Yes	No	No	No	No	"CENP-A, CenH3"
COP1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"CFAP78, FAP78, FLJ10416, RFWD2, RNF200"
CSDE1	3	Yes	No	No	Yes	Yes	No	No	No	No	D1S155E
CTLA4	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"CD152, CELIAC3, CTLA-4, GSE, IDDM12"
CYSLTR2	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"CYSLT2R, CysLT(2)"
DCUN1D1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"DCUN1L1, RP42, SCCRO, SCRO, Tes3"
DDIT3	3	Yes	No	No	No	No	No	Yes	No	Yes	"CHOP, CHOP10, GADD153"
DEK	3	Yes	Yes	No	No	No	No	Yes	No	Yes	D6S231E
DNMT3B	3	Yes	No	Yes	Yes	Yes	No	No	No	No	
DTX1	3	Yes	No	Yes	No	Yes	No	Yes	No	No	"RNF140, hDx-1"
DUSP22	3	Yes	No	Yes	No	Yes	No	Yes	No	No	"JKAP, JSP1, MKPX, VHX"
DUSP4	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"HVH2, MKP-2, TYP"
E2F3	3	Yes	Yes	No	Yes	Yes	No	No	No	No	
EGFL7	3	Yes	Yes	No	Yes	Yes	No	No	No	No	ZNEU1
EIF1AX	3	Yes	No	No	Yes	Yes	No	No	No	No	"EIF1A, EIF4C, eIF-1A, eIF-4C"
EIF4E	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"EIF4E1, EIF4EL1, EIF4F"
ELF3	3	Yes	Yes	Yes	Yes	Yes	No	No	No	No	"EPR-1, ERT, ESE-1, ESX"
ELOC	3	Yes	No	No	Yes	Yes	No	No	No	No	TCEB1
EPCAM	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"17-1A, 323/A3, CD326, CO-17A, EGP-2, EGP34, EGP40, Ep-CAM, GA733-2, HEA125, KS1/4, KSA, Ly74, M4S1, MH99, MIC18, MK-1, MOC31, TACST-1, TACSTD1, TROP1"
ERF	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"PE-2, PE2"
ETNK1	3	Yes	No	No	No	Yes	No	No	No	Yes	"EKI, EKI1"
EZH1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"KIAA0388, KMT6B"
FANCG	3	No	No	No	No	No	Yes	Yes	No	Yes	"FAG, XRCC9"
FANCL	3	Yes	No	Yes	No	No	Yes	Yes	No	No	"FAAP43, FLJ10335, PHF9, Pog"
FEV	3	Yes	No	No	No	No	No	Yes	No	Yes	Pet-1
FLI1	3	Yes	Yes	No	No	No	No	Yes	No	Yes	SIC-1
FUS	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"ALS6, HNRNPP2, TLS, hnRNP-P2"
FYN	3	Yes	Yes	No	Yes	Yes	No	No	No	No	MGC45350
GNA12	3	Yes	Yes	No	No	Yes	No	Yes	No	No	gep
GNB1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	
GPS2	3	Yes	No	Yes	Yes	Yes	No	No	No	No	
GREM1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"CKTSF1B1, CRAC1, DAND2, DRM, HMPS, gremlin"
H1-3	3	Yes	No	Yes	No	Yes	No	Yes	No	No	"H1.3, H1F3, H1d, H1s-2, HIST1H1D"
H1-4	3	Yes	Yes	No	No	Yes	No	Yes	No	No	"H1.4, H1F4, H1e, H1s-4, HIST1H1E"
H2AC11	3	Yes	No	No	No	Yes	No	Yes	No	No	"H2A.1b, H2A/p, H2AFP, HIST1H2AG"
H2AC16	3	Yes	No	No	No	Yes	No	Yes	No	No	"H2A/i, H2AFI, HIST1H2AL, dJ193B12.9"
H2AC17	3	Yes	Yes	No	No	Yes	No	Yes	No	No	"H2A.1, H2A/n, H2AFN, HIST1H2AM"
H2AC6	3	Yes	No	No	No	Yes	No	Yes	No	No	"H2AFL, HIST1H2AC"
H2BC11	3	Yes	No	No	No	Yes	No	Yes	No	No	"H2B/r, H2BFR, HIST1H2BJ"
H2BC12	3	Yes	No	No	No	Yes	No	Yes	No	No	"H2BFAiii, H2BFT, HIST1H2BK"
H2BC17	3	Yes	No	No	No	Yes	No	Yes	No	No	"H2B.2, H2B/n, H2BFN, HIST1H2BO"
H2BC4	3	Yes	No	No	No	Yes	No	Yes	No	No	"H2B/l, H2BFL, HIST1H2BC"
H2BC5	3	Yes	No	No	Yes	Yes	No	No	No	No	"H2B/b, H2BFB, HIST1H2BD"
H3-4	3	Yes	No	No	Yes	Yes	No	No	No	No	"H3.4, H3/g, H3FT, H3t, HIST3H3"
H3-5	3	Yes	No	No	Yes	Yes	No	No	No	No	"H3.5, H3F3C"
H3C1	3	Yes	No	No	Yes	Yes	No	No	No	No	"H3/A, H3FA, HIST1H3A"
H3C10	3	Yes	No	No	Yes	Yes	No	No	No	No	"H3/k, H3F1K, H3FK, HIST1H3H"
H3C11	3	Yes	No	No	Yes	Yes	No	No	No	No	"H3.f, H3/f, H3FF, HIST1H3I"
H3C12	3	Yes	No	No	Yes	Yes	No	No	No	No	"H3/j, H3FJ, HIST1H3J"
H3C13	3	Yes	No	No	Yes	Yes	No	No	No	No	HIST2H3D
H3C14	3	Yes	No	No	Yes	Yes	No	No	No	No	"H3, H3.2, H3/M, H3/m, H3F2, H3FM, HIST2H3C, MGC9629"
H3C3	3	Yes	No	No	Yes	Yes	No	No	No	No	"H3/c, H3FC, HIST1H3C"
H3C4	3	Yes	No	No	Yes	Yes	No	No	No	No	"H3/b, H3FB, HIST1H3D"
H3C6	3	Yes	No	No	Yes	Yes	No	No	No	No	"H3.1, H3/d, H3FD, HIST1H3E"
H3C7	3	Yes	No	No	Yes	Yes	No	No	No	No	"H3/i, H3FI, HIST1H3F"
H3C8	3	Yes	No	No	Yes	Yes	No	No	No	No	"H3/h, H3FH, HIST1H3G"
HDAC4	3	Yes	Yes	Yes	No	Yes	No	Yes	No	No	"BDMR, HA6116, HD4, HDAC-4, HDAC-A, HDACA, KIAA0288"
HDAC7	3	Yes	Yes	No	No	Yes	No	Yes	No	No	"DKFZP586J0917, HDAC7A"
HIF1A	3	Yes	Yes	No	No	Yes	No	No	No	Yes	"HIF-1alpha, HIF1, MOP1, PASD8, bHLHe78"
HLA-B	3	Yes	No	Yes	Yes	Yes	No	No	No	No	AS
HMGA1	3	Yes	Yes	No	No	No	No	Yes	No	Yes	HMGIY
HMGA2	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"BABL, HMGIC, LIPO"
HOXB13	3	Yes	Yes	Yes	Yes	Yes	No	No	No	No	
ICOSLG	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"B7-H2, B7H2, B7RP-1, B7RP1, B7h, CD275, GL50, ICOS-L, ICOSL, KIAA0653"
IFNGR1	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"CD119, IFNGR"
IGF1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"IGF, IGF-I, IGF1A, IGFI"
IGF2	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"C11orf43, FLJ44734, IGF-II"
IKZF3	3	Yes	Yes	Yes	No	Yes	No	Yes	No	No	"Aiolos, ZNFN1A3"
IL10	3	Yes	No	No	Yes	Yes	No	No	No	No	"CSIF, IL-10, IL10A"
INHA	3	Yes	No	Yes	Yes	Yes	No	No	No	No	
INPP4A	3	Yes	No	No	Yes	Yes	No	No	No	No	INPP4
INPPL1	3	Yes	No	Yes	Yes	Yes	No	No	No	No	SHIP2
INSR	3	Yes	Yes	No	Yes	Yes	No	No	No	No	CD220
IRF1	3	Yes	No	Yes	No	Yes	No	Yes	No	No	MAR
IRF8	3	Yes	No	Yes	No	Yes	No	Yes	No	No	"ICSBP, ICSBP1, IRF-8"
IRS1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	HIRS-1
JARID2	3	Yes	Yes	Yes	No	Yes	No	Yes	No	No	JMJ
KAT6A	3	Yes	No	No	No	No	No	Yes	No	Yes	"MOZ, MYST3, RUNXBP2, ZC2HC6A, ZNF220"
KMT2B	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"CXXC10, HRX2, KIAA0304, MLL1B, MLL4, TRX2, WBP7"
KMT5A	3	Yes	No	No	Yes	Yes	No	No	No	No	"PR-Set7, SET07, SET8, SETD8"
KNSTRN	3	Yes	No	No	Yes	Yes	No	No	No	No	"C15orf23, FLJ14502, SKAP, TRAF4AF1, kinastrin"
LCK	3	Yes	Yes	No	No	Yes	No	No	No	Yes	
LMO2	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"RBTN2, RBTNL1, RHOM2, TTG2"
LRP1B	3	Yes	No	Yes	No	No	No	Yes	No	Yes	"LRP-DIT, LRPDIT"
LZTR1	3	Yes	No	Yes	Yes	No	No	No	No	Yes	"BTBD29, LZTR-1"
MAFB	3	Yes	Yes	No	No	No	No	Yes	No	Yes	KRML
MAPK3	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"ERK1, PRKM3, p44erk1, p44mapk"
MAPKAP1	3	Yes	No	No	Yes	Yes	No	No	No	No	"MGC2745, MIP1, SIN1"
MDC1	3	Yes	No	No	Yes	Yes	No	No	No	No	"Em:AB023051.5, KIAA0170, NFBD1"
MECOM	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"EVI1, KMT8E, MDS1, MDS1-EVI1, PRDM3"
MGA	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"FLJ12634, KIAA0518, MAD5, MXD5"
MLLT10	3	Yes	Yes	No	No	No	No	Yes	No	Yes	AF10
MLLT3	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"AF-9, AF9, YEATS3"
MSI1	3	Yes	Yes	No	Yes	Yes	No	No	No	No	
MST1	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"D3F15S2, DNF15S2, HGFL, NF15S2"
MTAP	3	Yes	No	Yes	Yes	No	Yes	No	No	No	"MSAP, c86fus"
MYB	3	No	No	No	No	No	Yes	Yes	No	Yes	c-myb
MYH11	3	Yes	No	Yes	No	No	No	Yes	No	Yes	"SMHC, SMMHC"
NCOA3	3	Yes	Yes	No	Yes	Yes	No	No	No	No	"ACTR, AIB1, CAGH16, KAT13B, SRC-3, SRC3, TNRC16, TRAM-1, bHLHe42, p/CIP"
NCSTN	3	Yes	Yes	No	No	Yes	No	Yes	No	No	"APH2, KIAA0253"
NEGR1	3	Yes	No	No	Yes	Yes	No	No	No	No	"IGLON4, KILON, MGC46680, Ntra"
NKX3-1	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"BAPX2, NKX3.1, NKX3A"
NOTCH4	3	Yes	Yes	Yes	Yes	Yes	No	No	No	No	INT3
NR4A3	3	Yes	Yes	No	No	No	No	Yes	No	Yes	"CSMF, MINOR"
NTHL1	3	Yes	No	Yes	Yes	Yes	No	No	No	No	"NTH1, OCTS3"
