Gene	occurrence	OncoKB	Oncogene	TSG
DNMT3B	1789	3	Yes	No	Yes
DOT1L	84444	5	Yes	Yes	No
DROSHA	29102	4	Yes	No	No
DTX1	1840	3	Yes	No	Yes
DUSP22	56940	3	Yes	No	Yes
DUSP4	1846	3	Yes	No	Yes
E2F3	1871	3	Yes	Yes	No
ECT2L	345930	2	Yes	No	Yes
EED	8726	5	Yes	No	Yes
EGFL7	51162	3	Yes	Yes	No
EGFR	1956	7	Yes	Yes	No
EGR1	1958	2	Yes	No	Yes
EIF1AX	1964	3	Yes	No	No
EIF2B1	1967	1	Yes	No	Yes
EIF4A2	1974	5	Yes	Yes	No
EIF4E	1977	3	Yes	Yes	No
ELF3	1999	3	Yes	Yes	Yes
ELOC	6921	3	Yes	No	No
EP300	2033	7	Yes	No	Yes
EP400	57634	2	Yes	No	Yes
EPAS1	2034	4	Yes	No	No
EPCAM	4072	3	Yes	No	Yes
EPHA3	2042	5	Yes	No	Yes
EPHA5	2044	4	Yes	No	No
EPHA7	2045	4	Yes	Yes	Yes
EPHB1	2047	5	Yes	No	Yes
EPOR	2057	2	Yes	Yes	No
ERBB2	2064	7	Yes	Yes	No
ERBB3	2065	6	Yes	Yes	No
ERBB4	2066	6	Yes	Yes	No
ERCC2	2068	4	Yes	No	Yes
ERCC3	2071	4	Yes	No	Yes
ERCC4	2072	5	Yes	No	Yes
ERCC5	2073	4	Yes	No	Yes
ERF	2077	3	Yes	No	Yes
ERG	2078	6	Yes	Yes	No
ERRFI1	54206	4	Yes	No	Yes
ESCO2	157570	2	Yes	No	Yes
ESR1	2099	6	Yes	Yes	No
ETAA1	54465	2	Yes	No	Yes
ETNK1	55500	3	Yes	No	No
ETV1	2115	5	Yes	Yes	No
ETV4	2118	4	Yes	Yes	No
ETV5	2119	4	Yes	Yes	No
ETV6	2120	6	Yes	No	Yes
EWSR1	2130	4	Yes	Yes	No
EXT1	2131	2	Yes	No	Yes
EZH1	2145	3	Yes	Yes	No
EZH2	2146	7	Yes	Yes	Yes
EZHIP	340602	2	Yes	Yes	No
FANCA	2175	6	Yes	No	Yes
FANCC	2176	6	Yes	No	Yes
FANCD2	2177	4	Yes	No	Yes
FANCL	55120	3	Yes	No	Yes
FAS	355	5	Yes	No	Yes
FAT1	2195	4	Yes	No	Yes
FBXO11	80204	4	Yes	No	Yes
FBXW2	26190	1	Yes	No	No
FBXW7	55294	7	Yes	No	Yes
FEV	54738	3	Yes	No	No
FGF19	9965	5	Yes	Yes	No
FGF3	2248	5	Yes	Yes	No
FGF4	2249	5	Yes	Yes	No
FGFR1	2260	6	Yes	Yes	No
FGFR2	2263	7	Yes	Yes	No
FGFR3	2261	7	Yes	Yes	No
FGFR4	2264	6	Yes	Yes	No
FH	2271	5	Yes	No	Yes
FLCN	201163	6	Yes	No	Yes
FLI1	2313	3	Yes	Yes	No
FLT1	2321	5	Yes	Yes	No
FLT3	2322	7	Yes	Yes	No
