Gene	occurrence	OncoKB	Oncogene	TSG
TRAF3	7187	3	Yes	No	Yes
TRAF5	7188	3	Yes	No	Yes
TRAF7	84231	5	Yes	No	No
TRB	6957	2	Yes	Yes	No
TRD	6964	2	Yes	Yes	No
TRG	6965	2	Yes	Yes	No
TRIM27	5987	2	Yes	Yes	No
TRIP13	9319	2	Yes	Yes	Yes
TSC1	7248	7	Yes	No	Yes
TSC2	7249	6	Yes	No	Yes
TSHR	7253	6	Yes	Yes	No
TYK2	7297	3	Yes	Yes	No
U2AF1	7307	7	Yes	Yes	No
U2AF2	11338	3	Yes	No	No
UBR5	51366	3	Yes	Yes	No
UPF1	5976	3	Yes	No	No
USP8	9101	3	Yes	Yes	No
VAV1	7409	2	Yes	Yes	No
VAV2	7410	2	Yes	Yes	No
VEGFA	7422	4	Yes	Yes	No
VHL	7428	7	Yes	No	Yes
VTCN1	79679	3	Yes	No	No
WIF1	11197	2	Yes	No	Yes
WT1	7490	7	Yes	Yes	Yes
WWP1	11059	1	Yes	Yes	No
WWTR1	25937	4	Yes	Yes	No
XBP1	7494	3	Yes	Yes	No
XIAP	331	3	Yes	Yes	No
XPO1	7514	6	Yes	Yes	No
XRCC2	7516	4	Yes	No	Yes
YAP1	10413	3	Yes	Yes	No
YES1	7525	3	Yes	Yes	No
YY1	7528	1	Yes	Yes	No
ZBTB20	26137	1	Yes	Yes	Yes
ZFHX3	463	4	Yes	No	Yes
ZFP36L1	677	1	Yes	No	Yes
ZFP36L2	678	1	Yes	No	Yes
ZNF750	79755	1	Yes	No	Yes
ZNRF3	84133	2	Yes	No	Yes
ZRSR2	8233	5	Yes	No	No
