Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
C001	0	12	1	0	0	1	25	0
C002	17	5	13	5	11	22	0	3
C003	2	0	8	2	2	9	0	0
C004	0	0	0	2	0	4	0	4
C005	18	1	40	5	11	0	1	0
C006	1	3	7	4	0	0	14	0
C007	13	0	3	17	23	0	15	0
C008	0	0	0	0	2	0	0	0
C009	27	2	19	45	4	0	0	0
C010	0	3	3	0	4	0	0	0
C010r	5	0	0	0	0	0	6	0
C011	0	0	0	0	9	1	0	2
C013	0	2	0	0	0	15	0	0
C014	0	0	0	3	0	0	7	7
F001	0	3	1	0	0	0	0	11
F002	0	0	0	2	0	0	2	5
F002r	8	4	0	1	0	0	0	52
F004	2	0	0	0	4	3	6	4
F005	0	1	0	0	2	2	6	0
F006	0	0	0	0	0	5	0	0
F007	3	7	65	0	6	0	37	0
F008	0	0	0	1	6	0	2	0
F010	1	2	0	0	12	2	0	0
F011	0	0	0	6	7	1	0	4
F012	0	0	0	3	1	0	4	0
F013	0	0	4	0	2	6	0	1
F014	0	1	3	14	0	3	0	0
F015	15	0	6	12	9	0	3	3
F016	5	0	0	6	14	0	1	0
F017	4	6	15	0	20	10	0	0
F018	1	4	0	0	3	3	0	1
F019	0	0	2	3	0	3	0	0
F020	0	0	1	21	10	0	0	0
F021	2	0	0	0	6	3	0	0
F022	0	0	2	17	8	3	0	11
F023	0	0	0	0	2	0	0	0
F024	0	1	0	0	2	6	0	0
F026	8	3	35	6	0	1	0	7
F027	2	0	2	0	2	2	0	2
F029	0	0	24	5	0	0	0	1
F031	13	1	4	2	5	10	0	25
F034	0	0	0	0	0	5	0	12
F036	0	1	27	0	2	10	8	0
F037	0	5	0	0	0	0	0	0
F038	0	0	0	0	0	12	0	5
F039	0	1	0	1	14	4	0	3
F041	0	5	0	14	10	4	13	0
F042	7	0	0	24	3	3	0	0
F043	1	3	0	10	0	0	4	6
F044	0	0	4	0	0	0	0	12
F045	0	1	5	10	0	0	12	0
F046	0	0	0	3	0	0	0	0
F048	0	0	2	0	1	6	0	0
F050	1	0	0	0	2	0	0	0
F052	0	0	0	0	2	2	0	2
F053	3	0	2	3	0	5	0	0
F054	0	0	2	2	5	3	0	3
F055	5	8	44	0	23	1	0	0
F056	0	4	0	0	0	0	0	0
F057	0	5	0	5	15	0	20	0
F058	0	18	19	36	9	9	3	0
F059	0	0	1	0	15	3	0	5
F059r	5	2	0	0	41	0	1	0
SJ01	7	221	16	0	19	0	0	0
SJ02	2	4	0	0	3	0	5	0
SJ03	1	15	2	1	0	0	19	3
SJ04	0	0	0	0	0	0	1	1
SJ08	0	7	10	2	0	1	4	1
SJ09	0	0	0	0	7	10	7	0
SJ10	4	0	3	4	1	5	0	3
SJ12	0	5	0	1	10	0	8	0
SJ13	1	3	0	0	0	0	0	0
SJ14	1	0	4	0	0	0	0	2
SJ17	2	1	0	0	0	0	24	0
SJ18	0	5	0	0	0	4	0	0
SJ19	0	0	7	0	8	10	0	3
SJ20	0	4	5	57	1	13	2	0
SJ25	0	4	2	2	0	5	2	0
SJ28	28	0	8	46	0	42	2	11
SJ31	0	5	0	0	0	44	16	0
SJ32	15	30	11	0	0	0	0	49
SJ33	1	0	0	0	4	1	12	0
T135	413	53	0	0	0	14	0	3
