Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	569	0.946	190.086	33.407%	25.26	32.537%	0.10794	0.872
C002	730	0.962	193.197	26.465%	26.627	27.443%	0.05542	0.909
C003	261	0.907	111.917	42.88%	15.4	42.275%	0.19194	0.789
C004	21	0.563	29.178	138.943%	4.46	82.82%	1.38689	0.442
C005	1064	0.971	245.483	23.072%	35.765	24.037%	0.04186	0.939
C006	279	0.942	100.475	36.013%	14.761	33.678%	0.1312	0.897
C007	525	0.975	119.672	22.795%	17.859	22.208%	0.06599	0.955
C008	12	0.72	15.484	129.033%	2.931	73.275%	1.29882	0.713
C009	816	0.971	177.357	21.735%	24.796	24.157%	0.05035	0.914
C010	35	0.62	46.04	131.543%	6.923	78.895%	1.18789	0.522
C010r	63	0.668	63.35	100.556%	8.963	74.434%	0.85168	0.475
C011	54	0.793	48.005	88.898%	6.565	60.954%	0.7396	0.706
C013	86	0.819	62.058	72.16%	8.714	57.458%	0.52359	0.711
C014	132	0.873	76.334	57.829%	10.079	49.064%	0.33167	0.768
F001	139	0.852	84.03	60.453%	11.333	52.443%	0.33108	0.72
F002	66	0.726	54.354	82.355%	7.905	68.804%	0.6418	0.53
F002r	541	0.932	195.816	36.195%	25.74	36.442%	0.11803	0.816
F004	67	0.857	46.585	69.53%	6.297	51.587%	0.50431	0.782
F005	115	0.868	67.796	58.953%	10.067	49.657%	0.38185	0.794
F006	8	0.405	13.66	170.75%	2.589	91.535%	2.0576	0.303
F007	2059	0.983	362.9	17.625%	50.889	18.734%	0.0269	0.962
F008	172	0.843	108.183	62.897%	15.702	54.113%	0.3733	0.744
F010	124	0.842	81.672	65.865%	10.487	54.083%	0.37863	0.702
F011	100	0.869	64.519	64.519%	9.827	49.634%	0.38347	0.817
F012	106	0.839	73.145	69.005%	9.995	54.69%	0.42948	0.741
F013	23	0.578	30.71	133.522%	4.709	81.973%	1.28101	0.466
F014	198	0.924	91.24	46.081%	12.3	38.251%	0.24332	0.871
F015	507	0.96	141.683	27.945%	20.25	28.047%	0.08415	0.916
F016	239	0.916	106.274	44.466%	14.764	40.257%	0.20434	0.843
F017	586	0.931	207.038	35.331%	28.89	36.497%	0.10672	0.833
F018	58	0.774	57.502	99.141%	10.1	65.469%	0.83716	0.743
F019	8	0.313	14.427	180.338%	3.004	94.995%	2.37064	0.184
F020	384	0.938	141.384	36.819%	19.092	34.57%	0.14007	0.871
F021	8	0.343	14.019	175.238%	2.97	93.92%	2.22199	0.235
F022	306	0.925	127.831	41.775%	17.128	38.109%	0.16968	0.848
F023	32	0.761	29.892	93.412%	4.769	64.898%	0.95097	0.69
F024	4	0.293	7.389	184.725%	1.913	95.65%	2.77118	0.219
F026	1396	0.983	242.062	17.34%	32.632	18.451%	0.02617	0.954
F027	31	0.565	38.493	124.171%	5.723	83.479%	1.23112	0.39
F029	328	0.897	158.612	48.357%	21.654	44.424%	0.22189	0.796
F031	650	0.953	197.197	30.338%	28.252	30.289%	0.10172	0.904
F034	129	0.868	73.903	57.289%	9.982	49.724%	0.33043	0.754
F036	736	0.938	224.46	30.497%	34.383	34.69%	0.09401	0.851
F037	9	0.387	15.308	170.089%	3.064	92.383%	2.16834	0.294
F038	176	0.878	96.732	54.961%	13.573	48.108%	0.28673	0.787
F039	150	0.87	83.598	55.732%	11.516	49.284%	0.31993	0.758
F041	703	0.944	220.764	31.403%	32.814	33.058%	0.09449	0.882
F042	349	0.936	130.434	37.374%	17.325	35.225%	0.15534	0.86
F043	260	0.907	112.789	43.38%	14.763	42.026%	0.16639	0.768
F044	67	0.752	60.268	89.952%	8.117	66.055%	0.6651	0.611
F045	306	0.895	136.619	44.647%	19.572	44.713%	0.17619	0.772
F046	28	0.551	37.309	133.246%	4.865	83.434%	1.20691	0.292
F048	28	0.456	40.199	143.568%	5.789	89.326%	1.44843	0.181
F050	7	0.229	12.965	185.214%	2.587	97.779%	2.87754	0.006
F052	44	0.715	40.966	93.105%	6.094	69.903%	0.8031	0.579
F053	125	0.784	86.236	68.989%	11.662	62.786%	0.4636	0.545
F054	41	0.689	42.228	102.995%	6.544	72.711%	0.90435	0.579
F055	1155	0.991	165.797	14.355%	25.269	13.387%	0.02493	0.985
F056	78	0.79	57.642	73.9%	7.85	61.298%	0.52514	0.624
F057	411	0.959	120.683	29.363%	16.748	28.526%	0.10326	0.916
F058	896	0.976	197.605	22.054%	25.385	21.753%	0.05287	0.937
F059	217	0.964	75.348	34.723%	11.221	26.679%	0.14923	0.951
F059r	319	0.962	102.372	32.092%	15.503	27.182%	0.12446	0.944
SJ01	2763	0.988	482.181	17.451%	94.876	16.845%	0.02345	0.985
SJ02	304	0.897	143.549	47.22%	18.758	44.312%	0.21547	0.763
SJ03	470	0.953	150.978	32.123%	21.949	30.579%	0.11305	0.914
SJ04	19	0.293	33.424	175.916%	5.842	96.042%	2.33209	0.051
SJ08	296	0.949	102.97	34.787%	13.818	31.502%	0.15374	0.901
SJ09	133	0.856	72.216	54.298%	11.355	51.774%	0.33546	0.753
SJ10	594	0.95	182.577	30.737%	23.857	31.123%	0.08403	0.862
SJ12	276	0.923	115.163	41.726%	15.001	38.553%	0.19247	0.83
SJ13	126	0.839	87.004	69.051%	11.175	54.922%	0.45152	0.723
