MutationType	DBS78A	DBS78B	DBS78C
AC>CA	3.76E-04	9.98E-04	1.21E-03
AC>CG	3.78E-07	7.55E-07	3.44E-07
AC>CT	2.45E-04	5.19E-04	6.24E-04
AC>GA	3.78E-07	7.55E-07	3.44E-07
AC>GG	3.78E-07	7.55E-07	3.44E-07
AC>GT	3.22E-04	7.67E-04	9.38E-04
AC>TA	2.82E-04	8.62E-04	1.14E-03
AC>TG	6.17E-04	8.26E-04	1.07E-03
AC>TT	3.75E-04	7.85E-05	4.43E-07
AT>CA	3.78E-07	7.55E-07	3.44E-07
AT>CC	1.46E-04	7.22E-04	9.54E-04
AT>CG	3.78E-07	7.55E-07	3.44E-07
AT>GA	6.25E-04	2.38E-04	4.16E-07
AT>GC	3.50E-04	1.74E-04	4.20E-07
AT>TA	4.40E-04	1.75E-03	1.83E-03
CC>AA	2.59E-03	2.37E-03	2.76E-03
CC>AG	1.08E-03	1.61E-03	1.50E-03
CC>AT	1.74E-03	3.52E-03	1.64E-03
CC>GA	5.43E-04	2.67E-04	4.14E-07
CC>GG	3.98E-04	5.29E-05	4.45E-07
CC>GT	3.42E-04	8.80E-04	1.59E-04
CC>TA	6.80E-04	1.20E-03	1.23E-04
CC>TG	3.61E-04	9.18E-05	4.33E-07
CC>TT	1.49E-03	1.78E-03	1.84E-03
CG>AT	5.35E-04	2.07E-04	4.31E-07
CG>GC	3.78E-07	7.55E-07	3.44E-07
CG>GT	3.78E-07	7.55E-07	3.44E-07
CG>TA	3.78E-07	7.55E-07	3.44E-07
CG>TC	3.78E-07	7.55E-07	3.44E-07
CG>TT	6.83E-04	1.12E-03	2.37E-04
CT>AA	4.03E-03	7.11E-03	7.70E-04
CT>AC	3.78E-03	3.27E-03	3.03E-07
CT>AG	9.65E-04	1.43E-03	1.75E-03
CT>GA	3.35E-04	1.00E-04	4.27E-07
CT>GC	3.75E-04	9.75E-05	4.20E-07
CT>GG	5.78E-04	1.35E-03	1.63E-03
CT>TA	8.64E-04	9.71E-04	5.30E-07
CT>TC	1.34E-03	1.89E-03	2.86E-03
CT>TG	3.78E-07	7.55E-07	3.44E-07
GC>AA	1.57E-03	5.83E-03	6.11E-03
GC>AG	1.54E-03	1.68E-03	2.34E-03
GC>AT	5.85E-04	1.37E-03	1.59E-03
GC>CA	5.44E-04	7.91E-04	2.68E-05
GC>CG	3.68E-04	6.92E-05	4.41E-07
GC>TA	4.15E-04	7.86E-04	8.94E-04
TA>AT	1.67E-04	9.51E-04	9.30E-04
TA>CG	3.78E-07	7.55E-07	3.44E-07
TA>CT	4.15E-04	1.09E-03	9.86E-04
TA>GC	3.78E-07	7.55E-07	3.44E-07
TA>GG	3.96E-04	8.99E-05	4.21E-07
TA>GT	4.17E-04	1.39E-03	1.72E-03
TC>AA	1.89E-03	4.29E-03	7.87E-03
TC>AG	4.51E-04	4.85E-04	1.31E-03
TC>AT	2.61E-03	3.54E-03	3.51E-03
TC>CA	7.11E-04	8.91E-04	1.33E-03
TC>CG	3.78E-07	7.55E-07	3.44E-07
TC>CT	1.83E-03	3.22E-03	3.40E-03
TC>GA	4.03E-04	2.32E-04	4.29E-07
TC>GG	3.78E-07	7.55E-07	3.44E-07
TC>GT	3.09E-04	1.12E-03	1.75E-03
TG>AA	7.80E-04	9.35E-04	9.02E-04
TG>AC	2.37E-04	8.38E-04	9.86E-04
TG>AT	1.45E-03	3.11E-03	1.57E-03
TG>CA	1.15E-03	1.91E-03	2.14E-03
TG>CC	3.62E-04	1.02E-04	4.51E-07
TG>CT	1.15E-03	9.92E-04	9.11E-04
TG>GA	5.38E-04	5.38E-04	5.93E-04
TG>GC	3.78E-07	7.55E-07	3.44E-07
TG>GT	1.61E-03	1.67E-03	7.37E-04
TT>AA	1.22E-03	1.61E-03	1.39E-03
TT>AC	8.22E-04	7.35E-04	1.30E-03
TT>AG	6.09E-04	6.93E-04	1.10E-03
TT>CA	6.37E-04	7.49E-04	9.80E-04
TT>CC	3.12E-04	1.67E-04	4.02E-07
TT>CG	3.78E-07	7.55E-07	3.44E-07
TT>GA	3.78E-07	7.55E-07	3.44E-07
TT>GC	3.78E-07	7.55E-07	3.44E-07
TT>GG	3.78E-07	7.55E-07	3.44E-07
