Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	1	0.316	1.848	184.8%	0.952	95.2%	2.57608	0.3
C002	3	0.776	4.222	140.733%	1.715	76.697%	1.28529	0.801
C005	3	0.6	4.069	135.633%	1.39	80.252%	1.84183	0.579
C006	1	0.041	1.98	198.0%	1.019	101.9%	4.62114	-0.014
C007	2	0.936	2.537	126.85%	1.298	64.9%	1.00584	0.95
C009	5	0.495	7.334	146.68%	2.119	94.765%	1.91353	0.455
C011	1	0.178	1.915	191.5%	0.986	98.6%	3.15275	0.142
F002r	6	0.564	9.388	156.467%	2.655	83.958%	1.61171	0.543
F007	8	0.758	9.583	119.788%	2.159	68.274%	1.10978	0.743
F008	1	0.085	1.959	195.9%	1.008	100.8%	3.88469	0.037
F012	2	0.104	3.858	192.9%	1.446	102.248%	3.36148	0.033
F016	1	0.936	1.269	126.9%	0.649	64.9%	1.00584	0.95
F017	2	0.471	3.322	166.1%	1.257	88.883%	2.04079	0.452
F020	1	0.612	1.688	168.8%	0.868	86.8%	1.85911	0.631
F022	2	0.704	2.445	122.25%	1.027	72.62%	1.69405	0.696
F026	16	0.646	18.152	113.45%	3.68	78.458%	1.00873	0.571
F031	1	0.245	1.882	188.2%	0.97	97.0%	2.83133	0.218
F036	5	0.58	7.839	156.78%	2.502	83.4%	1.89955	0.567
F038	1	0.547	1.722	172.2%	0.887	88.7%	1.97193	0.558
F042	3	0.625	3.656	121.867%	1.355	78.231%	1.63473	0.606
F043	2	0.686	2.484	124.2%	1.046	73.963%	1.97456	0.677
F045	4	0.663	5.063	126.575%	1.513	75.65%	1.6123	0.642
F046	1	0.036	1.983	198.3%	1.02	102.0%	4.75557	-0.02
F052	1	0.192	1.907	190.7%	0.983	98.3%	3.07281	0.159
F054	1	0.178	1.915	191.5%	0.986	98.6%	3.15275	0.142
F055	5	0.746	6.408	128.16%	1.856	70.15%	1.46742	0.738
F057	1	0.298	1.819	181.9%	0.955	95.5%	2.40431	0.277
F058	10	0.917	9.055	90.55%	1.998	42.598%	0.80216	0.913
F059r	1	0.158	1.924	192.4%	0.991	99.1%	3.26767	0.12
SJ01	61	0.994	14.198	23.275%	2.794	13.748%	0.10202	0.994
SJ03	1	0.298	1.819	181.9%	0.955	95.5%	2.40431	0.277
SJ10	4	0.434	6.327	158.175%	1.804	90.2%	2.33679	0.381
SJ18	1	0.192	1.907	190.7%	0.983	98.3%	3.07281	0.159
SJ20	3	0.601	4.067	135.567%	1.389	80.194%	1.80473	0.58
SJ28	1	0.712	1.657	165.7%	0.846	84.6%	1.76408	0.751
SJ31	1	0.158	1.924	192.4%	0.991	99.1%	3.26767	0.12
SJ32	4	0.762	5.008	125.2%	1.404	70.2%	1.1482	0.761
T135	203	0.995	24.491	12.065%	5.309	10.181%	0.02446	0.994
