MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G
AC>CA	3.42E-04	1.13E-03	2.21E-03	2.00E-03	6.08E-04	1.97E-03	1.55E-03
AC>CG	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
AC>CT	9.05E-05	5.89E-04	1.11E-03	1.56E-03	1.41E-03	3.22E-03	1.38E-03
AC>GA	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
AC>GG	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
AC>GT	1.10E-04	2.78E-04	1.43E-03	1.66E-03	5.19E-03	3.56E-03	1.61E-03
AC>TA	2.63E-05	3.22E-04	1.44E-03	1.85E-03	2.13E-03	3.86E-03	2.56E-03
AC>TG	4.13E-04	4.50E-07	1.25E-03	2.53E-03	2.12E-03	4.69E-03	3.90E-03
AC>TT	3.99E-04	5.32E-07	5.60E-07	1.09E-04	8.37E-07	7.27E-05	5.60E-07
AT>CA	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
AT>CC	3.50E-07	2.94E-04	1.04E-03	2.04E-03	1.84E-03	2.40E-03	2.82E-03
AT>CG	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
AT>GA	6.80E-04	5.01E-07	5.54E-07	2.62E-04	8.90E-07	1.55E-04	5.52E-07
AT>GC	3.97E-04	5.13E-07	5.74E-07	2.44E-05	8.49E-07	1.78E-04	5.85E-07
AT>TA	2.12E-04	2.15E-03	2.06E-03	1.93E-03	2.92E-03	5.52E-03	4.33E-03
CC>AA	2.94E-03	2.27E-03	2.65E-03	1.32E-02	4.04E-03	4.01E-03	3.77E-03
CC>AG	9.04E-04	1.57E-03	2.49E-03	5.43E-03	1.89E-03	2.87E-03	1.67E-03
CC>AT	1.34E-03	3.82E-03	2.60E-03	2.66E-03	3.18E-03	1.38E-02	2.86E-03
CC>GA	5.58E-04	5.28E-07	5.74E-07	1.80E-04	8.74E-07	2.17E-04	5.91E-07
CC>GG	4.19E-04	5.06E-07	5.65E-07	1.51E-04	8.38E-07	1.46E-04	5.69E-07
CC>GT	3.51E-04	1.21E-03	5.64E-07	5.96E-05	1.23E-04	6.27E-04	6.05E-07
CC>TA	6.96E-04	1.61E-03	5.24E-07	3.21E-04	8.00E-07	3.61E-04	5.38E-07
CC>TG	3.84E-04	3.24E-07	5.70E-07	8.14E-05	8.33E-07	1.24E-06	5.63E-07
CC>TT	9.53E-04	2.53E-04	1.83E-03	7.15E-03	4.29E-03	9.00E-03	2.95E-03
CG>AT	5.54E-04	5.02E-07	5.59E-07	1.79E-04	8.76E-07	1.78E-04	5.43E-07
CG>GC	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
CG>GT	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
CG>TA	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
CG>TC	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
CG>TT	7.89E-04	1.44E-03	5.48E-07	2.20E-04	1.70E-04	8.15E-04	5.43E-07
CT>AA	3.01E-03	6.06E-03	1.23E-03	5.32E-03	3.94E-03	6.18E-03	4.31E-03
CT>AC	2.77E-03	2.25E-03	4.69E-07	1.66E-03	2.07E-04	2.73E-03	4.70E-07
CT>AG	7.46E-04	1.62E-03	2.32E-03	2.21E-03	3.50E-03	3.39E-03	1.75E-03
CT>GA	3.67E-04	3.46E-07	5.55E-07	6.52E-05	8.04E-07	7.27E-05	5.62E-07
CT>GC	3.86E-04	3.07E-07	5.90E-07	1.38E-04	7.87E-07	2.25E-04	5.50E-07
CT>GG	3.03E-08	3.74E-04	2.83E-03	2.54E-03	2.12E-03	9.31E-03	2.62E-03
CT>TA	9.55E-04	1.17E-03	5.79E-07	4.46E-04	1.04E-04	2.41E-04	5.88E-07
CT>TC	5.56E-04	3.76E-07	4.22E-03	7.64E-03	3.39E-03	7.42E-03	6.69E-03
CT>TG	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
GC>AA	1.11E-03	1.66E-03	6.48E-03	4.19E-03	3.03E-03	3.91E-03	1.33E-02
GC>AG	1.04E-03	3.58E-07	1.96E-03	5.92E-03	5.14E-03	5.17E-03	3.28E-03
GC>AT	9.97E-05	5.20E-04	2.08E-03	5.83E-03	3.29E-03	6.15E-03	3.47E-03
GC>CA	5.63E-04	1.04E-03	5.65E-07	2.26E-04	8.53E-07	5.19E-04	5.40E-07
GC>CG	4.11E-04	3.36E-07	5.89E-07	9.27E-05	7.86E-07	9.03E-05	5.70E-07
GC>TA	3.48E-04	3.68E-04	1.15E-03	1.94E-03	1.87E-03	3.36E-03	2.05E-03
TA>AT	2.92E-07	4.20E-04	1.10E-03	9.31E-04	1.53E-03	3.18E-03	2.86E-03
TA>CG	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
TA>CT	5.40E-04	1.05E-03	1.56E-03	1.10E-03	1.08E-03	2.70E-03	3.06E-03
TA>GC	3.46E-07	3.16E-07	5.88E-07	1.04E-06	7.19E-07	1.25E-06	5.65E-07
TA>GG	4.16E-04	3.12E-07	5.72E-07	3.84E-05	8.55E-07	1.28E-06	5.72E-07
TA>GT	1.05E-04	5.21E-04	2.12E-03	2.06E-03	4.46E-03	4.40E-03	2.23E-03
TC>AA	1.54E-03	3.35E-03	1.11E-02	3.83E-03	5.21E-03	6.31E-03	7.26E-03
TC>AG	4.11E-04	3.86E-07	2.62E-03	2.33E-03	5.23E-04	1.51E-03	1.86E-03
TC>AT	1.25E-03	1.04E-03	3.00E-03	1.02E-02	9.85E-03	5.75E-03	4.48E-03
