MutationType	ID83A
1:Del:C:0	0.057377667501568794
1:Del:C:1	0.03196527196094394
1:Del:C:2	0.011429282890167087
1:Del:C:3	0.003859526698361151
1:Del:C:4	0.004422724813339301
1:Del:C:5	0.0056111122923903165
1:Del:T:0	0.0510025947727263
1:Del:T:1	0.028451186995953323
1:Del:T:2	0.020760079948231577
1:Del:T:3	0.016909105111844836
1:Del:T:4	0.013921019698027521
1:Del:T:5	0.04686613988131285
1:Ins:C:0	0.02485590067692101
1:Ins:C:1	0.008845971676055341
1:Ins:C:2	0.00332736688607838
1:Ins:C:3	0.00434205091703916
1:Ins:C:4	0.002556287890765816
1:Ins:C:5	0.006979570089606568
1:Ins:T:0	0.03554898624308407
1:Ins:T:1	0.02913672596216202
1:Ins:T:2	0.009494530172087252
1:Ins:T:3	0.010444067704956978
1:Ins:T:4	0.0031163686851505192
1:Ins:T:5	0.07255156327039003
2:Del:R:0	0.021293797390535475
2:Del:R:1	0.04187935126945377
2:Del:R:2	0.009592238117475062
2:Del:R:3	0.003445284608460497
2:Del:R:4	0.0009737891948395827
2:Del:R:5	0.0018177775825085974
3:Del:R:0	0.008666071423795075
3:Del:R:1	0.025439350074157117
3:Del:R:2	0.005074312492506578
3:Del:R:3	0.002809156000439543
3:Del:R:4	0.0009318955749211
3:Del:R:5	0.0009381024838330631
4:Del:R:0	0.004902193924062885
4:Del:R:1	0.008771484401077032
4:Del:R:2	0.0035243966049165465
4:Del:R:3	0.001237531779230494
4:Del:R:4	2.575580539314615e-06
4:Del:R:5	2.5755805177141156e-06
5:Del:R:0	0.024485421981662512
5:Del:R:1	0.009812588759232313
5:Del:R:2	0.002050503566279076
5:Del:R:3	0.0015447226756532472
5:Del:R:4	0.00031596909878658155
5:Del:R:5	2.575580516577247e-06
2:Ins:R:0	0.01801836966071278
2:Ins:R:1	0.010053024971857666
2:Ins:R:2	0.0037850943161174657
2:Ins:R:3	0.0031598326985840686
2:Ins:R:4	0.0018488098723616986
2:Ins:R:5	0.0043311739701312035
3:Ins:R:0	0.004705062310677022
3:Ins:R:1	0.003721488096343819
3:Ins:R:2	0.0018131346939480864
3:Ins:R:3	2.575580533630273e-06
3:Ins:R:4	0.0006464303994812326
3:Ins:R:5	0.0012204670975847875
4:Ins:R:0	0.005603411848424003
4:Ins:R:1	0.006228632426355034
4:Ins:R:2	0.0006122991690233448
4:Ins:R:3	0.0012282234278700344
4:Ins:R:4	0.0021979132035630754
4:Ins:R:5	0.00620230317232199
5:Ins:R:0	0.015936506218276917
5:Ins:R:1	0.014887595516629517
5:Ins:R:2	0.0021079248953901697
5:Ins:R:3	0.0015183457830096358
5:Ins:R:4	0.002899217652156949
5:Ins:R:5	0.0018488218512425192
2:Del:M:1	0.04140126349404454
3:Del:M:1	0.007845339085906743
3:Del:M:2	0.01507525151129812
4:Del:M:1	0.007494664374971763
4:Del:M:2	0.005601809356594458
4:Del:M:3	0.011303542163223029
5:Del:M:1	0.036100047109648585
5:Del:M:2	0.032192019270733
5:Del:M:3	0.015630875946953893
5:Del:M:4	0.010588432357180863
5:Del:M:5	0.018901326679624617
