Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SJ04	2.31E-02	5.18E-02	2.65E-02	5.09E-02	6.44E-02	5.18E-02
SJ08	2.67E-01	4.04E-01	4.06E-01	4.54E-01	3.48E-01	4.11E-01
SJ09	2.52E-01	2.68E-01	3.08E-01	3.22E-01	5.18E-01	4.90E-01
SJ10	2.94E-01	2.50E-01	1.77E-01	3.95E-01	3.27E-01	3.29E-01
SJ12	2.85E-01	3.59E-01	3.77E-01	3.95E-01	5.28E-01	2.69E-01
SJ13	8.15E-02	9.69E-02	1.00E-01	5.91E-02	9.19E-02	4.24E-02
SJ14	1.36E-01	1.53E-01	1.24E-01	1.41E-01	1.14E-01	1.38E-01
SJ17	2.72E-01	2.71E-01	3.87E-01	4.95E-01	4.81E-01	4.95E-01
SJ18	1.48E-01	7.90E-02	2.04E-01	1.39E-01	1.33E-01	2.01E-01
SJ19	1.60E-01	4.64E-01	2.59E-01	3.06E-01	4.96E-01	4.34E-01
SJ20	5.54E-01	8.81E-01	6.75E-01	1.46E+00	1.03E+00	8.26E-01
SJ25	1.28E-01	1.56E-01	2.19E-01	2.33E-01	1.89E-01	2.67E-01
SJ28	1.23E+00	1.07E+00	9.34E-01	1.67E+00	1.01E+00	1.52E+00
SJ31	4.68E-01	2.44E-01	6.51E-01	9.72E-01	6.57E-01	1.21E+00
SJ32	1.50E+00	7.53E-01	1.39E+00	6.73E-01	1.00E+00	7.41E-01
SJ33	1.74E-01	2.08E-01	2.34E-01	3.81E-01	3.40E-01	2.86E-01
T135	9.22E+00	1.50E-02	8.97E+00	1.34E+00	1.64E+00	1.29E+00
