Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
C001	0	1	19	11	0	8
C002	18	19	6	2	5	26
C003	2	9	0	2	0	10
C004	0	0	0	2	2	6
C005	21	50	0	5	0	0
C006	1	6	7	13	0	2
C007	12	5	0	18	36	0
C008	0	0	0	0	2	0
C009	30	24	0	43	0	0
C010	0	5	4	0	1	0
C010r	6	0	0	3	0	2
C011	0	0	0	0	12	0
C013	0	0	1	0	0	16
C014	0	0	0	9	8	0
F001	2	3	6	0	3	1
F002	1	0	0	7	1	0
F002r	34	0	3	8	18	2
F004	3	0	1	0	9	6
F005	0	0	1	0	6	4
F006	0	0	0	0	0	5
F007	12	83	7	8	0	8
F008	0	0	0	0	9	0
F010	0	0	3	0	14	0
F011	1	0	0	5	12	0
F012	0	0	0	6	2	0
F013	0	5	0	0	1	7
F014	0	4	0	15	0	2
F015	16	10	0	14	8	0
F016	3	0	0	3	20	0
F017	0	22	10	0	13	10
F018	0	0	5	0	3	4
F019	0	1	0	4	0	3
F020	0	6	0	20	6	0
F021	1	0	0	0	8	2
F022	0	4	0	19	15	3
F023	0	0	0	0	2	0
F024	0	0	1	0	1	7
F026	14	38	0	6	0	2
F027	2	4	0	0	1	3
F029	0	26	0	4	0	0
F031	22	8	0	3	12	15
F034	4	0	0	0	2	11
F036	2	31	0	0	0	15
F037	0	0	5	0	0	0
F038	2	0	0	0	0	15
F039	0	0	2	0	19	2
F041	0	0	5	18	19	4
F042	8	0	0	27	2	0
F043	4	1	4	15	0	0
F044	1	8	0	5	0	2
F045	0	5	2	20	1	0
F046	0	0	0	3	0	0
F048	0	3	0	0	0	6
F050	1	1	0	0	1	0
F052	1	0	0	0	2	3
F053	3	1	0	4	0	5
F054	0	4	0	2	5	4
F055	2	61	12	0	5	1
F056	0	0	4	0	0	0
F057	0	0	7	9	28	1
F058	0	24	22	42	0	6
F059	0	4	0	0	18	2
F059r	0	5	3	0	41	0
SJ01	0	18	245	0	0	0
SJ02	2	0	6	0	6	0
SJ03	1	1	21	10	4	4
SJ04	0	0	0	0	2	0
SJ08	0	10	9	4	0	2
SJ09	0	0	0	0	12	12
SJ10	6	4	0	5	0	5
SJ12	0	0	6	2	16	0
SJ13	1	0	3	0	0	0
SJ14	3	4	0	0	0	0
SJ17	6	0	3	7	5	6
SJ18	0	0	5	0	0	4
SJ19	0	11	0	0	5	12
SJ20	0	5	4	63	0	10
SJ25	0	2	5	4	0	4
SJ28	33	5	0	51	0	48
SJ31	0	0	8	1	0	56
SJ32	34	18	39	0	8	6
SJ33	1	0	1	5	9	2
T135	427	0	56	0	0	0
