Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	569	0.895	248.696	43.708%	35.043	45.139%	0.18431	0.749
C002	730	0.807	374.628	51.319%	59.766	61.598%	0.21851	0.518
C003	261	0.879	131.981	50.567%	17.459	47.927%	0.23535	0.724
C004	21	0.446	31.323	149.157%	4.838	89.839%	1.59982	0.242
C005	1064	0.934	364.591	34.266%	53.615	36.034%	0.1163	0.857
C006	279	0.922	126.61	45.38%	17.223	39.296%	0.20265	0.866
C007	525	0.934	211.733	40.33%	28.943	35.991%	0.15394	0.88
C008	12	0.851	10.877	90.642%	2.183	54.575%	0.96493	0.838
C009	816	0.933	258.856	31.723%	38.409	37.419%	0.09265	0.821
C010	35	0.618	43.33	123.8%	6.912	78.77%	1.15049	0.512
C010r	63	0.677	62.952	99.924%	8.86	73.578%	0.87959	0.493
C011	54	0.754	50.934	94.322%	7.098	65.903%	0.86427	0.647
C013	86	0.76	72.209	83.964%	10.073	66.419%	0.66388	0.62
C014	132	0.88	74.511	56.448%	9.797	47.691%	0.32718	0.781
F001	139	0.809	92.683	66.678%	12.747	58.986%	0.41773	0.631
F002	66	0.669	62.245	94.311%	8.589	74.758%	0.77652	0.417
F002r	541	0.886	249.442	46.108%	33.755	47.789%	0.18467	0.705
F004	67	0.824	51.192	76.406%	6.914	56.642%	0.55473	0.73
F005	115	0.854	70.634	61.421%	10.563	52.103%	0.44159	0.772
F006	8	0.342	13.98	174.75%	2.659	94.01%	2.4661	0.194
F007	2059	0.956	603.247	29.298%	85.457	31.46%	0.09762	0.908
F008	172	0.828	111.153	64.624%	16.314	56.222%	0.40025	0.714
F010	124	0.825	79.66	64.242%	10.951	56.475%	0.39438	0.668
F011	100	0.813	74.038	74.038%	11.691	59.048%	0.50227	0.742
F012	106	0.774	82.235	77.58%	11.575	63.336%	0.55545	0.618
F013	23	0.497	32.728	142.296%	4.988	86.83%	1.43351	0.311
F014	198	0.927	93.696	47.321%	12.287	38.211%	0.27585	0.884
F015	507	0.914	194.095	38.283%	29.366	40.673%	0.13093	0.812
F016	239	0.867	130.752	54.708%	18.28	49.844%	0.26804	0.745
F017	586	0.883	258.383	44.093%	39.453	49.841%	0.22853	0.744
F018	58	0.857	51.439	88.688%	7.962	51.61%	0.75303	0.83
F019	8	0.287	14.297	178.712%	3.033	95.912%	2.35197	0.141
F020	384	0.899	181.485	47.262%	24.158	43.743%	0.20822	0.784
F021	8	0.277	14.535	181.688%	3.043	96.228%	2.56877	0.126
F022	306	0.921	130.766	42.734%	17.576	39.106%	0.18034	0.842
F023	32	0.736	32.998	103.119%	4.972	67.66%	0.98114	0.655
F024	4	0.287	7.4	185.0%	1.917	95.85%	3.02471	0.209
F026	1396	0.923	513.41	36.777%	72.835	41.182%	0.11317	0.81
F027	31	0.517	41.35	133.387%	5.921	86.367%	1.28576	0.298
F029	328	0.874	174.242	53.123%	23.653	48.525%	0.25928	0.745
F031	650	0.909	260.643	40.099%	38.913	41.719%	0.15212	0.806
F034	129	0.834	80.753	62.599%	11.081	55.198%	0.38195	0.682
F036	736	0.888	314.871	42.781%	47.804	48.23%	0.2281	0.749
F037	9	0.304	15.751	175.011%	3.164	95.398%	2.43621	0.147
F038	176	0.835	107.501	61.08%	15.528	55.038%	0.34104	0.702
F039	150	0.816	100.269	66.846%	13.532	57.912%	0.39741	0.644
F041	703	0.87	301.507	42.889%	49.197	49.563%	0.17757	0.708
F042	349	0.903	153.266	43.916%	21.125	42.952%	0.18399	0.784
F043	260	0.879	121.038	46.553%	17.125	48.75%	0.19952	0.711
F044	67	0.731	63.0	94.03%	8.384	68.228%	0.71778	0.571
F045	306	0.851	152.482	49.831%	23.197	52.995%	0.21968	0.671
F046	28	0.55	35.723	127.582%	4.898	84.0%	1.19332	0.309
F048	28	0.395	41.589	148.532%	6.056	93.446%	1.66893	0.089
F050	7	0.225	12.803	182.9%	2.61	98.649%	2.98527	0.049
F052	44	0.686	44.846	101.923%	6.349	72.828%	0.89831	0.529
F053	125	0.751	90.261	72.209%	12.492	67.255%	0.48545	0.471
