MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
CT>TC	5.93E-04	4.98E-04	5.24E-03	8.06E-03	3.41E-03	5.34E-03	7.34E-03	1.02E-02
CT>TG	1.21E-07	3.60E-07	6.70E-07	9.41E-07	8.65E-07	6.84E-07	1.21E-06	1.55E-06
GC>AA	1.08E-03	2.01E-03	5.40E-03	3.77E-03	1.69E-03	1.33E-02	4.72E-03	5.14E-03
GC>AG	1.15E-03	3.13E-07	1.90E-03	7.67E-03	6.73E-03	2.77E-03	8.93E-03	4.77E-03
GC>AT	3.05E-08	1.32E-03	2.53E-03	3.03E-03	4.39E-03	2.60E-03	6.77E-03	6.66E-03
GC>CA	5.80E-04	1.06E-03	6.49E-07	2.29E-04	1.14E-04	6.70E-07	2.43E-04	6.53E-04
GC>CG	4.29E-04	5.25E-07	6.35E-07	1.37E-04	9.28E-07	6.77E-07	6.40E-05	1.60E-06
GC>TA	3.67E-04	1.29E-03	1.88E-03	1.13E-03	1.74E-03	1.59E-03	3.45E-03	3.38E-03
TA>AT	1.20E-07	8.46E-04	1.17E-03	2.19E-03	8.91E-04	3.68E-03	3.78E-03	1.29E-03
TA>CG	1.21E-07	3.60E-07	6.70E-07	9.41E-07	8.65E-07	6.84E-07	1.21E-06	1.55E-06
TA>CT	3.89E-04	1.58E-03	1.68E-03	3.95E-03	8.92E-04	2.33E-03	3.10E-03	4.05E-03
TA>GC	1.21E-07	3.60E-07	6.70E-07	9.41E-07	8.65E-07	6.84E-07	1.21E-06	1.55E-06
TA>GG	4.70E-04	5.24E-07	6.12E-07	7.04E-05	9.48E-07	6.76E-07	3.19E-05	1.12E-04
TA>GT	2.94E-04	2.77E-04	1.74E-03	1.69E-03	4.41E-03	1.50E-03	2.22E-03	3.84E-03
TC>AA	1.98E-03	3.41E-03	1.30E-02	4.84E-03	6.66E-03	6.17E-03	4.82E-03	7.41E-03
TC>AG	4.10E-04	1.41E-04	2.69E-03	1.78E-03	8.61E-04	1.88E-03	2.74E-03	3.45E-03
TC>AT	1.33E-03	1.10E-03	2.84E-03	1.00E-02	6.48E-03	3.44E-03	1.48E-02	2.34E-03
TC>CA	3.39E-04	3.21E-07	3.36E-04	1.21E-03	3.29E-03	6.83E-04	1.31E-03	8.84E-04
TC>CG	1.21E-07	3.60E-07	6.70E-07	9.41E-07	8.65E-07	6.84E-07	1.21E-06	1.55E-06
TC>CT	9.59E-04	2.92E-03	3.49E-03	2.61E-03	1.05E-02	2.50E-03	4.76E-03	3.39E-03
TC>GA	4.37E-04	5.47E-07	6.34E-07	2.58E-04	9.21E-07	6.90E-07	3.19E-05	7.71E-05
TC>GG	1.21E-07	3.60E-07	6.70E-07	9.41E-07	8.65E-07	6.84E-07	1.21E-06	1.55E-06
TC>GT	2.59E-05	4.37E-04	1.75E-03	3.26E-03	2.91E-03	2.99E-03	5.53E-03	6.59E-03
TG>AA	7.15E-04	1.02E-03	1.04E-03	4.43E-03	3.00E-03	2.64E-03	3.60E-03	7.21E-03
TG>AC	8.50E-08	1.54E-04	1.14E-03	1.03E-03	1.77E-03	2.54E-03	5.89E-03	3.97E-03
TG>AT	1.47E-03	3.96E-03	1.39E-03	3.49E-03	5.13E-03	8.63E-04	3.62E-03	5.81E-03
TG>CA	4.07E-04	2.09E-04	2.20E-03	3.45E-03	7.27E-03	2.50E-03	5.47E-03	5.49E-03
TG>CC	3.91E-04	4.94E-07	6.47E-07	1.37E-04	9.57E-07	6.71E-07	3.19E-05	5.45E-05
TG>CT	1.23E-03	2.93E-03	1.41E-03	2.71E-03	5.00E-03	2.14E-03	3.60E-03	3.67E-03
TG>GA	4.55E-04	2.69E-04	1.48E-03	2.52E-03	1.37E-03	5.29E-03	3.56E-03	3.72E-03
TG>GC	1.21E-07	3.60E-07	6.70E-07	9.41E-07	8.65E-07	6.84E-07	1.21E-06	1.55E-06
TG>GT	1.55E-03	1.99E-03	6.11E-04	4.14E-03	2.82E-03	2.07E-03	8.20E-03	4.35E-03
TT>AA	1.12E-03	1.79E-03	3.30E-03	5.16E-03	3.00E-03	4.20E-03	3.61E-03	5.86E-03
TT>AC	5.52E-04	4.44E-07	3.49E-04	1.24E-03	3.14E-03	8.78E-04	1.87E-03	1.58E-03
TT>AG	4.18E-04	4.27E-07	3.32E-04	9.32E-04	2.80E-03	1.21E-03	1.51E-03	6.91E-04
TT>CA	4.38E-04	4.70E-07	1.93E-04	9.47E-04	2.96E-03	7.19E-04	1.11E-03	7.19E-04
TT>CC	3.54E-04	3.99E-07	6.34E-07	1.96E-04	9.24E-07	6.79E-07	3.19E-05	1.55E-04
TT>CG	1.21E-07	3.60E-07	6.70E-07	9.41E-07	8.65E-07	6.84E-07	1.21E-06	1.55E-06
TT>GA	1.21E-07	3.60E-07	6.70E-07	9.41E-07	8.65E-07	6.84E-07	1.21E-06	1.55E-06
TT>GC	1.21E-07	3.60E-07	6.70E-07	9.41E-07	8.65E-07	6.84E-07	1.21E-06	1.55E-06
TT>GG	1.21E-07	3.60E-07	6.70E-07	9.41E-07	8.65E-07	6.84E-07	1.21E-06	1.55E-06
